Gene_Id	spiperone_HEPG2_6 h_10 µM
AARS	-1.075150105
ABCF1	-0.407677589
ABL1	0.360852526
ACAA1	0.228926274
ACAT2	-0.341735956
ACLY	-0.723200943
ADAM10	0.415503916
ADH5	-0.059812291
PARP1	0.514784646
ADRB2	-0.148138599
AGL	0.094167292
AKT1	-0.659531229
ALAS1	-0.436498895
ALDOA	0.386806651
ALDOC	0.930446036
SLC25A4	0.744306793
ANXA7	1.540664388
APBB2	1.252095731
BIRC2	-1.113480555
BIRC5	-0.699526564
APOE	0.14394589
APP	-0.206539797
FAS	0.623290526
RHOA	-0.122733321
ARHGAP1	-0.868648481
ASAH1	0.100123892
ATF1	0.365128422
ATP1B1	0.258263119
ALDH7A1	2.08839331
ATP6V0B	2.761030256
BAD	0.354108157
BAX	0.288207674
CCND1	0.778233115
BCL2	0.014571871
BDH1	-0.678457917
BID	-0.314651745
BLMH	0.833356652
BLVRA	0.776144808
BMP4	-1.068313715
BNIP3	0.461512107
BNIP3L	-1.608449234
BPHL	0.454610494
BRCA1	0.084157752
BTK	-0.225890577
BUB1B	0.687582414
C5	1.743477151
DDR1	-0.973012305
CALM3	-0.144725258
CALU	0.677620063
CAPN1	0.154377907
CAST	-0.061037545
CASP2	-0.103254683
CASP3	0.018534
CASP7	-0.14390317
CASP10	0.412280898
CAT	2.464107228
CBLB	1.039438439
CBR1	-0.939834596
CBR3	0.186925784
CCNA2	0.642487807
CCNB1	-0.791253743
CCND3	0.994736046
CCNF	-0.093506143
CCNH	-1.608464588
SCARB1	0.779864682
CD40	1.588609636
CD44	1.15714186
CD58	0.348672556
ADGRE5	0.193217905
CDK1	0.577007883
CDC20	-0.1789457
CDC25A	-0.122933136
CDC25B	1.269566428
CDC42	-0.238994757
CDH3	0.654493264
CDK2	-0.953341407
CDK4	0.591156738
CDK6	0.962277025
CDK7	2.099535423
CDKN1A	-0.018267015
CDKN1B	0.124270643
CDKN2A	-0.468617785
CEBPA	0.312970961
CEBPD	-0.224343185
CENPE	0.037458833
CETN3	-0.570669216
CHEK1	-0.854467733
CHN1	-0.480900207
CIRBP	0.57279079
CLTB	-0.16909424
CLTC	0.77825032
COL1A1	0.301379115
COL4A1	1.488264018
CREB1	0.301872318
CRK	1.266147771
CRKL	-0.266016284
CRYZ	0.173276874
CSK	-0.516241815
CSNK1A1	-2.841357549
CSNK1E	1.415620018
CSNK2A2	-0.65827574
CSRP1	-1.169261785
CTNND1	-0.319281321
CTSD	-0.594490465
CTSL	1.37342524
CYB561	-0.627240071
DAG1	0.193116763
DAXX	-1.335940876
DCK	0.835150799
DCTD	0.569513091
DDB2	-0.957779311
GADD45A	-0.153180629
DDX10	-0.128392413
DECR1	-0.316051685
DFFA	-1.017479777
DFFB	0.044009147
DLD	-0.560327927
DNM1	0.821729144
DNMT1	-0.403414503
DNMT3A	-0.184404132
DPH2	0.447697383
DSG2	1.420218383
TSC22D3	0.198120833
DUSP3	0.238004484
DUSP4	0.816033757
DUSP6	0.616846057
TOR1A	0.142144936
E2F2	-0.05588147
ECH1	0.626410039
EDN1	0.015187349
EGF	0.218813407
EGFR	-0.66214548
EGR1	-0.205783055
EIF4EBP1	1.052897166
EIF4G1	-0.570436969
EIF5	0.492144855
ELAVL1	-0.534116405
CTTN	0.000285328
EPB41L2	0.388375309
EPHA3	0.496540981
EPHB2	0.14825298
EPRS	0.459612741
NR2F6	0.615317639
ERBB2	-0.109708096
ERBB3	-1.54033998
ETFB	-0.502371404
ETS1	0.679696718
ETV1	0.533808276
EXT1	2.061802895
EZH2	1.423999197
FAH	-0.593615137
PTK2B	0.12396172
FAT1	0.661027724
FDFT1	-0.348177698
FGFR2	-1.207707354
FGFR4	0.26086478
FHL2	0.788843962
FKBP4	-0.155287978
FOXO3	-1.555754365
FOS	-1.046901259
FPGS	0.083220969
FUT1	-0.743311656
FYN	-0.939982859
SLC37A4	-1.930056599
GAA	-1.94463949
GABPB1	0.810002769
GALE	-1.248916635
GAPDH	1.980640576
GATA2	0.091861858
GATA3	0.275870561
GFPT1	0.544863956
GHR	-1.020562349
GLI2	-0.716427316
GLRX	-0.870061192
GNA11	-0.62314603
GNA15	-0.511155335
GNAI1	1.152376741
GNAI2	1.096724454
GNAS	1.758219987
SFN	-1.039495149
GPC1	1.10456314
GPER1	0.311703478
GRB7	0.986693733
GRB10	-0.098505219
GRN	-0.014124592
NR3C1	0.539603056
CXCL2	1.367686265
GSTM2	-0.071049143
GSTZ1	1.527321789
MSH6	-0.563127281
GTF2A2	-1.220754148
GTF2E2	-1.178463287
HSD17B10	-0.287903231
HADH	-0.085921052
HDAC2	-0.052705282
HIF1A	-0.703705177
HK1	-0.264742383
HLA-DMA	-1.056394298
HLA-DRA	0.098811953
HMGCR	0.360887094
HMGCS1	-0.792459762
HMOX1	-0.464529204
HOXA5	1.428610228
HOXA10	0.519529156
HPRT1	-0.81052012
HES1	-0.89627482
DNAJB2	0.465190411
HSPA1A	0.555320899
HSPA4	-0.383480728
HSPA8	-0.439289542
HSPB1	-0.481856547
HSPD1	0.148090148
DNAJB1	0.522178453
ICAM1	-0.512387387
ICAM3	-0.507999062
ID2	1.285440018
IDE	-0.060544631
IFNAR1	-0.687425618
IGF1R	1.00390353
IGF2R	1.125629981
IGFBP3	-0.375111315
IGHMBP2	-0.719894957
IKBKB	-0.345206517
IL1B	0.101548486
IL4R	-0.056435204
IL13RA1	-3.165438511
ILK	0.893627708
INPP1	0.429508972
INSIG1	0.585746146
ITGAE	-1.231479477
ITGB5	0.660888981
JUN	-0.241502563
KCNK1	1.367319006
KIF5C	-0.506834596
KIT	-0.167546648
KTN1	0.70232449
LAMA3	0.338697277
STMN1	-0.210776896
LBR	-0.861797609
LGALS8	-0.635186526
LIG1	1.218507956
LIPA	0.275531374
LOXL1	1.646375528
LRPAP1	-0.107181092
LYN	-0.030290865
SMAD3	-0.65906075
MAN2B1	0.037144911
MAT2A	-0.185861055
MBNL1	1.04514333
MCM3	-0.277670738
ME2	-0.282849288
MEF2C	0.009096131
MAP3K4	0.288873697
MEST	-0.686385104
MIF	1.049421596
FOXO4	0.281579972
MMP1	-0.483672298
MMP2	0.163931588
MNAT1	-0.931108909
MSRA	-1.479213073
MUC1	0.742710957
MYBL2	0.168695809
MYC	0.364156543
GADD45B	-0.595283795
MYLK	-0.897847191
MYO10	0.333482567
NCK1	-0.284910796
NFATC3	0.460182424
NFATC4	1.310478724
NFE2L2	-0.746229065
NFIL3	0.1971519
NFKB2	1.669779173
NFKBIA	-0.177048945
NFKBIB	0.411999716
NFKBIE	0.925197292
NIT1	-1.505031794
NMT1	1.247464115
NOS3	-0.982135624
CNOT4	0.274731126
NOTCH1	0.326435148
PNP	0.672490375
NPC1	1.180157722
SLC11A2	0.225865055
NRAS	0.643441998
NUCB2	-0.773383964
NUP88	-0.067700713
NVL	0.484693734
ORC1	2.578997174
OXA1L	0.057126728
OXCT1	-0.561502734
PAFAH1B1	-0.036596939
PAFAH1B3	0.361397643
SERPINE1	-0.924832775
PAK1	0.762595262
PCBD1	0.184319236
PCCB	0.18170561
PCK2	0.863101553
PCM1	-0.289645498
PCMT1	0.969302649
PCNA	-0.729174355
PDGFA	0.07734627
PFKL	-1.264319882
PGAM1	1.487985679
PGM1	0.756146438
PHKA1	-1.015034456
PHKB	0.587581926
PHKG2	1.141030404
PIK3C2B	-0.391713133
PIK3C3	3.407413278
PIK3CA	-1.010432163
PIN1	0.639360782
PLA2G4A	-0.511657282
PLCB3	0.263564009
PLK1	-0.05316349
PLP2	-0.524092222
PLS1	-0.630974662
PLSCR1	-1.703273775
PMAIP1	0.283078112
PMM2	-0.7241792
POLB	1.972514571
POLE2	0.633485973
POLR2I	-0.684291656
POLR2K	-1.235830717
PPARD	-1.350473681
PPARG	-1.157349682
PPIC	2.96875095
PPOX	-0.918732822
PPP2R5A	-0.521415435
PPP2R5E	-1.247537442
PRCP	2.609672768
PRKACA	0.379173604
PRKCD	-0.940780258
PRKCH	0.579705076
PRKCQ	-1.465064485
MAPK9	0.464702082
MAPK13	-0.170683228
MAP2K5	-0.167978164
PRKX	3.441814413
PROS1	-1.094275329
LGMN	0.159832747
HTRA1	-1.019184343
PSMB8	-0.547075009
PSMB10	-0.484933338
PSMD2	0.602485516
PSMD4	-0.656928922
PSMD9	0.492058931
PSMD10	1.114477948
PSME1	0.432223386
PSME2	-0.024435395
PTGS2	-0.035483346
PTK2	0.402116391
PTPN1	-0.127969741
PTPN6	-0.027469389
PTPN12	-1.069860364
PTPRC	-0.094023189
PTPRF	0.349667441
PTPRK	-1.097122276
PXMP2	0.715521837
PXN	1.128483378
PYCR1	0.881472091
PYGL	0.334897431
RAB4A	-0.817895435
RAB27A	0.577087055
RAC2	1.544409227
RAD9A	1.764392989
RAD51C	-0.103796998
MOK	-0.854572081
RALA	0.406958127
RALB	0.588973298
RALGDS	0.305841933
RAP1GAP	0.908517744
RASA1	1.791433865
RB1	-1.47884073
KDM5A	-0.998663112
RELB	-1.093190443
RFC2	-1.02381821
RFC5	-0.405922095
RFNG	-0.092421709
RFX5	-0.196065939
RGS2	0.518749331
RHEB	0.214105954
RNH1	-0.189384116
RPA1	1.094216908
RPA2	-1.237507463
RPA3	0.43204163
MRPL12	0.757546877
RPN1	-1.795322141
RPS5	0.415443289
RPS6	0.044991516
RPS6KA1	-1.069143749
RSU1	0.092419034
RTN2	-0.470061748
S100A4	-0.429963229
S100A13	1.087495399
SATB1	-0.927380567
SCP2	0.378246952
CCL2	0.832269929
SDHB	-0.774149157
SGCB	-0.976082994
SHB	-0.189406257
SHC1	0.251118172
SKIV2L	0.127971218
SKP1	0.351368095
SLC1A4	2.080097107
SMARCA4	-0.808102604
SMARCC1	0.392775758
SMARCD2	-1.809370166
SNAP25	-0.526786181
SNCA	0.066663164
SOX2	0.480052974
SOX4	-0.677530077
SPAG4	-1.955192856
SPP1	-0.383589359
SPR	0.039390771
SPTAN1	-1.161264575
SRC	0.645752707
STAT1	-0.680920202
STAT3	-0.553106762
STAT5B	-0.341354963
AURKA	0.80945723
STK10	0.04764083
STX1A	-0.735188031
STX4	0.80263434
STXBP1	0.180700146
STXBP2	-0.570720707
SUPV3L1	-0.548383867
SUV39H1	-0.482422598
SYK	-0.386796044
SYPL1	-0.136532351
TARBP1	-0.979118905
TBP	-0.021026509
TBX2	-0.643618961
TBXA2R	-0.081605941
TCEA2	0.641443034
VPS72	0.385577539
TCTA	0.893340304
DYNLT3	-0.656977268
TERT	1.978145473
TESK1	0.633806119
TFAP2A	0.537657124
TFDP1	1.308014082
TGFB3	1.152028502
TGFBR2	1.137798773
TIAM1	0.407850671
TIMP2	0.88546932
TJP1	-0.702098861
TLE1	0.387097589
TLR4	1.011005944
TSPAN6	0.121544487
TSPAN4	0.836201863
TOP2A	1.602937413
TP53	-0.104142647
TP53BP1	0.571653742
TP53BP2	-0.936040293
TPD52L2	-0.368273979
TPM1	-0.209491391
TSTA3	0.290005715
TXNRD1	-0.434423135
UBE2A	1.462786701
UGDH	1.192225807
NR1H2	0.278557008
USP1	-0.719089968
VDAC1	3.11828361
WFS1	0.537195388
WRB	-0.592117527
XBP1	-1.763420025
XPNPEP1	-0.299904128
ZFP36	-0.300900425
ZNF131	-0.3527809
ZMYM2	-0.760141256
PAX8	-0.223557565
CXCR4	0.920762939
IFRD2	-0.382416356
MAPKAPK3	-0.257824823
USP7	0.130883962
REEP5	0.304443209
ST7	0.573036915
KAT6A	-0.654707614
PDHX	-0.832211463
FOSL1	-1.360208599
HMGA2	-0.756692059
NCOA3	0.193944938
NRIP1	-2.8046495
SMC1A	0.481330629
LAGE3	1.689318988
AXIN1	-0.469025455
CDC45	-0.941881284
FZD1	0.365865654
FZD7	1.070244936
HIST2H2BE	1.150876629
PIP4K2B	-0.814539258
NCK2	0.693164523
DYRK3	0.605639698
DUSP11	1.030359906
RAE1	-0.782606481
PIK3R3	-0.909128652
NIPSNAP1	-1.382462766
IKBKAP	0.102144298
HAT1	-1.342381359
MAPKAPK5	0.339068718
BHLHE40	0.587482415
MKNK1	-0.257917805
CASK	-0.970021575
AKR7A2	1.060134929
RUVBL1	-1.559743432
PSMG1	0.014461772
BECN1	1.601363052
MBTPS1	1.356009804
EED	-0.970877466
CTNNAL1	1.534704572
RNMT	2.660429649
PEX11A	-0.420439996
CREG1	-0.820129675
INPP4B	1.152286284
IQGAP1	1.023617057
SOCS2	0.553889881
CFLAR	-0.124503229
CDK5R1	-0.267334631
ST3GAL5	0.101163186
IER3	-0.499092897
SQSTM1	-0.281380621
SLC5A6	-0.160479314
CPNE3	0.392367961
CCNA1	-0.230692104
TIMELESS	-0.772986172
P4HA2	-0.825661905
PLOD3	0.656288047
NOL3	0.138034003
SLC25A14	-2.212145729
MPZL1	-0.274233343
MAP7	-0.947124844
DNAJA3	-0.391793213
USP14	-0.238273019
MTA1	1.06094332
PDLIM1	-0.861981268
SMC3	0.092331917
PRPF4	0.018400639
CCNB2	-0.313981653
CCNE2	0.278056565
SYNGR3	1.277337377
LPAR2	-0.979239042
ARHGEF2	0.708875693
ZW10	1.944029796
AURKB	0.611424801
VAPB	0.689878886
NOLC1	0.168918246
UBE2L6	2.229294048
MAPKAPK2	0.473657159
CYTH1	0.106521871
ITGB1BP1	0.512116964
BCL7B	-0.477624256
COPB2	0.698980836
ADGRG1	0.661658679
TM9SF2	-1.296784678
MAP4K4	0.633979546
HOMER2	0.17302358
SH3BP5	0.648463277
PIGB	0.834050105
PSMF1	-0.820550497
SPTLC2	-0.44302855
TBPL1	0.76172132
BAG3	0.883196718
POLR1C	5.565664743
SPAG7	0.066736616
FEZ2	0.343372314
IKBKE	-0.429029882
MTFR1	0.273526063
HS2ST1	-0.56013032
IPO13	-0.577516245
VGLL4	0.12117582
NUP93	-1.884222101
UBE3C	0.541372725
EDEM1	0.644685405
TRAM2	-0.657490747
CEP57	0.048850806
KIAA0100	0.203547024
HERPUD1	0.672278158
KIAA0355	0.437665211
USP6NL	-1.781116996
CCP110	-0.774675906
MLEC	-0.667475564
TATDN2	-0.268628885
MRPL19	-1.298423375
SCRN1	0.647439031
EFCAB14	1.364446972
KEAP1	-0.095627818
MELK	0.199774186
PLEKHM1	-0.059603538
C2CD5	-0.326788166
KIAA0753	-0.739594156
C2CD2L	-1.260973268
TOMM70A	-0.6504753
KIAA0196	-1.667966103
KLHL21	0.867429741
ARNT2	0.499089782
FAM20B	-0.319381548
NCAPD2	-0.9110292
PAN2	1.284710676
LPGAT1	0.988115774
KIF14	0.373294185
OXSR1	0.156588734
MVP	0.352227873
DMTF1	0.942516136
GNPDA1	-0.226104081
HDAC6	0.180995115
PARP2	-0.390251079
MAMLD1	0.73212787
DNAJB6	-0.333082135
SMC4	-2.037243402
ABCC5	-0.207194883
ABCB6	1.095021866
DNM1L	0.950304744
TSPAN3	0.672317032
KIF20A	0.62892727
ARL4C	-0.863134718
TRAP1	0.101896062
G3BP1	0.415396043
MBNL2	-0.2068758
CEBPZ	-0.157633427
SLC25A13	-1.617726385
SORBS3	-1.359494804
RBM6	-0.239331996
TXNDC9	-0.240778622
TRIM13	0.348991089
TRIB1	0.67402956
MFSD10	-1.016617255
SLC35B1	0.522037411
TIMM17B	0.745047063
AKAP8	-0.890562917
STUB1	-2.537780687
NET1	-0.577004601
SMNDC1	1.462026957
PAK4	-0.158138377
TNIP1	-0.808770928
IKZF1	1.120128722
TMEM5	0.056424904
HMG20B	0.291512532
MYL9	0.099259597
LYPLA1	-0.76649526
PPIE	0.440661876
VAV3	0.586834485
LRRC41	-0.856449422
CRTAP	-1.867680597
VAT1	0.684523237
STK25	-0.340833808
APPBP2	0.318116701
CHERP	1.722849502
HYOU1	1.038087408
RPP38	-0.429575041
SLC35A1	0.402894394
DRAP1	0.557591499
PAICS	-0.207429383
ST6GALNAC2	1.208753192
STAMBP	0.425193357
NPRL2	-1.034283922
IGF2BP2	2.884248034
YKT6	0.246329491
CGRRF1	-0.389113446
RRAGA	-0.693129915
GNB5	1.009374086
EBP	0.710425374
CNPY3	0.830657738
YME1L1	0.4544215
TCFL5	0.148750366
KDM5B	-0.487328623
POP4	-0.956143103
ARPP19	-1.379626053
ZNF274	-0.124062173
MTHFD2	-0.6068647
WASF3	1.582546961
UTP14A	-0.102691705
FRS2	0.343144552
CLPX	-1.016977075
PGRMC1	0.240396172
MALT1	-0.354514371
CPSF4	-0.43490086
BLCAP	-0.457350256
TCERG1	-0.829846436
RNPS1	1.546916245
TOMM34	-0.200268172
PDIA5	-0.699251107
MLLT11	-1.164201294
EBNA1BP2	1.165974446
TMED10	-0.237918678
ASCC3	-0.012071282
SLC27A3	1.022640304
KIF2C	0.237123036
