Gene_Id	tert-butylhydroquinone_JURKAT_6 h_3 µM
AARS	0.15834555
ABCF1	0.391047172
ABL1	-0.347007468
ACAA1	-0.634544551
ACAT2	1.322262704
ACLY	-0.307139367
ADAM10	-0.620135255
ADH5	1.717735142
PARP1	0.665660441
ADRB2	0.332948506
AGL	-0.657955185
AKT1	-0.727825642
ALAS1	0.144988805
ALDOA	0.225595653
ALDOC	0.496100396
SLC25A4	0.126043379
ANXA7	0.734804869
APBB2	1.319616228
BIRC2	-0.125922408
BIRC5	0.373738796
APOE	0.362777323
APP	0.313040763
FAS	0.514918312
RHOA	-0.839385599
ARHGAP1	-0.152644187
ASAH1	-0.552452177
ATF1	-0.34256795
ATP1B1	0.198365539
ALDH7A1	0.057873011
ATP6V0B	-0.470717698
BAD	-2.546333335
BAX	1.589971185
CCND1	-0.595896706
BCL2	0.399523117
BDH1	-0.606130507
BID	0.127814814
BLMH	0.672256052
BLVRA	0.502442792
BMP4	-0.002937257
BNIP3	0.215457975
BNIP3L	-0.892710239
BPHL	0.987170726
BRCA1	-0.006986447
BTK	0.440902486
BUB1B	-0.0667077
C5	0.310523167
DDR1	0.248658657
CALM3	0.735396475
CALU	1.867769733
CAPN1	-0.392308734
CAST	-0.472482935
CASP2	1.259313725
CASP3	0.23472023
CASP7	1.038806736
CASP10	-0.747255087
CAT	0.280948386
CBLB	-0.263526469
CBR1	-0.141741127
CBR3	-0.322395757
CCNA2	-0.537281469
CCNB1	1.659631297
CCND3	-0.466251194
CCNF	-0.112997022
CCNH	-0.159175299
SCARB1	1.17567873
CD40	0.191923782
CD44	2.420991782
CD58	0.240613714
ADGRE5	-0.141120851
CDK1	0.120851912
CDC20	0.216983467
CDC25A	-0.024414778
CDC25B	-3.014292657
CDC42	-0.611049503
CDH3	-0.146073699
CDK2	-0.156310104
CDK4	-0.812012851
CDK6	0.503325157
CDK7	-0.210116416
CDKN1A	1.177982658
CDKN1B	0.39905782
CDKN2A	0.365686089
CEBPA	-2.742927432
CEBPD	-0.594971508
CENPE	0.520553771
CETN3	-0.943671316
CHEK1	-0.123648271
CHN1	-0.745077066
CIRBP	-1.269369185
CLTB	-1.20194602
CLTC	-0.259462856
COL1A1	-0.565660656
COL4A1	-0.519700095
CREB1	-0.353587896
CRK	-0.164168939
CRKL	0.462786108
CRYZ	0.835759819
CSK	-0.264665708
CSNK1A1	0.382367611
CSNK1E	0.280903488
CSNK2A2	1.909640528
CSRP1	-0.508689761
CTNND1	-0.163297221
CTSD	-0.579690039
