Gene_Id	YC-1_HEPG2_24 h_5 µM
AARS	1.221316814
ABCF1	3.070583344
ABL1	-0.645371675
ACAA1	-4.795349121
ACAT2	-0.033341408
ACLY	0.616474926
ADAM10	-2.892561436
ADH5	-2.302744865
PARP1	1.445993781
ADRB2	0.091337904
AGL	0.769016266
AKT1	-1.526949406
ALAS1	5.691641808
ALDOA	-0.885198712
ALDOC	-0.88532263
SLC25A4	-0.069484144
ANXA7	2.18167305
APBB2	-6.713829994
BIRC2	0.140782252
BIRC5	-2.034760714
APOE	-1.264690995
APP	0.64451766
FAS	-0.880102575
RHOA	-3.471590996
ARHGAP1	3.377729893
ASAH1	-2.544742107
ATF1	-2.881241322
ATP1B1	0.084071629
ALDH7A1	1.79954505
ATP6V0B	-0.905355215
BAD	-0.426859856
BAX	4.415279865
CCND1	0.581233978
BCL2	0.136973113
BDH1	0.001525559
BID	-2.985566854
BLMH	-0.602506042
BLVRA	-0.935639024
BMP4	-1.474545479
BNIP3	-1.966573715
BNIP3L	0.623231947
BPHL	3.609044552
BRCA1	0.480988622
BTK	3.621868372
BUB1B	-5.10209322
C5	1.831226349
DDR1	-1.396027803
CALM3	1.857667923
CALU	-0.788230896
CAPN1	0.308485866
CAST	0.949638546
CASP2	-0.580928504
CASP3	0.264885485
CASP7	0.660573125
CASP10	0.972689748
CAT	-0.531925678
CBLB	0.089860231
CBR1	-0.965132594
CBR3	1.485701323
CCNA2	-2.154147387
CCNB1	9.287298203
CCND3	1.049312234
CCNF	-0.836752772
CCNH	2.062919855
SCARB1	-2.479115248
CD40	1.364610195
CD44	-0.402859867
CD58	-0.491486937
ADGRE5	-0.731190443
CDK1	-2.543700695
CDC20	-0.868252277
CDC25A	-0.393799275
CDC25B	-3.85161972
CDC42	-0.718965709
CDH3	0.951498032
CDK2	-0.838518262
CDK4	-0.071361467
CDK6	1.745676637
CDK7	1.026037693
CDKN1A	-0.196517318
CDKN1B	1.065636873
CDKN2A	1.529658198
CEBPA	-0.778106034
CEBPD	1.161818981
CENPE	-1.8774755
CETN3	5.037939072
CHEK1	1.653948069
CHN1	-1.218250275
CIRBP	0.828334689
CLTB	1.199768424
CLTC	-2.369003534
COL1A1	0.421293676
COL4A1	0.735410333
CREB1	-0.390523076
CRK	-6.302103043
CRKL	3.373414516
CRYZ	-0.54045558
CSK	-0.963380694
CSNK1A1	0.015215762
CSNK1E	-0.70716244
CSNK2A2	1.265516758
CSRP1	-2.347041607
CTNND1	-0.501727343
CTSD	-0.71734333
CTSL	4.977704048
CYB561	0.336283088
DAG1	0.489448607
DAXX	-1.059578657
DCK	-4.086844444
DCTD	-1.205620289
DDB2	2.548305273
GADD45A	-2.406386375
DDX10	-0.928196788
DECR1	-1.625282884
DFFA	2.38338232
DFFB	-3.542030334
DLD	3.821657181
DNM1	3.454058647
DNMT1	-0.092458069
DNMT3A	-0.834491313
DPH2	0.400066853
DSG2	-1.680513263
TSC22D3	-0.187291399
DUSP3	4.21974802
DUSP4	2.879334927
DUSP6	-1.273237705
TOR1A	0.892543495
E2F2	-4.459775448
ECH1	1.536004543
EDN1	1.353173614
EGF	-1.466188192
EGFR	5.935678482
EGR1	-0.604650497
EIF4EBP1	0.901438713
EIF4G1	0.875552893
EIF5	-4.463079929
ELAVL1	-0.05362463
CTTN	-0.24867475
EPB41L2	0.10170605
EPHA3	2.132579327
EPHB2	0.538113952
EPRS	0.147405505
NR2F6	-2.22922945
ERBB2	0.956781626
ERBB3	2.862708569
ETFB	2.29321003
ETS1	1.879080176
ETV1	0.265322983
EXT1	0.40822804
EZH2	-0.397689581
FAH	-3.857088566
PTK2B	1.010036826
FAT1	-1.859924078
FDFT1	0.618163288
FGFR2	3.302924633
FGFR4	3.601746559
FHL2	-1.29247725
FKBP4	-0.065376155
FOXO3	3.210065842
FOS	-0.211476624
FPGS	-2.834556103
FUT1	-1.002859235
FYN	-0.439858258
SLC37A4	-0.117981173
GAA	4.03330183
GABPB1	0.257299185
GALE	0.234025031
GAPDH	8.911771774
GATA2	0.923445702
GATA3	0.812816501
GFPT1	0.463903308
GHR	1.783128619
GLI2	0.292800367
GLRX	0.304293811
GNA11	4.957628727
GNA15	2.200506926
GNAI1	-1.66031754
GNAI2	0.834098339
GNAS	0.034785606
SFN	0.079838023
GPC1	1.499815464
GPER1	-1.430402517
GRB7	2.609196186
GRB10	0.039142162
GRN	0.380269855
NR3C1	-3.262655735
CXCL2	1.234095812
GSTM2	0.61197263
GSTZ1	-2.586881399
MSH6	-1.71440053
GTF2A2	-5.762570381
GTF2E2	-3.016952038
HSD17B10	-0.339084744
HADH	-1.605673552
HDAC2	1.850414991
HIF1A	3.869515657
HK1	0.884416282
HLA-DMA	2.426937819
HLA-DRA	-2.643849373
HMGCR	-0.817678452
HMGCS1	4.537960529
HMOX1	-2.973581553
HOXA5	-0.80445832
HOXA10	-0.820637345
HPRT1	6.23068428
HES1	-0.869233787
DNAJB2	1.820648193
HSPA1A	-0.787610531
HSPA4	-2.360349655
HSPA8	1.084315658
HSPB1	1.418996572
HSPD1	-0.565595448
DNAJB1	-1.296872616
ICAM1	3.343899727
ICAM3	-2.037374496
ID2	-2.11955595
IDE	2.534501553
