Gene_Id	spiperone_HEPG2_6 h_3 µM
AARS	-0.41917187
ABCF1	1.018828988
ABL1	-0.701791048
ACAA1	-0.060051739
ACAT2	0.764954567
ACLY	-0.653003454
ADAM10	0.546408415
ADH5	-0.069462776
PARP1	-0.035333768
ADRB2	-2.730712175
AGL	0.209883437
AKT1	-0.478691757
ALAS1	-0.753886461
ALDOA	-1.204999805
ALDOC	-1.984259009
SLC25A4	0.397119939
ANXA7	-0.40768379
APBB2	-2.714669228
BIRC2	-1.198058963
BIRC5	0.34814316
APOE	-0.143392384
APP	-1.254367828
FAS	1.045012355
RHOA	0.123567075
ARHGAP1	-0.353945136
ASAH1	-0.299942523
ATF1	0.282786936
ATP1B1	0.44488433
ALDH7A1	1.574288607
ATP6V0B	2.516528845
BAD	0.465447038
BAX	0.513661146
CCND1	0.480457217
BCL2	0.386088312
BDH1	-0.655020118
BID	0.089786656
BLMH	0.973529458
BLVRA	0.159220234
BMP4	-0.451532006
BNIP3	-0.699374378
BNIP3L	-1.42961657
BPHL	0.514210343
BRCA1	-0.697090864
BTK	0.259247214
BUB1B	0.977208495
C5	-0.062195554
DDR1	-0.088031262
CALM3	0.10036777
CALU	-0.822685897
CAPN1	-0.300360084
CAST	-0.068225995
CASP2	-0.458552301
CASP3	-0.347306401
CASP7	0.657516718
CASP10	-0.345439225
CAT	3.346539497
CBLB	0.991918385
CBR1	-0.210805461
CBR3	-0.301611573
CCNA2	-0.526195586
CCNB1	-0.588240266
CCND3	-0.119621962
CCNF	0.538484037
CCNH	-0.440275282
SCARB1	0.058137506
CD40	1.167618513
CD44	0.971089065
CD58	-0.007044092
ADGRE5	-0.044107761
CDK1	-0.111079603
CDC20	-1.472875834
CDC25A	-0.249362901
CDC25B	1.228572607
CDC42	-0.221429914
CDH3	0.207710907
CDK2	0.0119946
CDK4	-0.87765801
CDK6	0.371975064
CDK7	1.610171795
CDKN1A	0.748075604
CDKN1B	1.142361403
CDKN2A	-0.520990431
CEBPA	-0.050992966
CEBPD	-0.641355336
CENPE	-0.0171922
CETN3	0.13161248
CHEK1	-0.755315542
CHN1	-0.991317928
CIRBP	-0.442205787
CLTB	-0.164935797
CLTC	-0.850072742
COL1A1	-0.723765492
COL4A1	2.32132411
CREB1	1.340253353
CRK	0.182694882
CRKL	-1.347367764
CRYZ	-0.075675733
CSK	-0.044159204
CSNK1A1	-1.533990741
CSNK1E	0.169562876
CSNK2A2	0.314084768
CSRP1	0.086594723
CTNND1	-0.931122303
CTSD	-0.618333936
CTSL	0.664468706
CYB561	0.026735812
DAG1	0.21521154
DAXX	-0.767550945
DCK	-1.232523918
DCTD	0.215486079
DDB2	-0.686493993
GADD45A	0.523868084
DDX10	-0.578123987
DECR1	0.614298046
DFFA	-1.778028965
DFFB	-1.074333787
DLD	-0.004884094
DNM1	0.767710984
DNMT1	-0.28012374
DNMT3A	-0.036236182
DPH2	0.240970165
DSG2	0.965710461
TSC22D3	0.255173177
DUSP3	-0.150868937
DUSP4	0.011820465
DUSP6	0.762887836
TOR1A	0.425996333
E2F2	-0.823444724
ECH1	-1.274430156
EDN1	-0.738713741
EGF	0.034159303
