Gene_Id	temozolomide_HEPG2_6 h_10 µM
NCK1	-0.218388647
NFATC3	0.070914596
NFATC4	1.041634321
NFE2L2	-0.109554701
NFIL3	0.670594811
NFKB2	0.137603939
NFKBIA	0.15817669
NFKBIB	-0.550533533
NFKBIE	-0.564679205
NIT1	0.34642309
NMT1	-2.170706272
NOS3	-0.748012722
CNOT4	0.629219294
NOTCH1	0.331423819
PNP	0.438472211
NPC1	-0.610565424
SLC11A2	0.61083132
NRAS	0.25968951
NUCB2	-0.766931534
NUP88	0.216266245
NVL	0.159143478
ORC1	-0.549773335
OXA1L	0.212062657
OXCT1	-0.606521845
PAFAH1B1	0.151037484
PAFAH1B3	-0.442523718
SERPINE1	-1.611146092
PAK1	-0.522964418
PCBD1	-0.812767029
PCCB	-0.79450804
PCK2	-0.145525381
PCM1	-0.005064458
PCMT1	0.155392796
PCNA	-0.170559227
PDGFA	-0.062205553
PFKL	-0.203908354
PGAM1	-0.240740955
PGM1	0.713171363
PHKA1	-1.076276779
PHKB	0.301827669
PHKG2	-0.668134987
PIK3C2B	0.221112162
PIK3C3	-0.419602633
PIK3CA	0.076279983
PIN1	-0.461760044
PLA2G4A	-0.788174272
PLCB3	-0.088660598
PLK1	0.255687088
PLP2	-0.224044561
PLS1	0.556762218
PLSCR1	-0.089344725
PMAIP1	0.09436623
PMM2	0.525189579
POLB	0.121663578
POLE2	-0.330033094
POLR2I	-0.304988027
POLR2K	-0.599486589
PPARD	-0.216245309
PPARG	-0.017218836
PPIC	-0.399061441
PPOX	0.624034941
PPP2R5A	0.118103698
PPP2R5E	0.328138709
PRCP	-0.02385864
PRKACA	-0.005803451
PRKCD	1.281438112
PRKCH	0.344052404
PRKCQ	-8.388397217
MAPK9	0.349031359
MAPK13	0.414031059
MAP2K5	0.164856553
PRKX	-0.174999282
PROS1	0.045833021
LGMN	-0.439972579
HTRA1	0.535298049
PSMB8	0.682384014
PSMB10	-0.455300033
PSMD2	0.210775048
PSMD4	-0.18689695
PSMD9	0.181978106
PSMD10	0.23762852
PSME1	0.837310255
PSME2	-0.127291679
PTGS2	-1.075315356
PTK2	0.471961796
PTPN1	0.937044263
PTPN6	0.034562185
PTPN12	0.202014044
PTPRC	-0.046225108
PTPRF	-0.398717642
PTPRK	0.393036544
PXMP2	0.548496783
PXN	1.427067876
PYCR1	0.441224277
PYGL	0.633075953
RAB4A	-0.973111391
RAB27A	-0.337189674
RAC2	-1.910211802
RAD9A	-0.322317332
RAD51C	-0.044296943
MOK	0.041918904
RALA	0.091583878
RALB	0.507920265
RALGDS	-0.231637359
RAP1GAP	0.961440921
RASA1	-0.431358308
RB1	-0.175243944
KDM5A	-0.51868999
RELB	0.437437028
RFC2	0.505108535
RFC5	0.772820294
RFNG	-0.0290851
RFX5	-0.117326126
RGS2	-0.046448417
RHEB	0.650291026
RNH1	0.341940224
RPA1	0.682863653
RPA2	-0.222966611
RPA3	-0.614684463
MRPL12	0.177315533
RPN1	-0.556744039
RPS5	-0.27549696
RPS6	-0.421626687
RPS6KA1	-0.11110691
RSU1	0.244734839
RTN2	-0.310821712
S100A4	-0.71015799
S100A13	-0.109337889
SATB1	0.48649627
SCP2	-0.416343451
CCL2	0.100990228
SDHB	-0.167193905
SGCB	0.200220972
SHB	0.122449696
SHC1	-0.153125584
SKIV2L	-0.237306058
SKP1	0.031205036
SLC1A4	-0.864166737
SMARCA4	-0.018608302
SMARCC1	0.403728694
SMARCD2	-0.174507022
SNAP25	-0.000941008
SNCA	-0.684012711
SOX2	2.459589958
SOX4	-0.157695681
SPAG4	0.770986736
SPP1	0.571694195
SPR	0.126458764
SPTAN1	0.390882015
SRC	-0.21363166
STAT1	-0.216647118
STAT3	0.190883353
STAT5B	-0.310687244
AURKA	-0.527788162
STK10	0.491040468
STX1A	0.830786347
STX4	0.49950105
STXBP1	0.435785383
STXBP2	0.028224938
SUPV3L1	-1.02536571
SUV39H1	0.473359019
SYK	-1.063810825
SYPL1	0.000623494
TARBP1	-0.096172214
TBP	0.155236661
TBX2	-0.895722568
TBXA2R	-0.42355144
TCEA2	-0.230504513
VPS72	0.127735928
TCTA	-0.381356359
DYNLT3	0.840666234
TERT	-0.566520929
TESK1	-0.216686517
TFAP2A	0.367233396
TFDP1	0.234177828
TGFB3	0.610673487
TGFBR2	0.442522794
TIAM1	-0.033447068
TIMP2	0.026696712
TJP1	-0.490955889
TLE1	-0.39664194
TLR4	-0.247507989
TSPAN6	-0.40098685
TSPAN4	0.085956097
TOP2A	-0.349733591
TP53	-0.177034497
TP53BP1	0.207863852
TP53BP2	-0.533035398
TPD52L2	-0.067514241
TPM1	0.286833435
TSTA3	0.647837341
TXNRD1	-0.92579037
UBE2A	0.284641623
UGDH	-0.16207242
NR1H2	-0.387870759
USP1	-0.608562529
VDAC1	-0.324490875
WFS1	0.710877657
WRB	-0.15352425
XBP1	-0.075123042
XPNPEP1	0.147491932
ZFP36	0.343863517
ZNF131	0.027289951
ZMYM2	-0.446481675
PAX8	0.944354475
CXCR4	-0.437037379
IFRD2	-0.395593286
MAPKAPK3	-0.769785881
USP7	0.256588846
REEP5	-0.554257274
ST7	0.376854151
KAT6A	0.329537094
PDHX	0.334224522
FOSL1	0.518689096
HMGA2	0.188546047
NCOA3	0.770668387
NRIP1	0.213543266
SMC1A	-0.733881295
LAGE3	-0.02835533
AXIN1	0.79938215
CDC45	0.680038154
FZD1	-0.424388319
FZD7	-0.408606261
HIST2H2BE	-0.54939425
PIP4K2B	0.37359339
NCK2	-0.075935602
DYRK3	0.353806913
DUSP11	-0.095195636
RAE1	0.324597955
PIK3R3	-6.609568119
NIPSNAP1	-0.121015489
IKBKAP	-0.349166691
HAT1	0.056913242
MAPKAPK5	0.503637195
BHLHE40	0.382413357
MKNK1	0.177760094
CASK	-0.798376739
AKR7A2	-0.130273968
RUVBL1	-0.882890522
PSMG1	0.749740541
BECN1	-0.954638183
MBTPS1	0.975885987
EED	-0.498702943
CTNNAL1	-0.654647887
RNMT	-0.163114354
PEX11A	0.206998169
CREG1	0.228208765
