Gene_Id	tert-butylhydroquinone_JURKAT_24 h_10 µM
AARS	-0.636949956
ABCF1	0.224075139
ABL1	-0.261096418
ACAA1	0.846190572
ACAT2	0.14227736
ACLY	-0.114320904
ADAM10	-0.374033153
ADH5	0.823079467
PARP1	1.371026516
ADRB2	-1.685899854
AGL	0.552901387
AKT1	-0.577831447
ALAS1	2.558832884
ALDOA	-0.997528851
ALDOC	-0.846369624
SLC25A4	2.439178944
ANXA7	0.586625636
APBB2	-0.476360708
BIRC2	0.318466783
BIRC5	0.058902685
APOE	1.031949639
APP	-0.668806374
FAS	-0.008276403
RHOA	0.13564083
ARHGAP1	0.0809699
ASAH1	0.020357385
ATF1	0.479602635
ATP1B1	-0.592923164
ALDH7A1	0.197116971
ATP6V0B	-0.031410754
BAD	-0.339105248
BAX	-0.494733632
CCND1	-0.938303888
BCL2	0.486920238
BDH1	-2.32178998
BID	0.082855657
BLMH	-2.578072786
BLVRA	-0.409820586
BMP4	-0.579880536
BNIP3	-2.071129322
BNIP3L	0.49546802
BPHL	0.545402408
BRCA1	-1.061263561
BTK	-0.328248858
BUB1B	-2.149321318
C5	0.258463174
DDR1	1.205909133
CALM3	0.373881698
CALU	0.556334019
CAPN1	-0.441085547
CAST	-0.504054904
CASP2	0.656517684
CASP3	0.310902834
CASP7	1.017721772
CASP10	0.100277305
CAT	0.011289697
CBLB	0.908703089
CBR1	1.066319942
CBR3	-0.131628811
CCNA2	-0.214853287
CCNB1	1.284567356
CCND3	0.243966222
CCNF	-0.057766095
CCNH	-1.167199373
SCARB1	-0.486262053
CD40	-0.421929598
CD44	1.121067047
CD58	-0.444503129
ADGRE5	-0.099493369
CDK1	-0.49526456
CDC20	-0.666806817
CDC25A	-0.181668997
CDC25B	0.135416359
CDC42	-0.406210035
CDH3	1.502062321
CDK2	0.947397709
CDK4	-1.591640353
CDK6	0.010507882
CDK7	0.521653712
CDKN1A	0.175294369
CDKN1B	0.801197171
CDKN2A	-0.54934603
CEBPA	-0.160565436
CEBPD	0.604849815
CENPE	1.152801991
CETN3	0.193104267
CHEK1	0.628485203
CHN1	-0.129280537
CIRBP	0.573313057
CLTB	0.338069141
CLTC	0.051241055
COL1A1	1.232295156
COL4A1	-0.546663404
CREB1	0.73951602
CRK	-0.012272671
CRKL	1.031544566
CRYZ	0.258490235
CSK	-0.22699742
CSNK1A1	0.512362182
CSNK1E	0.537454784
CSNK2A2	-0.48654145
CSRP1	0.126591325
CTNND1	-0.60824573
CTSD	0.283653319
CTSL	0.273541629
CYB561	-0.603806674
DAG1	0.016207311
DAXX	-0.892999411
DCK	0.109054066
DCTD	0.353998125
DDB2	-0.366085589
GADD45A	-1.352532983
DDX10	-0.119396895
DECR1	-0.309780002
DFFA	0.400361061
DFFB	-0.080600858
DLD	-0.101290703
DNM1	-0.442237675
DNMT1	0.135339856
DNMT3A	0.257849127
DPH2	-0.603570759
DSG2	1.085007548
TSC22D3	0.61992389
DUSP3	-0.162241057
DUSP4	0.107234105
DUSP6	0.269372225
TOR1A	-0.795189857
E2F2	0.39027968
ECH1	-0.447225988
EDN1	0.241392449
EGF	0.055630196
EGFR	-0.6608091
EGR1	-0.208446473
EIF4EBP1	-0.668777287
EIF4G1	0.187056527
EIF5	-0.506076396
ELAVL1	0.120224893
CTTN	0.256646752
EPB41L2	-0.266881645
EPHA3	-1.148603559
EPHB2	-0.883031607
EPRS	0.537617326
NR2F6	-0.092256859
ERBB2	-0.030207299
ERBB3	-0.745300233
ETFB	-0.100345522
ETS1	1.658028483
ETV1	0.131917238
EXT1	-0.517164052
EZH2	-0.576157928
FAH	0.154356033
PTK2B	-0.377619952
FAT1	0.009092526
FDFT1	0.752137303
FGFR2	0.298363924
FGFR4	-0.417513788
FHL2	-0.407136321
FKBP4	0.144373387
FOXO3	-0.715416729
FOS	-0.125295267
FPGS	-0.205948472
FUT1	0.450049251
FYN	0.286746264
SLC37A4	2.309078217
GAA	-0.539329231
GABPB1	-0.105051294
GALE	0.107342064
GAPDH	0.532241821
GATA2	1.742249489
GATA3	0.498012364
GFPT1	0.33264181
GHR	0.309497088
GLI2	-0.423576713
GLRX	-1.204286218
GNA11	-0.487217069
GNA15	-0.271097511
GNAI1	0.670875371
GNAI2	-1.558113337
GNAS	0.090429097
SFN	-0.073882535
GPC1	0.532366812
GPER1	0.356269479
GRB7	0.719578862
GRB10	-1.14528513
GRN	-0.259068996
NR3C1	0.48881194
CXCL2	-2.084932566
GSTM2	0.452259094
GSTZ1	0.566029608
MSH6	-0.146434218
GTF2A2	0.3793073
GTF2E2	-0.392338514
HSD17B10	0.475007504
HADH	-0.035217419
HDAC2	-0.639671087
HIF1A	-0.701329648
HK1	-0.130565867
HLA-DMA	0.40671438
