Gene_Id	geldanamycin_HEPG2_24 h_3.33 µM
AARS	-5.522890091
ABCF1	1.059888102
ABL1	-4.850607514
ACAA1	0.084798768
ACAT2	-0.236268923
ACLY	0.89988327
ADAM10	-3.292185426
ADH5	-0.222638234
PARP1	-3.861536384
ADRB2	2.531415105
AGL	1.771402657
AKT1	-0.219254773
ALAS1	2.651824355
ALDOA	-2.762928843
ALDOC	-0.721826091
SLC25A4	-0.866993248
ANXA7	0.896753222
APBB2	0.295967251
BIRC2	-0.092190154
BIRC5	1.163206413
APOE	1.077906579
APP	-4.742172956
FAS	-1.671014786
RHOA	0.591325983
ARHGAP1	0.240348816
ASAH1	-0.616119504
ATF1	2.229582608
ATP1B1	-3.191436291
ALDH7A1	-0.196963906
ATP6V0B	-1.581626773
BAD	-0.276044548
BAX	1.456707597
CCND1	-1.670709312
BCL2	-2.146916151
BDH1	-5.105972052
BID	1.66253221
BLMH	2.566159129
BLVRA	1.446821928
BMP4	1.446410924
BNIP3	2.283954382
BNIP3L	0.587618813
BPHL	-3.712931395
BRCA1	0.74048689
BTK	1.756531835
BUB1B	-2.267659754
C5	0.13633503
DDR1	-0.150176004
CALM3	0.676010936
CALU	1.26058501
CAPN1	0.412290394
CAST	-2.254489362
CASP2	-3.217173934
CASP3	-3.159666538
CASP7	0.932292074
CASP10	1.916216791
CAT	3.22951746
CBLB	-0.805599421
CBR1	1.64347297
CBR3	-1.440605223
CCNA2	-1.034359008
CCNB1	1.394930422
CCND3	-0.64476034
CCNF	-1.116217673
CCNH	-0.04587619
SCARB1	-0.211366147
CD40	-1.165674835
CD44	2.690382004
CD58	0.559834056
ADGRE5	1.681301713
CDK1	-0.563960806
CDC20	-0.090139419
CDC25A	-5.200324297
CDC25B	0.835596189
CDC42	-6.090645313
CDH3	1.286134005
CDK2	-3.762826324
CDK4	1.738854118
CDK6	-0.933847368
CDK7	0.169170916
CDKN1A	1.342476547
CDKN1B	4.866219044
CDKN2A	0.335339844
CEBPA	1.238727689
CEBPD	-0.644556075
CENPE	2.245586276
CETN3	-1.214306235
CHEK1	1.626563549
CHN1	-1.397133887
CIRBP	0.695243672
CLTB	-0.061871104
CLTC	2.271561563
COL1A1	-0.551298559
COL4A1	-1.758671999
CREB1	0.050363988
CRK	-2.540853977
CRKL	1.772503734
CRYZ	0.585741371
