Gene_Id	tert-butylhydroquinone_JURKAT_24 h_3 µM
MYC	1.250813365
GADD45B	-0.769854844
MYLK	-0.237074897
MYO10	1.145358518
NCK1	-0.77708286
NFATC3	0.088729993
NFATC4	0.449664256
NFE2L2	-0.764127433
NFIL3	-0.652268678
NFKB2	-0.397218905
NFKBIA	0.158631399
NFKBIB	0.040514957
NFKBIE	0.639900416
NIT1	-0.457844563
NMT1	-0.39458634
NOS3	0.127712458
CNOT4	-0.213176608
NOTCH1	1.527129561
PNP	1.139540017
NPC1	-0.193702243
SLC11A2	-0.001144826
NRAS	0.203913152
NUCB2	0.028999515
NUP88	0.282946482
NVL	0.039637513
ORC1	-0.303205118
OXA1L	-0.091574132
OXCT1	-0.438144132
PAFAH1B1	0.674950957
PAFAH1B3	1.980780184
SERPINE1	-0.693006575
PAK1	0.100250885
PCBD1	0.940007597
PCCB	1.7178725
PCK2	0.66768169
PCM1	-0.27764298
PCMT1	-0.342461318
PCNA	-0.252004743
PDGFA	-0.111635059
PFKL	0.256686486
PGAM1	-0.196114883
PGM1	0.91030328
PHKA1	-0.63331449
PHKB	0.162260439
PHKG2	0.320005059
PIK3C2B	-0.324207157
PIK3C3	0.817137346
PIK3CA	0.628620759
PIN1	-0.218392164
PLA2G4A	-1.496082842
PLCB3	-2.994316697
PLK1	0.501967639
PLP2	0.064407349
PLS1	-0.220300436
PLSCR1	-1.888078362
PMAIP1	-0.44360517
PMM2	0.344240591
POLB	-0.233018398
POLE2	0.142519972
POLR2I	0.972690552
POLR2K	-1.678325474
PPARD	0.662235081
PPARG	1.613744706
PPIC	0.7714568
PPOX	0.778224438
PPP2R5A	0.504353181
PPP2R5E	-0.242416814
PRCP	0.129610509
PRKACA	1.717730228
PRKCD	0.431903221
PRKCH	0.868452311
PRKCQ	0.172108095
MAPK9	-0.990304992
MAPK13	-2.610337704
MAP2K5	0.373750735
PRKX	0.378713317
PROS1	-0.539221421
LGMN	0.683391594
HTRA1	-0.210213557
PSMB8	-0.422100037
PSMB10	-0.399048954
PSMD2	1.092442255
PSMD4	-0.18800661
PSMD9	-0.50666216
PSMD10	1.031652361
PSME1	0.359406235
PSME2	-1.03179951
PTGS2	-0.745038271
PTK2	0.324823856
PTPN1	0.49884291
PTPN6	0.177918971
PTPN12	-0.471394584
PTPRC	-0.804070193
PTPRF	-0.188053355
PTPRK	-0.579236552
PXMP2	0.473977089
PXN	0.144365214
PYCR1	-0.946391664
PYGL	-1.266839065
RAB4A	0.542608261
RAB27A	0.330882102
RAC2	-1.244986534
RAD9A	1.986206234
RAD51C	0.523410931
MOK	-0.837956488
RALA	-0.156899974
RALB	-0.392856836
RALGDS	2.290355563
RAP1GAP	0.237605587
RASA1	1.11036706
RB1	0.217102937
KDM5A	-1.215496108
RELB	0.081272349
RFC2	-0.084130481
RFC5	-0.759280071
RFNG	-0.238210499
RFX5	0.13059181
RGS2	0.110917225
RHEB	-0.127962857
RNH1	0.834884763
RPA1	1.232306525
RPA2	0.488261983
RPA3	0.14724049
MRPL12	-0.332244202
RPN1	-0.487314329
RPS5	-0.84921214
RPS6	0.310249981
RPS6KA1	-0.194648966
RSU1	1.507211506
RTN2	0.02668488
S100A4	0.457857639
S100A13	2.802659035
SATB1	0.15325959
SCP2	0.365196683
CCL2	-0.102247866
SDHB	-0.381865755
SGCB	-0.836403459
SHB	1.07100372
SHC1	0.384245336
SKIV2L	0.868591234
SKP1	1.177191511
SLC1A4	-0.204725027
SMARCA4	-0.009262204
SMARCC1	-0.465007037
SMARCD2	0.432004318
SNAP25	-3.143328667
SNCA	1.310040832
SOX2	0.729549065
SOX4	-0.627379715
SPAG4	-0.734894425
SPP1	0.125369087
SPR	0.511514544
SPTAN1	0.411900997
SRC	0.43325486
STAT1	0.952033862
STAT3	-0.107313976
STAT5B	2.483238935
AURKA	0.104617089
STK10	0.5852938
STX1A	0.310960595
STX4	-0.797134608
STXBP1	-0.564804286
STXBP2	-0.040422514
SUPV3L1	0.265483394
SUV39H1	-1.027083993
SYK	-0.123001516
SYPL1	0.072383374
TARBP1	-0.222380072
TBP	-0.561827064
TBX2	-0.15362516
TBXA2R	0.296055287
TCEA2	-0.097423315
VPS72	0.566631138
TCTA	1.34369719
DYNLT3	-0.128197297
TERT	0.05693382
TESK1	1.779831558
TFAP2A	0.538618306
TFDP1	2.022839427
TGFB3	-0.767857388
TGFBR2	0.456786215
TIAM1	0.015013441
TIMP2	0.286620773
TJP1	-0.470617473
TLE1	0.511244506
TLR4	-0.974243831
TSPAN6	1.675688982
TSPAN4	-0.254845276
TOP2A	0.501951694
TP53	1.493633479
TP53BP1	0.032363236
TP53BP2	0.424314931
TPD52L2	-0.409849092
TPM1	-0.724171162
TSTA3	0.809405208
TXNRD1	-0.983833343
UBE2A	-0.481376678
UGDH	0.313552678
NR1H2	-0.140955836
USP1	-0.168035977
VDAC1	-0.020613287
WFS1	-0.021810502
WRB	0.026899286
XBP1	-0.104921967
