Gene_Id	geldanamycin_HEPG2_24 h_1.11 µM
AARS	-7.127407551
ABCF1	0.197151667
ABL1	-4.194290161
ACAA1	-0.023066755
ACAT2	0.387239486
ACLY	0.922057599
ADAM10	-4.680294752
ADH5	0.592560649
PARP1	-4.623137474
ADRB2	2.030278265
AGL	1.477102041
AKT1	0.101972282
ALAS1	2.034127474
ALDOA	-4.116620064
ALDOC	-0.553097859
SLC25A4	-0.558108777
ANXA7	0.726292163
APBB2	0.495087326
BIRC2	-0.933693871
BIRC5	1.970751524
APOE	1.182444811
APP	-6.253696442
FAS	-1.663992047
RHOA	1.130191147
ARHGAP1	0.187011331
ASAH1	-0.98217383
ATF1	2.76703155
ATP1B1	-4.65995574
ALDH7A1	-0.224553138
ATP6V0B	-3.016093969
BAD	-0.411259746
BAX	1.741524398
CCND1	-1.208693892
BCL2	-1.843809724
BDH1	-6.134430885
BID	1.242323071
BLMH	1.680187166
BLVRA	2.249753475
BMP4	1.772126138
BNIP3	2.936793327
BNIP3L	0.704479337
BPHL	-4.086046934
BRCA1	0.682345539
BTK	1.440229535
BUB1B	-0.275880419
C5	0.605073243
DDR1	0.974915892
CALM3	0.709979102
CALU	0.122205019
CAPN1	0.720073998
CAST	-3.051603377
CASP2	-4.304007888
CASP3	-3.514962554
CASP7	0.189099282
CASP10	1.684221685
CAT	2.374733716
CBLB	2.986866474
CBR1	1.817194998
CBR3	-1.047819555
CCNA2	-1.245588109
CCNB1	1.966561019
CCND3	-1.395491093
CCNF	-0.887836516
CCNH	1.592826784
SCARB1	1.177362263
CD40	-1.253157973
CD44	4.148577094
CD58	0.330013007
ADGRE5	1.008266062
CDK1	-0.196963802
CDC20	1.858688131
CDC25A	-5.630634308
CDC25B	1.233960107
CDC42	-6.2604177
CDH3	1.63628912
CDK2	-4.622283459
CDK4	2.247375846
CDK6	-0.713514686
CDK7	0.261580795
CDKN1A	1.519996583
CDKN1B	4.546672106
CDKN2A	0.755099624
CEBPA	3.069101691
CEBPD	-0.026830502
CENPE	0.379526198
CETN3	-2.20051527
CHEK1	0.926377177
CHN1	-1.900216222
CIRBP	0.995855182
CLTB	0.087354191
CLTC	2.631652236
COL1A1	1.277665973
COL4A1	-2.425451875
CREB1	0.611194715
CRK	-3.204628348
CRKL	1.085657641
CRYZ	0.46915786
CSK	-0.159793019
CSNK1A1	4.023005128
CSNK1E	0.156747937
CSNK2A2	0.643856138
CSRP1	0.821051553
CTNND1	2.067971945
CTSD	1.02753529
CTSL	5.064602137
CYB561	-4.503283978
DAG1	0.219760984
DAXX	-0.269322127
DCK	0.949163035
DCTD	1.115246952
DDB2	0.45668745
GADD45A	-1.893816113
DDX10	-1.090520948
DECR1	-0.298050016
DFFA	-1.176603734
DFFB	-1.757199526
DLD	0.780084044
DNM1	0.111367613
DNMT1	-1.830092549
DNMT3A	0.989277303
DPH2	0.923090018
DSG2	2.278448939
TSC22D3	-0.572446793
DUSP3	3.500694275
DUSP4	-1.081617087
DUSP6	-0.224912938
TOR1A	-0.58752948
E2F2	0.48652263
ECH1	0.434518814
EDN1	-1.533860803
EGF	-2.455120862
EGFR	0.986745372
EGR1	0.078359127
EIF4EBP1	-1.95566988
EIF4G1	2.88255918
EIF5	2.585690618
ELAVL1	-0.896151673
CTTN	1.559596419
EPB41L2	-0.187819734
EPHA3	0.066586137
EPHB2	-0.4433617
EPRS	0.69811511
NR2F6	-2.248979062
ERBB2	0.982596248
ERBB3	3.118251562
ETFB	0.287370016
ETS1	2.384059668
ETV1	0.616797298
EXT1	2.372045934
EZH2	-1.90367794
FAH	1.257854074
PTK2B	-0.048642978
FAT1	-3.747530937
FDFT1	0.107568741
FGFR2	-4.976670265
FGFR4	1.027007759
FHL2	1.141496733
FKBP4	-1.59452635
FOXO3	-0.593164384
FOS	1.378290117
FPGS	0.006497979
FUT1	0.368099168
FYN	-0.135259271
SLC37A4	-0.201502498
GAA	1.487481922
GABPB1	-3.511250854
GALE	-0.378651649
GAPDH	2.044543266
GATA2	-0.901484013
GATA3	0.426963272
GFPT1	-4.696267724
GHR	-1.320090443
GLI2	3.573579311
GLRX	-1.339153945
GNA11	0.894391954
GNA15	1.665932834
GNAI1	0.001893774
GNAI2	1.288444102
GNAS	-0.628897518
SFN	0.423532441
GPC1	-5.033299923
GPER1	1.006691635
GRB7	-2.120143414
GRB10	-2.766507745
GRN	0.101729512
NR3C1	1.272093713
CXCL2	0.854450922
GSTM2	0.614876017
GSTZ1	-3.251405478
MSH6	0.836453646
GTF2A2	0.095518291
GTF2E2	0.606099308
HSD17B10	-0.126907706
HADH	0.129664391
HDAC2	0.588416994
HIF1A	1.996975005
HK1	1.587669522
HLA-DMA	0.570356086
HLA-DRA	0.999485523
HMGCR	-1.31660676
HMGCS1	1.812560558
HMOX1	0.827310055
HOXA5	2.248007655
HOXA10	-1.110765278
HPRT1	1.324457645
HES1	-2.799018204
DNAJB2	0.185092784
HSPA1A	0.082946211
HSPA4	0.242773622
HSPA8	0.771028817
HSPB1	2.920502067
HSPD1	1.851678908
DNAJB1	1.070788443
ICAM1	0.776615508
ICAM3	2.267837405
ID2	1.223220706
IDE	-3.767801285
IFNAR1	3.164970219
IGF1R	1.348593682
IGF2R	-2.684602648
IGFBP3	-3.212180972
IGHMBP2	0.148471825
IKBKB	0.823652681
IL1B	1.385170728
IL4R	1.021831214
IL13RA1	0.121703461
ILK	-4.783429384
INPP1	1.360482574
INSIG1	1.000844568
ITGAE	2.701914668
ITGB5	-0.488198549
JUN	-1.185325742
KCNK1	-0.852539182
KIF5C	1.488167405
KIT	0.632482067
KTN1	1.381984174
LAMA3	0.778106481
STMN1	0.743735448
LBR	1.379757345
LGALS8	2.949383646
LIG1	-0.253307328
LIPA	-2.595506907
LOXL1	-3.823328853
LRPAP1	0.004026189
LYN	-0.233697429
SMAD3	1.968726039
MAN2B1	0.422373243
MAT2A	0.874332428
MBNL1	6.31066227
MCM3	1.428206887
ME2	0.134310365
MEF2C	2.796687961
MAP3K4	-0.530570418
MEST	1.869460881
MIF	-1.060645938
FOXO4	-3.013004303
MMP1	-0.613495618
MMP2	2.061595738
MNAT1	-1.624517262
MSRA	-2.082042813
MUC1	-2.801285625
MYBL2	1.093348235
MYC	1.930199444
GADD45B	-0.232377708
MYLK	-0.666737147
MYO10	-0.812775731
