Gene_Id	brefeldin-a_HEPG2_6 h_10 µM
MYO10	-0.5482862
NCK1	-0.21699129
NFATC3	1.806458712
NFATC4	1.086725473
NFE2L2	-0.980152547
NFIL3	0.368049592
NFKB2	3.223263025
NFKBIA	-0.46087575
NFKBIB	-0.934095144
NFKBIE	0.064676017
NIT1	-0.755044043
NMT1	-2.273843527
NOS3	-0.34785378
CNOT4	-0.006221149
NOTCH1	1.62146616
PNP	0.211892501
NPC1	0.008225173
SLC11A2	-0.833130956
NRAS	0.930505037
NUCB2	-1.068217278
NUP88	-0.184886605
NVL	-0.219587654
ORC1	-0.598498762
OXA1L	1.18336463
OXCT1	-0.15024206
PAFAH1B1	0.162931666
PAFAH1B3	-0.559917927
SERPINE1	-0.057292879
PAK1	-1.09614861
PCBD1	0.004420979
PCCB	0.754680276
PCK2	0.423061877
PCM1	3.913703442
PCMT1	0.424727321
PCNA	-1.22297895
PDGFA	-0.266146243
PFKL	-3.575433493
PGAM1	2.917432308
PGM1	1.76756978
PHKA1	1.465212941
PHKB	0.600367069
PHKG2	-2.766751289
PIK3C2B	-3.032553196
PIK3C3	7.153737068
PIK3CA	0.808284283
PIN1	1.057486653
PLA2G4A	-0.641646802
PLCB3	-0.918318152
PLK1	0.312270522
PLP2	-2.130197525
PLS1	0.092580244
PLSCR1	-1.025164843
PMAIP1	-0.789311528
PMM2	-0.711479902
POLB	1.637387156
POLE2	1.150300264
POLR2I	-1.147581339
POLR2K	-0.795784414
PPARD	0.216440633
PPARG	0.506452084
PPIC	-0.216906935
PPOX	-0.895518184
PPP2R5A	-1.522382975
PPP2R5E	-1.059364319
PRCP	1.200237513
PRKACA	0.05926168
PRKCD	-0.038723864
PRKCH	-0.206765532
PRKCQ	-7.083910942
MAPK9	-0.172682241
MAPK13	-2.180428028
MAP2K5	0.640005231
PRKX	-1.155059814
PROS1	0.13414526
LGMN	0.57420969
HTRA1	-0.834649682
PSMB8	-1.069024205
PSMB10	0.015349567
PSMD2	1.469485879
PSMD4	-0.091483898
PSMD9	1.236566186
PSMD10	0.248703659
PSME1	0.159632415
PSME2	-0.405374289
PTGS2	-0.397670686
PTK2	0.715650678
PTPN1	0.769335747
PTPN6	0.345387846
PTPN12	-0.450830221
PTPRC	-0.292882442
