Gene_Id	mitomycin-c_HCC515_6 h_10 µM
MYLK	0.010162324
MYO10	0.444418013
NCK1	-0.015157849
NFATC3	-0.937918365
NFATC4	0.197887965
NFE2L2	-0.391982019
NFIL3	0.364640877
NFKB2	0.149706364
NFKBIA	-0.00798656
NFKBIB	-0.477918111
NFKBIE	-0.998329937
NIT1	0.868943289
NMT1	-0.124940358
NOS3	-0.174415343
CNOT4	-0.198487148
NOTCH1	0.369953364
PNP	-0.205702811
NPC1	-0.197080418
SLC11A2	-0.804823309
NRAS	0.062774971
NUCB2	-1.099135369
NUP88	1.580118895
NVL	-0.184644787
ORC1	2.778443318
OXA1L	-0.574311346
OXCT1	-3.255055085
PAFAH1B1	0.105442739
PAFAH1B3	1.476856291
SERPINE1	0.699719512
PAK1	0.994443297
PCBD1	-0.325662002
PCCB	1.901515484
PCK2	-0.410054192
PCM1	0.905452982
PCMT1	0.170889392
PCNA	0.248465806
PDGFA	0.147891231
PFKL	0.880419344
PGAM1	0.530685872
PGM1	1.830064312
PHKA1	0.364250489
PHKB	-0.356196865
PHKG2	0.019315064
PIK3C2B	-0.05725196
PIK3C3	-0.041131943
PIK3CA	-0.635199189
PIN1	0.455787867
PLA2G4A	-0.499058917
PLCB3	-0.063210607
PLK1	-0.239472911
PLP2	-3.34438628
PLS1	-0.06546443
PLSCR1	0.70001395
PMAIP1	-0.655335009
PMM2	-0.915596291
POLB	-0.662113205
POLE2	0.056087524
POLR2I	0.115965486
POLR2K	-0.277598418
PPARD	0.277794152
PPARG	0.188143551
PPIC	1.729811028
PPOX	-0.263733611
PPP2R5A	-0.01347436
PPP2R5E	0.024359494
PRCP	-0.845671892
PRKACA	0.494314596
PRKCD	0.037768841
PRKCH	0.109032378
PRKCQ	0.476853475
MAPK9	1.097814471
MAPK13	0.349273741
MAP2K5	-0.332349211
PRKX	-0.345603377
PROS1	0.280354306
LGMN	0.42759308
HTRA1	1.630650342
PSMB8	-0.284317195
PSMB10	0.581650831
PSMD2	0.287692957
PSMD4	0.830860436
PSMD9	-1.061211228
PSMD10	0.455955848
PSME1	1.525221817
PSME2	-0.025098637
PTGS2	2.601835504
PTK2	0.81945546
PTPN1	-0.123179827
PTPN6	-0.471671104
PTPN12	-0.086743802
PTPRC	0.475322727
PTPRF	1.444167286
PTPRK	-0.327666357
PXMP2	0.631439332
PXN	-0.925792411
PYCR1	-0.531000018
PYGL	-0.003606945
RAB4A	-0.526006415
RAB27A	-1.071476668
RAC2	0.021442235
RAD9A	0.050683714
RAD51C	-1.247710645
MOK	0.1660375
RALA	-0.37567091
RALB	0.042604275
RALGDS	-0.153093457
RAP1GAP	0.011018008
RASA1	0.390477061
RB1	-1.563107967
KDM5A	-0.441715971
RELB	0.216655254
RFC2	-0.876591295
RFC5	-0.623824909
RFNG	-0.082270101
RFX5	0.53108339
RGS2	-0.262000561
RHEB	0.038634095
RNH1	1.210220203
RPA1	-0.063446477
RPA2	-0.082976222
RPA3	-0.325966597
MRPL12	-1.393415809
RPN1	-1.198133007
RPS5	0.06091395
RPS6	0.460792881
RPS6KA1	-0.309900463
RSU1	-0.455372959
RTN2	0.844064087
S100A4	-0.133359596
S100A13	-1.135151729
SATB1	0.232620284
SCP2	0.149175435
CCL2	0.487497091
SDHB	0.18190717
