Gene_Id	YC-1_HEPG2_6 h_5 µM
AARS	-0.819384098
ABCF1	0.485990822
ABL1	0.166771442
ACAA1	-0.329016834
ACAT2	0.434492439
ACLY	-0.033659279
ADAM10	-0.183471575
ADH5	-0.753722072
PARP1	1.109192371
ADRB2	-2.863678217
AGL	-0.948581338
AKT1	-1.275320768
ALAS1	1.795323372
ALDOA	-3.310303688
ALDOC	-1.281578064
SLC25A4	0.022863962
ANXA7	0.74894619
APBB2	-4.371525288
BIRC2	0.606853902
BIRC5	1.149556041
APOE	-2.372536659
APP	0.049420744
FAS	0.521429181
RHOA	-3.148928165
ARHGAP1	1.435830355
ASAH1	-2.808598042
ATF1	-0.246129811
ATP1B1	0.392839551
ALDH7A1	-0.51114732
ATP6V0B	0.540249467
BAD	-0.402857304
BAX	0.735595465
CCND1	1.366535544
BCL2	2.929795265
BDH1	-0.242838517
BID	1.350599051
BLMH	-0.028910682
BLVRA	0.542541623
BMP4	-2.976354122
BNIP3	2.452696323
BNIP3L	2.748774767
BPHL	2.65385747
BRCA1	0.645499647
BTK	0.29459101
BUB1B	0.73488158
C5	1.710018635
DDR1	-1.635945559
CALM3	1.10806036
CALU	1.749393106
CAPN1	-0.207735956
CAST	0.355137408
CASP2	1.07466042
CASP3	1.777911305
CASP7	3.252940655
CASP10	-0.849961877
CAT	1.57866931
CBLB	2.623624802
CBR1	0.187778339
CBR3	1.456385255
CCNA2	-1.101955175
CCNB1	5.12955761
CCND3	0.82783258
CCNF	-1.29693985
CCNH	0.496855319
SCARB1	-4.013150215
CD40	1.142165661
CD44	3.359597921
CD58	-0.913383901
ADGRE5	0.501523793
CDK1	0.689839005
CDC20	-0.297168165
CDC25A	0.84934634
CDC25B	0.339807749
CDC42	0.063894451
CDH3	-1.610497236
CDK2	-0.81519264
CDK4	-0.099925622
CDK6	1.114795685
CDK7	2.011966944
CDKN1A	0.112269208
CDKN1B	0.517181635
CDKN2A	-2.259851217
CEBPA	-0.955052972
CEBPD	1.388796687
CENPE	-3.001276493
CETN3	1.851225853
CHEK1	0.298312485
CHN1	-1.463209152
CIRBP	0.988417268
CLTB	0.389907479
CLTC	-1.602720261
COL1A1	0.977056742
COL4A1	2.106839657
CREB1	-0.525192201
CRK	-3.296429634
CRKL	1.181477547
CRYZ	-1.38621664
CSK	-0.336628944
CSNK1A1	-0.606446862
CSNK1E	-0.127873763
CSNK2A2	-0.725928426
CSRP1	-1.142665386
CTNND1	-0.039610058
CTSD	-0.897391856
CTSL	4.02276516
CYB561	-0.480899632
DAG1	-0.437630177
DAXX	-0.587355852
DCK	-1.08545351
DCTD	0.15641737
DDB2	-1.134766102
GADD45A	1.181108236
DDX10	1.509287477
DECR1	-0.891688704
DFFA	0.562866986
DFFB	-1.210191011
DLD	0.667633891
DNM1	6.229800701
DNMT1	0.509053707
DNMT3A	-1.500516295
DPH2	-0.355725259
DSG2	-2.177876472
TSC22D3	0.341240078
DUSP3	0.784147978
DUSP4	1.051242352
DUSP6	-0.297208846
TOR1A	0.996797919
E2F2	-2.216145277
ECH1	-0.478146821
EDN1	0.267900497
EGF	0.512611568
EGFR	1.017848969
EGR1	-2.048256397
EIF4EBP1	-3.404114962
EIF4G1	-0.051435426
EIF5	-1.15148294
ELAVL1	-0.056890845
CTTN	0.340382218
EPB41L2	0.228064477
EPHA3	0.721531749
EPHB2	2.363419056
EPRS	-0.284147382
NR2F6	-1.230090499
ERBB2	-2.250187159
ERBB3	0.394990236
