Gene_Id	quercetin_HEPG2_6 h_10 µM
GADD45B	1.367151618
MYLK	0.624007344
MYO10	-1.275574684
NCK1	-0.532590985
NFATC3	-1.920073748
NFATC4	-0.447114944
NFE2L2	1.5243752
NFIL3	-0.289396882
NFKB2	-0.871944368
NFKBIA	-0.076867357
NFKBIB	0.086894639
NFKBIE	0.130325705
NIT1	0.304380327
NMT1	1.454846144
NOS3	1.329388738
CNOT4	-0.054340355
NOTCH1	-0.868189096
PNP	-0.030518217
NPC1	-1.434096217
SLC11A2	-0.401230991
NRAS	-0.305725873
NUCB2	0.846655369
NUP88	0.591986716
NVL	-2.396080971
ORC1	-0.128599346
OXA1L	-0.757450104
OXCT1	-0.924489081
PAFAH1B1	0.436734736
PAFAH1B3	-1.344651341
SERPINE1	-0.164938748
PAK1	-1.161360979
PCBD1	-0.18598251
PCCB	0.632217824
PCK2	0.561067045
PCM1	-3.042270184
PCMT1	-1.254751086
PCNA	1.810008526
PDGFA	0.10502702
PFKL	1.012220263
PGAM1	0.515421629
PGM1	2.483766317
PHKA1	0.365067214
PHKB	-0.438378036
PHKG2	2.277817965
PIK3C2B	-0.653143406
PIK3C3	0.76205802
PIK3CA	0.088950709
PIN1	-1.157369137
PLA2G4A	-0.484632313
PLCB3	0.382930666
PLK1	-2.179484844
PLP2	1.902568936
PLS1	0.101950228
PLSCR1	0.278893232
PMAIP1	0.398830086
PMM2	0.765860558
POLB	0.328599691
POLE2	-1.795290232
POLR2I	0.783758104
POLR2K	0.452090323
PPARD	-0.821006954
PPARG	-0.750441432
PPIC	0.966029763
PPOX	1.262320757
PPP2R5A	-1.891144991
PPP2R5E	0.795850813
PRCP	2.605026007
PRKACA	-0.184319824
PRKCD	-1.702599525
PRKCH	-0.938129723
PRKCQ	-0.489886105
MAPK9	-3.077559948
MAPK13	-1.021310687
MAP2K5	-0.380737484
PRKX	-0.786546707
PROS1	0.222269922
LGMN	0.71873343
HTRA1	-2.612995148
PSMB8	-1.255108714
PSMB10	-1.08362782
PSMD2	-0.942190409
PSMD4	1.438119888
PSMD9	-0.864729583
PSMD10	-1.1988585
PSME1	-0.32186377
PSME2	0.369337916
PTGS2	1.411168933
PTK2	0.913000703
PTPN1	-0.75304234
PTPN6	-1.526450872
PTPN12	0.260211378
PTPRC	-6.162621498
PTPRF	-0.568165302
PTPRK	-1.626014471
PXMP2	-0.30548808
PXN	0.145036191
PYCR1	-0.914543867
PYGL	-0.56007576
RAB4A	0.96315515
RAB27A	0.634369493
RAC2	-5.04584074
RAD9A	-0.08259441
RAD51C	-0.360781848
MOK	0.181233466
RALA	1.506053686
RALB	-0.687020302
RALGDS	0.69232887
RAP1GAP	0.854594231
RASA1	-0.519711375
RB1	-2.567843437
KDM5A	0.715895891
RELB	-2.725067139
RFC2	-1.966586471
RFC5	-1.690962553
RFNG	-1.200874329
RFX5	-1.849930286
RGS2	-0.840867519
RHEB	-1.07699585
RNH1	-1.410058141
RPA1	-1.522349477
RPA2	1.255225182
RPA3	-0.121343754
MRPL12	1.191833854
RPN1	-0.150816172
RPS5	1.091116667
RPS6	0.110537618
RPS6KA1	1.197825193
RSU1	0.576756775
RTN2	2.440730572
S100A4	0.605011463
S100A13	0.365626305
SATB1	1.650188684
SCP2	-1.159014225
CCL2	0.189574614
SDHB	0.816231608
SGCB	-0.438978851
SHB	-0.004728009
SHC1	0.714458048
SKIV2L	-0.977773249
SKP1	1.195818186
SLC1A4	-0.228485733
SMARCA4	0.130375385
SMARCC1	-1.253635168
SMARCD2	0.668858349
SNAP25	0.876190782
SNCA	-0.343894243
SOX2	-0.746253908
SOX4	-1.08493948
SPAG4	-1.488719702
SPP1	-1.145649433
SPR	-0.637998879
SPTAN1	-1.885020971
SRC	1.55492866
STAT1	1.290090442
STAT3	-1.362202525
STAT5B	-0.379656345
AURKA	1.87846458
STK10	-1.288249016
STX1A	2.385042191
STX4	-0.124909073
STXBP1	-0.797361553
STXBP2	1.517769337
SUPV3L1	0.902668774
SUV39H1	-2.193160057
SYK	0.029903121
SYPL1	0.546406031
TARBP1	-0.669147491
TBP	-2.095325947
TBX2	2.136539459
TBXA2R	1.211450338
TCEA2	0.100575328
VPS72	-0.733425021
TCTA	-1.023062229
DYNLT3	-0.108347982
TERT	-0.936978102
TESK1	0.004206106
TFAP2A	-1.721653461
TFDP1	-0.018844098
TGFB3	-1.085555077
TGFBR2	-2.837900639
TIAM1	-1.170666695
TIMP2	0.451239586
TJP1	1.193762064
TLE1	0.121471636
TLR4	-2.649545193
TSPAN6	0.228889406
TSPAN4	-2.762326479
TOP2A	-0.920481801
TP53	0.415552825
TP53BP1	-1.53207159
TP53BP2	0.765729666
TPD52L2	0.571806788
TPM1	-1.298181295
TSTA3	0.382281095
TXNRD1	0.800289512
UBE2A	-1.195244312
UGDH	0.388797015
NR1H2	-0.950130463
USP1	0.501687229
VDAC1	-1.049913406
WFS1	-3.431559086
WRB	1.129276633
XBP1	0.795451581
XPNPEP1	-1.011025429
ZFP36	-1.573940873
ZNF131	1.004240513
ZMYM2	0.845325112
PAX8	-1.977173805
CXCR4	3.457251072
IFRD2	1.364565849
MAPKAPK3	0.671129465
USP7	1.260346532
REEP5	-0.669383526
ST7	0.569030523
KAT6A	-1.280295968
PDHX	0.293791831
FOSL1	-0.189993486
HMGA2	-0.696040273
NCOA3	0.281415522
NRIP1	-1.030563474
SMC1A	-0.553977013
LAGE3	1.105773687
AXIN1	0.070671789
CDC45	-0.77676785
FZD1	0.465192646
FZD7	1.410224915
