Gene_Id	tert-butylhydroquinone_JURKAT_24 h_1 µM
AARS	0.081370175
ABCF1	1.153851986
ABL1	0.26245296
ACAA1	0.493095845
ACAT2	2.837969542
ACLY	-1.439588189
ADAM10	-0.236512333
ADH5	-0.766827881
PARP1	0.557843566
ADRB2	0.644930303
AGL	0.366516829
AKT1	-0.221198931
ALAS1	0.280055553
ALDOA	-0.070282906
ALDOC	0.123019174
SLC25A4	-0.066348411
ANXA7	0.079210259
APBB2	-0.330092043
BIRC2	-0.855760396
BIRC5	0.318802685
APOE	-0.315181792
APP	0.44106853
FAS	-0.649071097
RHOA	-0.510582209
ARHGAP1	1.266854286
ASAH1	-0.100903109
ATF1	-0.151108012
ATP1B1	0.347411722
ALDH7A1	0.086627066
ATP6V0B	-0.263133466
BAD	-0.04900644
BAX	-0.232979491
CCND1	0.104339078
BCL2	0.18468231
BDH1	-2.693305731
BID	-0.002969787
BLMH	-0.070474952
BLVRA	-0.415124893
BMP4	-0.653042972
BNIP3	-1.505098343
BNIP3L	2.589061022
BPHL	-0.118446738
BRCA1	-2.07624054
BTK	-0.193417624
BUB1B	-0.195532933
C5	-0.006342195
DDR1	0.070881195
CALM3	-0.573020697
CALU	0.325268418
CAPN1	0.261281818
CAST	-0.761225402
CASP2	-0.464723945
CASP3	0.362585783
CASP7	-0.305681646
CASP10	-0.172535494
CAT	2.179479122
CBLB	-0.068533547
CBR1	0.473555923
CBR3	-0.189122915
CCNA2	0.306055576
CCNB1	-0.562165856
CCND3	0.171828404
CCNF	0.490139276
CCNH	-0.059975185
SCARB1	-0.051895946
CD40	0.047378339
CD44	-0.183668122
CD58	-0.279249728
ADGRE5	-0.575914621
CDK1	-0.526418567
CDC20	0.160305649
CDC25A	0.478056312
CDC25B	-0.025466125
CDC42	-0.483365089
CDH3	-0.139804155
CDK2	-0.008988865
CDK4	0.08146973
CDK6	1.251078367
CDK7	0.602036595
CDKN1A	0.00246878
CDKN1B	0.530470192
CDKN2A	0.122172803
CEBPA	-1.434530854
CEBPD	-0.03901726
CENPE	0.357285738
CETN3	-0.292540252
CHEK1	-0.030241609
CHN1	-0.70078063
CIRBP	0.248057768
CLTB	-0.11070396
CLTC	0.925447166
COL1A1	0.286457986
COL4A1	0.105993435
CREB1	-0.79471159
CRK	0.232115
CRKL	0.037590813
CRYZ	-0.243834183
CSK	0.240022451
CSNK1A1	-0.412840545
CSNK1E	-0.355085999
CSNK2A2	-0.090744801
CSRP1	-0.036266662
CTNND1	0.161370292
CTSD	0.171074212
CTSL	-0.287039816
CYB561	0.688059568
DAG1	-0.57617414
DAXX	0.413904727
DCK	-0.311726719
DCTD	0.049052443
DDB2	-1.057160497
GADD45A	0.069283545
DDX10	0.04982822
DECR1	-0.299714774
DFFA	-1.337042093
DFFB	0.12934798
DLD	-0.044252325
DNM1	-0.350388616
DNMT1	-0.911348879
DNMT3A	-0.471034795
DPH2	-0.394364059
DSG2	0.014485611
TSC22D3	1.10947454
DUSP3	0.002781317
DUSP4	0.067955032
DUSP6	-0.573067069
TOR1A	-1.274532795
E2F2	-0.155473411
ECH1	0.465980858
EDN1	0.509322226
EGF	-0.186557844
EGFR	-0.56259805
EGR1	0.171664879
EIF4EBP1	-0.805502176
EIF4G1	0.107005566
EIF5	-0.669697046
ELAVL1	-0.574606895
CTTN	0.482384264
EPB41L2	-0.489829004
EPHA3	-1.095428467
EPHB2	-0.083972543
EPRS	0.282920718
NR2F6	-0.467671067
ERBB2	1.148204446
ERBB3	-0.109663054
ETFB	0.377277136
ETS1	-0.491687834
ETV1	0.10475637
EXT1	0.353137523
EZH2	-0.071918532
FAH	-0.325955421
PTK2B	0.591581106
FAT1	0.397473574
FDFT1	-0.471285135
FGFR2	0.171190217
FGFR4	0.215572387
FHL2	-0.328730345
FKBP4	-0.821269989
FOXO3	0.600092471
FOS	0.451273799
FPGS	-0.123851851
FUT1	-0.247288451
FYN	-0.087797239
SLC37A4	1.507521153
GAA	0.077019595
GABPB1	-0.369242996
GALE	0.220614463
GAPDH	-0.309077322
GATA2	0.035104692
GATA3	0.304707706
GFPT1	0.452585489
GHR	-2.421537399
GLI2	-0.385417938
GLRX	-1.785124183
GNA11	0.322465718
GNA15	-0.257992446
GNAI1	-0.477556854
GNAI2	-0.078914538
GNAS	-0.185550153
SFN	0.086731203
GPC1	0.221867055
GPER1	0.067426153
GRB7	1.06855309
GRB10	-0.143175527
