Gene_Id	YC-1_HEPG2_24 h_20 µM
AARS	0.548281252
ABCF1	4.323843002
ABL1	-0.322080255
ACAA1	-8.413793564
ACAT2	1.073929787
ACLY	2.502478123
ADAM10	-2.822896004
ADH5	-1.34519887
PARP1	1.910150051
ADRB2	-3.127782583
AGL	0.876667738
AKT1	-2.387299061
ALAS1	7.758538246
ALDOA	0.43747744
ALDOC	-3.244063377
SLC25A4	-0.850231886
ANXA7	1.462802649
APBB2	-5.35576725
BIRC2	0.142356902
BIRC5	-0.968144774
APOE	-1.741687894
APP	-0.526919365
FAS	-1.613319635
RHOA	-4.00613451
ARHGAP1	3.458992481
ASAH1	-2.997049332
ATF1	-6.369996071
ATP1B1	-0.806096375
ALDH7A1	1.916481972
ATP6V0B	-0.010878175
BAD	1.071827173
BAX	4.114002228
CCND1	0.723911881
BCL2	0.908511996
BDH1	-0.051740523
BID	-1.846140862
BLMH	-0.816428065
BLVRA	2.015784025
BMP4	-1.209627271
BNIP3	-0.743552804
BNIP3L	0.988181591
BPHL	3.846618891
BRCA1	1.324149132
BTK	5.993979454
BUB1B	-4.612865448
C5	2.480164528
DDR1	-0.16820246
CALM3	0.906590581
CALU	1.990748167
CAPN1	0.460441917
CAST	1.088152289
CASP2	-1.37697804
CASP3	2.527784109
CASP7	2.018111944
CASP10	1.005202651
CAT	1.673204303
CBLB	-2.414255381
CBR1	-1.452376485
CBR3	2.749358177
CCNA2	-2.756460667
CCNB1	9.734749794
CCND3	2.099185228
CCNF	-0.989367843
CCNH	2.447421789
SCARB1	-5.38817358
CD40	1.194490552
CD44	-1.11792469
CD58	-0.213508129
ADGRE5	-0.794549942
CDK1	-1.162156582
CDC20	-1.217327714
CDC25A	0.410829931
CDC25B	-2.279696941
CDC42	-0.025779178
CDH3	-0.674637079
CDK2	-3.148031235
CDK4	1.693321824
CDK6	1.305487514
CDK7	1.384534836
CDKN1A	0.962608576
CDKN1B	3.246053219
CDKN2A	2.79617095
CEBPA	-1.602434754
CEBPD	1.453881025
CENPE	-5.262443542
CETN3	4.057676792
CHEK1	0.825323105
CHN1	-1.377101898
CIRBP	0.785095155
CLTB	0.991300046
CLTC	-2.395158768
COL1A1	0.991897583
COL4A1	2.495007038
CREB1	-0.748685956
CRK	-8.881783485
CRKL	5.302528381
CRYZ	-0.384819567
CSK	-1.197417974
CSNK1A1	-0.15083842
CSNK1E	-0.07434471
CSNK2A2	2.115701675
CSRP1	-3.050476074
CTNND1	1.853209496
CTSD	-0.286653161
CTSL	4.196598053
CYB561	-0.430473685
DAG1	5.877660751
DAXX	-0.85594821
DCK	-4.362603664
DCTD	-1.134170532
DDB2	3.576825857
GADD45A	-1.758154631
DDX10	0.023825303
DECR1	-0.665938854
DFFA	2.034956932
DFFB	-3.768679619
DLD	0.212387919
DNM1	8.749290466
DNMT1	1.971880198
DNMT3A	-0.977101922
DPH2	-0.254627258
DSG2	-4.154565811
TSC22D3	0.895279527
DUSP3	2.40090847
DUSP4	2.66973877
DUSP6	-0.99420464
TOR1A	1.077465296
E2F2	-7.078530312
ECH1	0.734256327
EDN1	4.004962444
EGF	-0.926011562
EGFR	5.709160805
EGR1	0.11893791
EIF4EBP1	0.070198387
EIF4G1	1.494813085
EIF5	-1.346421123
ELAVL1	-1.044766784
CTTN	-2.699461222
EPB41L2	-0.62016809
EPHA3	1.9818995
EPHB2	2.307926178
EPRS	1.711256027
NR2F6	-4.363832474
ERBB2	0.342084378
ERBB3	4.250265598
ETFB	3.748453617
ETS1	2.421098709
ETV1	1.062038183
EXT1	0.62770468
EZH2	-1.591464877
FAH	-4.418023109
PTK2B	0.074593149
FAT1	-2.853014469
FDFT1	1.630719781
FGFR2	1.925119996
FGFR4	3.776435852
FHL2	-1.759864807
FKBP4	1.334563255
FOXO3	3.065965414
FOS	0.630845606
FPGS	-4.258806705
FUT1	-0.033242136
FYN	-0.206829339
SLC37A4	0.815276027
GAA	5.665373802
GABPB1	0.923592746
GALE	-2.324447393
