Gene_Id	tert-butylhydroquinone_JURKAT_6 h_10 µM
AARS	0.000807017
ABCF1	0.16109468
ABL1	-0.132945135
ACAA1	0.11062374
ACAT2	-0.452458322
ACLY	-1.517525673
ADAM10	-0.594910562
ADH5	0.587453067
PARP1	0.784319997
ADRB2	-0.000377476
AGL	-0.215707526
AKT1	-0.822826028
ALAS1	-0.404380471
ALDOA	-0.117204085
ALDOC	0.545144618
SLC25A4	0.055008121
ANXA7	0.603803098
APBB2	1.02113986
BIRC2	-0.272108227
BIRC5	0.277895093
APOE	0.141307488
APP	0.797749758
FAS	-0.440919101
RHOA	-0.609030783
ARHGAP1	-0.368752837
ASAH1	0.55351007
ATF1	0.029944465
ATP1B1	-0.544797301
ALDH7A1	-0.130641237
ATP6V0B	-0.013450548
BAD	0.101106018
BAX	-0.20505923
CCND1	-0.61482501
BCL2	1.118636608
BDH1	-0.92341435
BID	0.681150317
BLMH	0.928418994
BLVRA	-0.345035911
BMP4	0.455171108
BNIP3	-0.607486665
BNIP3L	-0.016195886
BPHL	1.001480579
BRCA1	-0.753759384
BTK	-0.713482499
BUB1B	0.300559729
C5	0.235571489
DDR1	-0.172267556
CALM3	-0.459151328
CALU	0.659953356
CAPN1	0.371198535
CAST	-0.53245753
CASP2	0.417998105
CASP3	-0.086587839
CASP7	-0.172029287
CASP10	-0.673343718
CAT	-0.385630608
CBLB	0.866207123
CBR1	-0.624611735
CBR3	0.61648494
CCNA2	0.530750394
CCNB1	-0.552035749
CCND3	0.984243393
CCNF	-0.649573445
CCNH	-0.556494832
SCARB1	-0.369852185
CD40	-0.387106001
CD44	-0.844671547
CD58	-0.5657534
ADGRE5	0.169099927
CDK1	-0.299788654
CDC20	0.080248043
CDC25A	-0.184339941
CDC25B	-0.226793021
CDC42	0.079158738
CDH3	-0.798389077
CDK2	0.478472084
CDK4	-0.008817751
CDK6	0.060818754
CDK7	0.214778394
CDKN1A	0.607809424
CDKN1B	-0.087016612
CDKN2A	-0.643247366
CEBPA	-0.900886357
CEBPD	0.072897591
CENPE	0.563974977
CETN3	0.11992716
CHEK1	0.294027746
CHN1	-0.862338603
CIRBP	-1.01568377
CLTB	0.056635752
CLTC	-0.032322228
COL1A1	0.856063426
COL4A1	0.746984065
CREB1	-0.141389266
CRK	0.029043593
CRKL	-0.335006714
CRYZ	0.39300555
CSK	0.496421933
CSNK1A1	0.816273332
CSNK1E	0.674946606
CSNK2A2	0.157925069
CSRP1	0.246346056
CTNND1	-1.646289825
CTSD	0.287069708
CTSL	-0.086204141
CYB561	0.547765911
DAG1	-0.642241597
DAXX	-0.54099834
DCK	0.08326894
DCTD	-0.941583991
DDB2	0.174640059
GADD45A	0.934092164
DDX10	-0.3180812
DECR1	-0.571210206
DFFA	0.083358817
DFFB	0.15046522
DLD	-0.539879262
DNM1	0.116522118
DNMT1	-0.909247339
DNMT3A	0.489607275
DPH2	0.535268426
DSG2	0.259945154
TSC22D3	0.902734518
DUSP3	-0.032740206
DUSP4	0.274173558
DUSP6	0.357400984
TOR1A	-0.180034444
E2F2	0.612390757
ECH1	0.250852764
EDN1	-0.334428251
EGF	0.122155793
EGFR	-0.795655012
EGR1	-0.47552073
EIF4EBP1	-0.143776298
EIF4G1	0.019417353
EIF5	-0.757659376
ELAVL1	0.206587076
CTTN	0.407402307
EPB41L2	0.326145679
EPHA3	0.148485184
EPHB2	0.033800073
EPRS	0.310470879
NR2F6	0.271616757
ERBB2	-0.658361197
ERBB3	-0.352793038
ETFB	-0.309450775
ETS1	0.150629371
ETV1	2.049432516
EXT1	-0.004883163
EZH2	0.167833909
FAH	1.591767192
PTK2B	0.164791316
FAT1	0.5370031
FDFT1	0.132410213
FGFR2	0.309495747
FGFR4	-0.006795302
FHL2	-0.152025431
FKBP4	0.339770019
FOXO3	-0.473367512
FOS	0.224786162
FPGS	1.729409814
FUT1	0.214760706
FYN	-0.103985228
SLC37A4	-0.456647426
GAA	-0.853213012
GABPB1	0.26599887
GALE	0.61092627
GAPDH	-0.573682308
GATA2	-0.069720723
GATA3	0.60823226
GFPT1	0.656955123
GHR	-0.294954926
GLI2	0.123894773
GLRX	-1.847871304
GNA11	-0.46346122
GNA15	0.485523283
GNAI1	0.216974005
GNAI2	0.185369611
GNAS	0.286149561
SFN	-1.058998227
GPC1	0.001665227
GPER1	-0.124688387
GRB7	-0.085796192
GRB10	0.135059252
GRN	0.414108872
NR3C1	0.125751987
CXCL2	0.380794406
GSTM2	0.304776907
GSTZ1	0.01625213
MSH6	-0.597909331
GTF2A2	0.74398756
GTF2E2	0.113791421
HSD17B10	0.344093084
HADH	0.317060351
HDAC2	-0.542363167
HIF1A	-0.243276462
HK1	-0.034077018
HLA-DMA	-2.417361975
HLA-DRA	-0.068371922
HMGCR	-0.069823727
HMGCS1	-0.719315886
HMOX1	-0.215653762
HOXA5	0.418352544
HOXA10	-0.739915371
HPRT1	0.387485921
HES1	-0.014041197
DNAJB2	0.181227788
HSPA1A	-0.204639077
HSPA4	-0.186500192
HSPA8	0.073926002
HSPB1	1.061042666
HSPD1	-1.357066631
DNAJB1	1.485617399
ICAM1	-0.000680859
ICAM3	0.168715775
ID2	0.835524321
IDE	-1.801297903
IFNAR1	-0.181751758
IGF1R	0.341623545
IGF2R	-1.353832126
IGFBP3	0.419296682
IGHMBP2	0.929180324
IKBKB	0.055938587
IL1B	0.169282094
IL4R	-1.562465668
IL13RA1	-0.000244711
ILK	-0.471464455
INPP1	-0.290149093
INSIG1	0.530846477
ITGAE	0.895256579
ITGB5	0.443219066
JUN	-0.139405817
KCNK1	0.332147479
KIF5C	0.458483666
KIT	-0.330962479
KTN1	-0.031980887
LAMA3	-0.109768108
STMN1	-0.631215453
LBR	0.234160945
LGALS8	-0.536813736
LIG1	0.152922139
LIPA	0.219802544
LOXL1	-0.56242013
LRPAP1	0.326258242
LYN	-0.269972563
SMAD3	0.641173482
MAN2B1	-0.060610443
MAT2A	0.152574256
MBNL1	-1.153303742
MCM3	0.535107791
ME2	-0.380346388
MEF2C	0.281336874
MAP3K4	-0.143763155
MEST	-0.460743099
MIF	0.088362038
FOXO4	-0.587752163
MMP1	-0.701523185
MMP2	-0.113211796
MNAT1	0.405404121
MSRA	-0.165680617
MUC1	-0.468115687
MYBL2	0.144892156
MYC	0.710167229
GADD45B	0.32136187
MYLK	0.412282437
MYO10	-0.252103567
NCK1	0.226509109
NFATC3	0.234256357
NFATC4	0.863807023
NFE2L2	-1.38316679
NFIL3	0.388327241
NFKB2	-0.164195329
NFKBIA	0.57672447
NFKBIB	-0.073218286
NFKBIE	-0.24849692
NIT1	0.16956234
NMT1	0.045279033
NOS3	-0.860085726
CNOT4	-0.685197353
NOTCH1	-0.314437091
PNP	0.982514977
NPC1	-0.375632286
SLC11A2	-0.098110966
NRAS	-0.51836884
NUCB2	-0.325557381
NUP88	0.186040998
NVL	-0.487613112
ORC1	-0.350441277
OXA1L	0.550372779
OXCT1	-0.135485575
PAFAH1B1	2.41543746
PAFAH1B3	0.102373898
SERPINE1	0.733323932
PAK1	0.320790619
PCBD1	-0.140471205
PCCB	2.130332947
PCK2	-0.022033274
PCM1	-0.800131917
PCMT1	-0.605333388
PCNA	-0.281473368
PDGFA	0.498873532
PFKL	-3.478248119
PGAM1	-0.148470894
PGM1	1.0972507
PHKA1	0.190666378
PHKB	-0.386936665
PHKG2	-0.703218639
PIK3C2B	0.09173502
PIK3C3	0.534766734
PIK3CA	1.247531891
PIN1	-0.103878528
PLA2G4A	0.033975728
PLCB3	0.196539462
PLK1	0.798377037
PLP2	-0.340304047
PLS1	0.244606316
PLSCR1	-0.575379252
PMAIP1	-0.017909974
PMM2	-0.385057032
POLB	0.270177752
POLE2	0.149472281
POLR2I	0.08553046
POLR2K	-0.087294556
PPARD	0.214132592
PPARG	0.208686218
PPIC	-0.385773838
PPOX	0.09147083
PPP2R5A	-0.905676484
PPP2R5E	-1.957229733
PRCP	1.06993413
PRKACA	0.530538082
PRKCD	-0.258294404
PRKCH	0.156402588
PRKCQ	0.634299815
MAPK9	0.840094686
MAPK13	0.44697237
MAP2K5	0.393196255
PRKX	0.161363423
PROS1	-0.060404629
LGMN	0.038775425
HTRA1	0.338015676
PSMB8	-1.18789947
PSMB10	-0.36597997
PSMD2	0.361720204
PSMD4	0.804219306
PSMD9	0.033086121
PSMD10	-0.121447966
PSME1	0.270852387
PSME2	-0.029127434
PTGS2	0.307242483
PTK2	0.065959424
PTPN1	-0.173773944
PTPN6	0.240550429
PTPN12	0.028991513
PTPRC	-0.243382096
PTPRF	-0.207403883
PTPRK	-0.241553158
PXMP2	-0.815002382
PXN	-0.209843516
PYCR1	0.254628837
PYGL	0.472462475
RAB4A	0.087049142
RAB27A	-0.059350431
RAC2	-1.329024315
RAD9A	0.582206249
RAD51C	0.027126694
MOK	0.18929562
RALA	-1.149374723
RALB	0.158031166
RALGDS	0.228316426
RAP1GAP	0.705852866
RASA1	1.016088843
RB1	0.226724073
KDM5A	0.339487314
RELB	0.164347515
RFC2	0.768677115
RFC5	-0.21123369
RFNG	0.426757932
RFX5	0.711006045
RGS2	-0.224423707
RHEB	0.149384499
RNH1	-0.049905904
RPA1	-0.030683845
RPA2	-0.718810558
RPA3	-0.108891241
MRPL12	0.796840787
RPN1	-0.295457125
RPS5	-0.700988829
RPS6	-1.115111351
RPS6KA1	0.375547141
RSU1	2.565723896
RTN2	0.449036181
S100A4	-0.630043268
S100A13	-0.534753561
SATB1	0.340528876
SCP2	1.30042243
CCL2	0.14002046
SDHB	0.138461322
SGCB	0.407810301
SHB	0.783889949
SHC1	-0.390627772
SKIV2L	1.1276263
SKP1	-0.001554161
SLC1A4	0.389140874
SMARCA4	0.166799814
SMARCC1	-0.641160071
SMARCD2	-0.275602221
SNAP25	-0.084422976
SNCA	0.50814116
SOX2	-0.289114118
SOX4	-0.931403399
SPAG4	-0.558827996
SPP1	0.984942436
SPR	-0.677180409
SPTAN1	0.151170924
SRC	0.79315722
STAT1	-0.023947448
STAT3	0.381113142
STAT5B	0.648196936
AURKA	1.18337059
STK10	0.383659363
STX1A	0.258029521
STX4	0.503589869
STXBP1	-0.444933116
STXBP2	0.152873307
SUPV3L1	0.347934365
SUV39H1	-0.055873834
SYK	-0.326452971
SYPL1	-0.21573016
TARBP1	-0.39621821
TBP	0.24665077
TBX2	-0.31413734
TBXA2R	-1.200708151
TCEA2	0.002047032
VPS72	0.374691993
TCTA	0.253982157
DYNLT3	0.533349454
TERT	-0.168500155
TESK1	-0.028553665
TFAP2A	0.40731588
TFDP1	-0.371079952
TGFB3	0.564145207
TGFBR2	0.137960851
TIAM1	-0.421650171
TIMP2	0.333118111
TJP1	-0.53385812
TLE1	-0.062562294
TLR4	0.073020875
TSPAN6	0.70247972
TSPAN4	0.02109064
TOP2A	0.563284099
TP53	-0.315371662
TP53BP1	-0.198023126
TP53BP2	-2.377777576
TPD52L2	-1.039686322
TPM1	1.682409048
TSTA3	0.672467291
TXNRD1	-0.031053603
UBE2A	0.061296839
UGDH	-0.143733501
NR1H2	-0.365267038
USP1	0.193463564
VDAC1	0.010069661
WFS1	-0.031770408
WRB	-0.207150891
XBP1	-1.934930325
XPNPEP1	-0.113589033
ZFP36	0.513759613
ZNF131	0.186613917
ZMYM2	-1.231994629
PAX8	-0.086000822
CXCR4	-0.608698666
IFRD2	0.216871232
MAPKAPK3	0.256172717
USP7	0.212570012
REEP5	0.686987221
ST7	-0.351674289
KAT6A	0.909362614
PDHX	0.179809555
FOSL1	-0.053559437
HMGA2	1.291626811
NCOA3	-0.651048481
NRIP1	-0.570356965
SMC1A	0.345457375
LAGE3	0.03729587
AXIN1	-0.180466369
CDC45	0.249588877
FZD1	0.170463681
FZD7	0.199085385
HIST2H2BE	0.137796953
PIP4K2B	0.117375538
NCK2	0.331945539
DYRK3	0.86233294
DUSP11	0.108557686
RAE1	-0.269970238
PIK3R3	0.69110018
NIPSNAP1	-0.344180286
IKBKAP	0.291408211
HAT1	0.281381726
MAPKAPK5	-0.668605328
BHLHE40	-0.312654078
MKNK1	0.179292649
CASK	-1.145915508
AKR7A2	-0.180709213
RUVBL1	0.103517517
PSMG1	0.77549392
BECN1	0.054263398
MBTPS1	0.064114586
EED	-0.017590627
CTNNAL1	1.152923465
RNMT	0.996094465
PEX11A	0.096587181
CREG1	0.456855774
INPP4B	-0.020311043
IQGAP1	0.17323035
SOCS2	-0.326330006
CFLAR	-0.009397503
CDK5R1	0.047353499
ST3GAL5	0.445983022
IER3	0.169394508
SQSTM1	-0.178722829
SLC5A6	0.577195108
CPNE3	-0.47090295
CCNA1	-0.79876852
TIMELESS	-0.125000775
P4HA2	-1.719320416
PLOD3	0.485368997
NOL3	-0.40602085
SLC25A14	-0.047187455
MPZL1	-0.013469934
MAP7	-0.270754725
DNAJA3	-0.330963075
USP14	-0.219678208
MTA1	-0.434214741
PDLIM1	-2.05545187
SMC3	1.138051391
PRPF4	-0.899318933
CCNB2	0.089066513
CCNE2	-2.424992323
SYNGR3	-0.757080317
LPAR2	-0.049067341
ARHGEF2	-0.483071685
ZW10	0.837977052
AURKB	0.197131261
VAPB	-0.092430465
NOLC1	-0.577162743
UBE2L6	-0.86044997
MAPKAPK2	-0.799062848
CYTH1	-0.589682639
ITGB1BP1	0.834255934
BCL7B	-0.1877819
COPB2	-0.428492725
ADGRG1	-0.38031739
TM9SF2	-0.710357428
MAP4K4	0.03120248
HOMER2	0.041698068
SH3BP5	-0.327537626
PIGB	-0.096853651
PSMF1	-0.238322482
SPTLC2	-0.138104036
TBPL1	0.419013023
BAG3	-0.09571366
POLR1C	0.5431602
SPAG7	-0.171823755
FEZ2	0.344945848
IKBKE	0.086653486
MTFR1	-1.137496948
HS2ST1	-0.805347681
IPO13	0.084324852
VGLL4	-0.690105379
NUP93	0.22221458
UBE3C	-0.278382778
EDEM1	0.236412138
TRAM2	-0.025531791
CEP57	-0.188399836
KIAA0100	1.006922364
HERPUD1	-0.138249576
KIAA0355	-0.913660049
USP6NL	-0.272802919
CCP110	-0.167298779
MLEC	-0.58227706
TATDN2	-0.686480343
MRPL19	-0.105197132
SCRN1	0.726027787
EFCAB14	-1.322236657
KEAP1	0.143831477
MELK	0.173497885
PLEKHM1	0.711248636
C2CD5	0.382846206
KIAA0753	0.511750937
C2CD2L	-2.510200024
TOMM70A	0.694695592
KIAA0196	-0.893593669
KLHL21	0.524212718
ARNT2	-0.382912099
FAM20B	-0.548348546
NCAPD2	-0.152843073
PAN2	0.650701165
LPGAT1	-0.326095879
KIF14	-0.244811133
OXSR1	0.566185117
MVP	0.57446295
DMTF1	-0.309661716
GNPDA1	0.6315763
HDAC6	0.448932052
PARP2	1.037788272
MAMLD1	0.26652348
DNAJB6	0.463215023
SMC4	-1.048821449
ABCC5	0.222341374
ABCB6	0.577481985
DNM1L	0.440864682
TSPAN3	0.139198527
KIF20A	-0.810553849
ARL4C	-0.332433075
TRAP1	-0.194434673
G3BP1	0.575668573
MBNL2	0.619173586
CEBPZ	0.072681159
SLC25A13	-1.000067472
SORBS3	-0.40059334
RBM6	0.44252187
TXNDC9	-0.122827187
TRIM13	-0.913767636
TRIB1	-2.446590185
MFSD10	-0.430743665
SLC35B1	-0.583625317
TIMM17B	-0.124547511
AKAP8	-0.278209984
STUB1	0.177046224
NET1	-0.250567883
SMNDC1	-0.586565495
PAK4	0.504125774
TNIP1	-0.054567117
IKZF1	-0.034923576
TMEM5	0.207995117
HMG20B	1.174503088
MYL9	0.167562813
LYPLA1	-0.245496213
PPIE	-0.283599675
