Gene_Id	spiperone_HEPG2_24 h_3 µM
AARS	0.379736871
ABCF1	0.041428596
ABL1	-0.837763071
ACAA1	1.080040336
ACAT2	0.496611118
ACLY	0.092529073
ADAM10	0.30622828
ADH5	0.998832464
PARP1	0.097232707
ADRB2	-6.762876511
AGL	0.263107151
AKT1	0.426129341
ALAS1	-0.196474522
ALDOA	-0.980360448
ALDOC	-0.781925917
SLC25A4	0.634607196
ANXA7	1.583152771
APBB2	0.130883306
BIRC2	0.300870478
BIRC5	0.646236718
APOE	0.131597459
APP	0.071365044
FAS	0.742013574
RHOA	-0.571942031
ARHGAP1	-0.534565806
ASAH1	-0.458455026
ATF1	-0.307799071
ATP1B1	-0.489382684
ALDH7A1	0.372532576
ATP6V0B	0.281421006
BAD	-0.963937521
BAX	0.00960407
CCND1	0.289341778
BCL2	-0.505632758
BDH1	0.526164055
BID	0.384846121
BLMH	0.091098249
BLVRA	0.423238933
BMP4	-0.018092424
BNIP3	1.108341217
BNIP3L	-0.43768543
BPHL	0.890223145
BRCA1	0.20881258
BTK	-0.065406896
BUB1B	0.677488804
C5	-0.789309144
DDR1	0.463456035
CALM3	-0.33625719
CALU	0.374824673
CAPN1	-0.317184806
CAST	-0.693033814
CASP2	0.121037304
CASP3	0.64246726
CASP7	0.443369895
CASP10	0.041156135
CAT	1.678014755
CBLB	0.688401699
CBR1	-0.400797665
CBR3	-0.302791595
CCNA2	0.044925123
CCNB1	0.225733936
CCND3	-0.37735799
CCNF	0.637030125
CCNH	-0.406230003
SCARB1	0.012969479
CD40	-0.947256029
CD44	1.164585114
CD58	-0.524947405
ADGRE5	0.22920157
CDK1	0.531003475
CDC20	-0.814035654
CDC25A	1.079468966
CDC25B	-0.190749198
CDC42	2.582760096
CDH3	-0.72888279
CDK2	-0.069921479
CDK4	0.582796693
CDK6	-0.248397037
CDK7	-0.355521262
CDKN1A	0.161534831
CDKN1B	1.613179922
CDKN2A	-0.219592124
CEBPA	-0.153520063
CEBPD	0.22058171
CENPE	-0.313033402
CETN3	0.246069238
CHEK1	-0.135129094
CHN1	-0.287599444
CIRBP	0.120991349
CLTB	-0.289518923
CLTC	0.676533699
COL1A1	-0.31395787
COL4A1	0.158809304
CREB1	0.492981434
CRK	0.234915122
CRKL	0.141120851
CRYZ	0.259128213
CSK	0.205340534
CSNK1A1	0.330520034
CSNK1E	0.27545172
CSNK2A2	-0.476275146
CSRP1	0.292156845
CTNND1	-0.333124995
CTSD	0.642340064
CTSL	0.008995816
CYB561	-0.216898203
DAG1	-0.647386551
DAXX	0.24766627
DCK	-3.723172903
DCTD	0.045073129
DDB2	-0.356338739
GADD45A	0.586884737
DDX10	-0.261849433
DECR1	0.511535466
DFFA	-0.299934775
DFFB	0.455794454
DLD	0.28062278
DNM1	-0.404729962
DNMT1	-0.462247282
DNMT3A	-0.18319656
DPH2	-0.305995405
DSG2	0.257042408
TSC22D3	0.311091095
DUSP3	-1.61332643
DUSP4	-0.166412264
DUSP6	-1.434191465
TOR1A	-0.172502726
E2F2	0.285443872
ECH1	0.141952291
EDN1	-0.296466559
EGF	-0.118150294
EGFR	-0.13542971
EGR1	-0.288599432
EIF4EBP1	-0.452361107
EIF4G1	0.430977881
EIF5	0.163502425
ELAVL1	0.774412334
CTTN	-1.273157358
EPB41L2	-1.009900808
EPHA3	-6.773146153
EPHB2	-0.78219825
EPRS	-0.232847661
NR2F6	-0.756960273
ERBB2	-0.312508017
ERBB3	0.087790251
ETFB	-0.228668556
ETS1	0.042596743
ETV1	0.994306684
EXT1	0.335104197
EZH2	-0.220798597
FAH	0.542254806
PTK2B	0.01601813
FAT1	-0.751187384
FDFT1	-1.113429189
FGFR2	0.465498507
FGFR4	-0.136378378
FHL2	-0.198170051
FKBP4	0.319427192
FOXO3	-0.683427334
FOS	0.305890918
FPGS	0.451364815
FUT1	0.24159345
FYN	1.630457163
SLC37A4	-0.026207246
GAA	-0.418999285
GABPB1	-0.583500206
GALE	0.209231347
GAPDH	-0.31763792
GATA2	-0.176459625
GATA3	-0.824168444
GFPT1	0.392132103
GHR	-0.354038179
GLI2	0.204636976
GLRX	0.185689643
GNA11	-0.210836381
GNA15	-0.348130941
GNAI1	-0.480768234
GNAI2	-0.328550279
GNAS	-0.116758198
SFN	-0.804090202
GPC1	-0.017366201
GPER1	-0.435484409
GRB7	1.020541191
GRB10	-0.397172332
GRN	-0.579769731
NR3C1	0.586098671
CXCL2	-1.243794918
GSTM2	-0.585062206
GSTZ1	0.065710306
MSH6	0.184543177
GTF2A2	-1.641874313
GTF2E2	-0.265233934
HSD17B10	-0.454223037
HADH	-0.00021623
HDAC2	-0.870710611
HIF1A	-0.323475122
HK1	-0.030193806
HLA-DMA	-0.189965785
HLA-DRA	-0.023250848
HMGCR	0.264575332
HMGCS1	0.108574212
HMOX1	-0.243394136
HOXA5	0.212765396
HOXA10	0.440058291
HPRT1	0.279388875
HES1	-3.033535957
DNAJB2	0.037445776
HSPA1A	-0.634985387
HSPA4	-0.110848933
HSPA8	-0.006407663
HSPB1	-0.276366979
HSPD1	0.456054091
DNAJB1	0.008512408
ICAM1	-0.19789286
ICAM3	-0.18021892
ID2	1.076526284
IDE	-0.438276887
IFNAR1	-0.039655998
IGF1R	0.567500651
IGF2R	-0.111242056
IGFBP3	0.227196172
IGHMBP2	-0.366211742
IKBKB	0.079159044
IL1B	1.583358884
IL4R	-0.302811623
IL13RA1	-0.079856187
ILK	-0.374070197
INPP1	-0.22530818
INSIG1	0.088844642
ITGAE	-0.250452787
ITGB5	0.0611379
JUN	-0.354679555
KCNK1	-0.409993619
KIF5C	-0.046776369
KIT	-0.064908698
KTN1	-0.424933612
LAMA3	0.395615041
STMN1	-1.497275591
LBR	-0.279539227
LGALS8	-0.06838765
LIG1	-0.23046492
LIPA	0.899136245
LOXL1	-0.235458612
LRPAP1	0.567361355
LYN	0.145944536
SMAD3	-0.242090479
MAN2B1	0.255765468
MAT2A	0.340030462
MBNL1	-0.15937379
MCM3	-0.27680397
ME2	-0.074671984
MEF2C	-0.09883669
MAP3K4	0.313077897
MEST	-0.010283738
MIF	-0.132965997
FOXO4	0.10452655
MMP1	-0.688016176
MMP2	1.833309054
MNAT1	0.435506761
MSRA	0.099536099
MUC1	0.376562893
MYBL2	1.046388268
MYC	-0.442230612
GADD45B	0.081635401
MYLK	0.514641404
MYO10	-0.373835593
NCK1	0.039566632
NFATC3	-0.055646241
NFATC4	-0.221867293
NFE2L2	-0.219736308
NFIL3	0.678966343
NFKB2	0.447109967
NFKBIA	0.605609536
NFKBIB	0.228247136
NFKBIE	0.147895142
NIT1	0.163817346
NMT1	-0.203992829
NOS3	-0.419681013
CNOT4	0.1948421
NOTCH1	0.296344966
PNP	2.376679897
NPC1	-0.286079854
SLC11A2	0.479123861
NRAS	0.440988362
NUCB2	0.399924159
NUP88	-0.265834749
NVL	0.153118283
ORC1	0.258678943
OXA1L	-0.749777615
OXCT1	0.284894407
PAFAH1B1	0.393484771
PAFAH1B3	0.091431953
SERPINE1	0.179195732
PAK1	-0.019437559
PCBD1	-0.286397666
PCCB	-0.757449746
PCK2	-0.605999768
PCM1	-0.038085967
PCMT1	-0.712294221
PCNA	-0.307751358
PDGFA	0.781271935
PFKL	-0.243274212
PGAM1	-0.749792874
PGM1	-0.947024345
PHKA1	-0.82746613
PHKB	0.051926069
PHKG2	-0.818982363
PIK3C2B	-0.254355669
PIK3C3	-0.459648728
PIK3CA	0.116084442
PIN1	1.156331539
PLA2G4A	-0.144354284
PLCB3	0.786969423
PLK1	-0.261086583
PLP2	0.087442428
PLS1	0.188111082
PLSCR1	0.222747684
PMAIP1	0.456357956
PMM2	0.285342455
POLB	0.09658882
POLE2	1.072580814
POLR2I	-0.455560148
POLR2K	1.428892136
PPARD	0.106873035
PPARG	0.391333491
PPIC	-0.416304082
PPOX	-0.307270199
PPP2R5A	0.245530725
PPP2R5E	-0.093177959
PRCP	-0.398297757
PRKACA	2.307499886
PRKCD	0.463899672
PRKCH	-0.278578192
PRKCQ	-0.276448846
MAPK9	-0.265218079
MAPK13	-0.131059051
MAP2K5	1.190609932
PRKX	1.060055137
PROS1	0.545780957
LGMN	-0.217573434
HTRA1	0.765434027
PSMB8	-0.864477038
PSMB10	0.189416438
PSMD2	0.281758755
PSMD4	-0.4581604
PSMD9	0.554311275
PSMD10	0.188629791
PSME1	1.216292024
PSME2	-0.212788209
PTGS2	0.326492459
PTK2	1.042016506
PTPN1	0.702586293
PTPN6	0.218733281
PTPN12	0.347386628
PTPRC	0.342557013
PTPRF	0.002028096
PTPRK	0.778336465
PXMP2	-0.639028609
PXN	-0.518867791
PYCR1	0.400761187
PYGL	-0.908504963
RAB4A	-0.662176967
RAB27A	0.244734645
RAC2	0.379101813
RAD9A	0.173007444
RAD51C	-0.333240569
MOK	0.796237648
RALA	-0.225138813
RALB	-0.170750827
RALGDS	0.073151372
RAP1GAP	-0.266268015
RASA1	-0.714237571
RB1	-0.145151883
KDM5A	0.205852136
RELB	-0.249048308
RFC2	0.40931192
RFC5	0.085327514
RFNG	0.352380931
RFX5	0.829132259
RGS2	-0.407488227
RHEB	0.372179925
RNH1	0.527824044
RPA1	0.190701574
RPA2	-0.52859509
RPA3	-0.071452037
MRPL12	0.596544981
RPN1	0.007928655
RPS5	-0.386815131
RPS6	-1.013086677
RPS6KA1	0.151381314
RSU1	0.46910733
RTN2	0.400705129
S100A4	-0.401729614
S100A13	-0.637966275
SATB1	-0.663874924
SCP2	-0.33121103
CCL2	-0.292464793
SDHB	-0.79401207
SGCB	0.263900459
SHB	-0.038014419
SHC1	-0.260061562
SKIV2L	0.300652504
SKP1	-0.066028357
SLC1A4	-0.130376816
SMARCA4	0.255411655
SMARCC1	-0.410914421
SMARCD2	-0.02475518
SNAP25	-0.864597082
SNCA	0.285791874
SOX2	-0.865982175
SOX4	0.386557668
SPAG4	0.306845874
SPP1	-0.221451968
SPR	-0.82852459
SPTAN1	0.531162739
SRC	1.488680005
STAT1	0.374629796
STAT3	0.607356727
STAT5B	0.531293392
AURKA	-0.20895721
STK10	0.917765141
STX1A	0.235347748
STX4	0.701642454
STXBP1	0.462093115
STXBP2	-0.039536037
SUPV3L1	-0.164615318
SUV39H1	0.718025684
SYK	0.176596031
SYPL1	0.056074671
TARBP1	0.00021623
TBP	0.123253375
TBX2	0.590023279
TBXA2R	-0.496875703
TCEA2	0.402067244
VPS72	0.576024771
TCTA	-0.378406167
DYNLT3	0.387769699
TERT	-0.094023392
TESK1	-0.655504227
TFAP2A	0.432399094
TFDP1	0.386210829
TGFB3	0.225129232
TGFBR2	-0.314169228
TIAM1	-0.126730889
TIMP2	-0.3747935
TJP1	-0.538386941
TLE1	-0.941000104
TLR4	-0.531449437
TSPAN6	-0.836999297
TSPAN4	-0.117840841
TOP2A	0.033612102
TP53	-0.841942072
TP53BP1	-0.355580449
TP53BP2	-0.325238824
TPD52L2	0.25203535
TPM1	-0.252965152
TSTA3	0.720074475
TXNRD1	-0.080229498
UBE2A	0.126164198
UGDH	-0.409059465
NR1H2	0.359304488
USP1	-0.304314464
VDAC1	0.254471213
WFS1	-0.150343195
WRB	0.292304307
XBP1	0.2276012
XPNPEP1	-1.463581324
ZFP36	0.347638994
ZNF131	0.650631607
ZMYM2	0.210385174
PAX8	0.149636224
