Gene_Id	geldanamycin_HEPG2_6 h_10 µM
AARS	-1.430549755
ABCF1	1.760622741
ABL1	-0.541694609
ACAA1	-1.973716905
ACAT2	0.412815377
ACLY	-0.229563269
ADAM10	0.162713586
ADH5	1.092770326
PARP1	-0.326789719
ADRB2	-0.772358402
AGL	-0.582499687
AKT1	0.874983523
ALAS1	0.099989603
ALDOA	-1.265978656
ALDOC	0.448367043
SLC25A4	1.55189529
ANXA7	0.721692296
APBB2	0.756880974
BIRC2	-0.461163192
BIRC5	-0.568988424
APOE	-0.496700529
APP	-0.078119286
FAS	-0.129476188
RHOA	0.591698102
ARHGAP1	-0.108659965
ASAH1	0.500969493
ATF1	1.356672945
ATP1B1	-0.834354414
ALDH7A1	0.448841999
ATP6V0B	3.615771679
BAD	-0.292436874
BAX	0.237974986
CCND1	-0.818966513
BCL2	1.025940897
BDH1	-1.61966445
BID	0.203568895
BLMH	0.655686019
BLVRA	0.57316366
BMP4	0.084681925
BNIP3	0.268092633
BNIP3L	0.683565871
BPHL	-1.923650582
BRCA1	1.060747106
BTK	-0.299616771
BUB1B	-0.428024001
C5	1.47636685
DDR1	0.402235073
CALM3	-0.58337489
CALU	0.13823355
CAPN1	-1.271340583
CAST	-1.703046302
CASP2	-1.040634272
CASP3	-2.888883543
CASP7	-0.229447496
CASP10	0.322278533
CAT	3.153199104
CBLB	-0.824044512
CBR1	0.032045367
CBR3	-0.743270235
CCNA2	-0.310340702
CCNB1	-0.171766915
CCND3	-0.496676238
CCNF	0.637792282
CCNH	-0.001687318
SCARB1	1.012788688
CD40	0.655118427
CD44	0.582643682
CD58	-1.131808546
ADGRE5	0.282654184
CDK1	-0.666797937
CDC20	0.107151379
CDC25A	-2.291607991
CDC25B	0.310115966
CDC42	-2.083137929
CDH3	0.45744947
CDK2	0.138303228
CDK4	1.983818132
CDK6	0.173262916
CDK7	3.268245635
CDKN1A	0.059723914
CDKN1B	0.128074753
CDKN2A	0.279252525
CEBPA	0.380194655
CEBPD	-0.405668757
CENPE	-0.386817983
CETN3	-0.937906355
CHEK1	-0.071061904
CHN1	0.708790599
CIRBP	-0.108721275
CLTB	-0.731942756
CLTC	1.079482257
COL1A1	1.058444235
COL4A1	0.278668107
CREB1	1.30353973
CRK	0.287965842
CRKL	0.007700765
CRYZ	1.117302367
CSK	-1.311510482
CSNK1A1	-0.231119363
CSNK1E	0.481576044
CSNK2A2	0.622098977
CSRP1	-0.976280694
CTNND1	-0.839706193
CTSD	1.177867884
CTSL	-1.051316437
CYB561	0.050949042
DAG1	-0.045515007
DAXX	-0.894954458
DCK	-0.178024479
DCTD	0.012033967
DDB2	-0.277063049
GADD45A	-0.331674732
DDX10	-0.476106344
DECR1	-0.905773672
DFFA	-1.394424773
DFFB	-0.351596014
DLD	-0.367400437
DNM1	0.496147116
DNMT1	-2.695638241
DNMT3A	1.334331177
DPH2	1.118061825
DSG2	0.332109046
TSC22D3	1.188462798
DUSP3	-0.439408104
DUSP4	0.234724723
DUSP6	0.400109272
TOR1A	-0.300413798
E2F2	0.228117489
ECH1	-0.043069484
EDN1	0.651363869
EGF	-0.986412637
EGFR	-0.185788684
EGR1	-0.489399285
EIF4EBP1	-1.426777848
EIF4G1	0.299357288
EIF5	0.588204177
ELAVL1	0.304626816
CTTN	-1.581679437
EPB41L2	-0.300324404
EPHA3	-0.513264405
EPHB2	-0.799302359
EPRS	2.303156212
NR2F6	0.723150176
ERBB2	-0.004174108
ERBB3	-0.725690827
ETFB	0.259342929
ETS1	0.272817078
ETV1	2.365747648
EXT1	0.430459661
EZH2	4.236667503
FAH	-0.321005811
PTK2B	-0.158520103
FAT1	-0.169894424
FDFT1	-0.129527356
FGFR2	-1.964511283
FGFR4	-0.582738608
FHL2	0.354109863
FKBP4	-0.6046573
FOXO3	-0.301608575
FOS	-0.371274504
FPGS	-0.354535222
FUT1	0.413296702
FYN	-0.458294792
SLC37A4	-1.609417306
GAA	-0.326757141
GABPB1	-1.17517615
GALE	-0.310806955
GAPDH	0.684667585
GATA2	-0.319414119
GATA3	0.267016008
GFPT1	-1.851577277
GHR	-1.566201759
GLI2	0.156044694
GLRX	-1.473228198
GNA11	-0.396303247
GNA15	0.014460874
GNAI1	-0.0304715
GNAI2	-0.664335605
GNAS	2.678910126
SFN	0.938002889
GPC1	0.436117843
GPER1	0.619862047
GRB7	-0.406438914
GRB10	-0.820805447
GRN	0.449448256
NR3C1	-0.090719542
CXCL2	0.563483224
GSTM2	0.325267532
GSTZ1	1.9566024
MSH6	-1.790719209
GTF2A2	-0.775964251
GTF2E2	-1.478158395
HSD17B10	-0.798414847
HADH	-1.52250695
HDAC2	-1.138629766
HIF1A	-0.071551499
HK1	0.205584512
HLA-DMA	0.040838874
HLA-DRA	-0.168426889
HMGCR	-0.892865345
HMGCS1	0.103822956
HMOX1	0.774245778
HOXA5	-0.296932148
HOXA10	-0.169960384
HPRT1	-0.177931715
HES1	-1.45047036
DNAJB2	-0.031852231
HSPA1A	0.592907173
HSPA4	-1.399020521
HSPA8	1.435809946
HSPB1	-0.445428071
HSPD1	-1.250064529
DNAJB1	0.47279437
ICAM1	-0.552580209
ICAM3	0.696765704
ID2	1.370071411
IDE	-1.271806972
IFNAR1	-1.202701574
IGF1R	-0.167558437
IGF2R	0.677208527
IGFBP3	-1.026089498
IGHMBP2	-0.326662117
IKBKB	0.342949729
IL1B	0.550627095
IL4R	0.24268724
IL13RA1	-0.653638774
ILK	-1.19937811
INPP1	0.014342178
INSIG1	0.0949808
ITGAE	-0.147939243
ITGB5	-0.065778443
JUN	0.113749577
KCNK1	0.181383691
KIF5C	0.516349722
KIT	0.647005913
KTN1	-0.626100082
LAMA3	0.148605629
STMN1	0.394271054
LBR	0.336586971
LGALS8	0.145135059
LIG1	1.105030633
LIPA	-0.334095307
LOXL1	-0.334389212
LRPAP1	0.665123267
LYN	-0.619400911
SMAD3	-0.268219787
MAN2B1	0.474476565
MAT2A	0.248666079
MBNL1	-0.609083775
MCM3	-1.457854797
ME2	-0.166089127
MEF2C	-1.183501996
MAP3K4	0.284728919
MEST	-0.212262944
MIF	-0.524861871
FOXO4	-0.309004926
MMP1	-0.362681968
MMP2	1.091943126
MNAT1	-1.216745042
MSRA	-0.078954974
MUC1	-1.558897855
MYBL2	1.186930963
MYC	0.406407311
GADD45B	0.362399174
MYLK	-0.152459059
MYO10	0.059564036
NCK1	-0.129141221
NFATC3	-0.832774067
NFATC4	-0.02126427
NFE2L2	0.441701784
NFIL3	-1.063624841
NFKB2	1.302026201
NFKBIA	-1.58804332
NFKBIB	-0.301187154
NFKBIE	-0.291145391
NIT1	0.016907345
NMT1	-0.162467953
NOS3	0.156585239
CNOT4	-0.422105472
NOTCH1	-0.429252518
