Gene_Id	geldanamycin_HEPG2_24 h_0.04 µM
AARS	-4.714972973
ABCF1	0.471678324
ABL1	-4.144354343
ACAA1	-0.646315992
ACAT2	-0.352757752
ACLY	2.457811952
ADAM10	-3.760603666
ADH5	-0.397268027
PARP1	-5.650848389
ADRB2	3.252944231
AGL	0.856855813
AKT1	0.001169816
ALAS1	3.002226293
ALDOA	-2.7459234
ALDOC	-1.563643456
SLC25A4	-1.317906559
ANXA7	1.06972611
APBB2	-0.607022524
BIRC2	-0.071242988
BIRC5	2.269198179
APOE	0.543281823
APP	-6.300297737
FAS	-1.93537575
RHOA	1.448396564
ARHGAP1	0.881586432
ASAH1	-0.918453544
ATF1	3.088035226
ATP1B1	-3.204494596
ALDH7A1	-0.017040811
ATP6V0B	-3.454029083
BAD	-0.626455769
BAX	1.588392973
CCND1	-1.772273481
BCL2	-1.423051774
BDH1	-5.811675072
BID	0.806788713
BLMH	1.546451747
BLVRA	0.980891168
BMP4	1.5122419
BNIP3	2.225446582
BNIP3L	0.069895655
BPHL	-5.235761642
BRCA1	0.765270323
BTK	1.484369218
BUB1B	-0.515409574
C5	0.062140301
DDR1	0.907259405
CALM3	0.44412753
CALU	-0.113471096
CAPN1	0.179453872
CAST	-3.359531164
CASP2	-4.992894053
CASP3	-2.84042263
CASP7	0.559549645
CASP10	0.883067101
CAT	2.164624929
CBLB	-1.256749451
CBR1	1.718719661
CBR3	-2.32790339
CCNA2	-1.039191738
CCNB1	2.886124372
CCND3	-1.107865125
CCNF	-0.517344743
CCNH	0.59876591
SCARB1	-0.177969411
CD40	-1.035099745
CD44	2.441446424
CD58	0.40727219
ADGRE5	1.652454317
CDK1	-0.307635486
CDC20	-0.204194531
CDC25A	-5.471943855
CDC25B	1.335216314
CDC42	-4.779690504
CDH3	1.062768131
CDK2	-4.29673636
CDK4	2.225193232
CDK6	1.22417672
CDK7	-0.37032488
CDKN1A	1.937611401
CDKN1B	4.84702158
CDKN2A	1.520077229
CEBPA	1.901519537
CEBPD	-0.409730911
CENPE	1.483676136
CETN3	-1.793079257
CHEK1	1.56876719
CHN1	-1.623787403
CIRBP	0.928330898
CLTB	-1.003987581
CLTC	1.634563029
COL1A1	-0.468216419
COL4A1	-3.048887372
CREB1	0.197517812
CRK	-3.390401602
CRKL	1.872097373
CRYZ	0.222028881
CSK	-0.278304249
CSNK1A1	4.435782671
CSNK1E	-0.940935194
CSNK2A2	0.802023947
CSRP1	-0.09973532
CTNND1	1.950287521
CTSD	0.799105167
CTSL	4.745427608
CYB561	-3.086483955
DAG1	1.359237373
DAXX	0.912616014
DCK	-0.297286458
DCTD	0.494712725
DDB2	0.903966725
GADD45A	-2.321124077
DDX10	0.002750784
DECR1	-1.49797979
DFFA	-0.149898052
DFFB	-0.241250608
DLD	0.907115877
DNM1	-0.167200208
DNMT1	-0.605563626
DNMT3A	1.935798585
DPH2	-0.228468984
DSG2	1.24713856
TSC22D3	-1.030339539
DUSP3	2.371983647
DUSP4	-2.52559042
DUSP6	0.280253381
TOR1A	0.405638859
E2F2	0.746240526
ECH1	-0.224947393
EDN1	-0.560452849
EGF	-1.363453507
EGFR	1.220722467
EGR1	0.05545634
EIF4EBP1	-1.733103514
EIF4G1	2.930605769
EIF5	3.293632269
ELAVL1	-0.110924661
CTTN	1.906512771
EPB41L2	0.448622882
EPHA3	1.249976337
EPHB2	0.561060131
EPRS	0.169375092
NR2F6	-2.292850852
ERBB2	0.510285586
ERBB3	3.445103526
ETFB	0.537024707
ETS1	1.833781481
ETV1	3.207791984
EXT1	0.481574461
EZH2	-1.459110379
FAH	0.330700323
PTK2B	0.337493025
FAT1	-2.779331326
FDFT1	0.459518462
FGFR2	-5.644468069
FGFR4	1.348808408
FHL2	0.020575181
FKBP4	-2.823393345
FOXO3	0.886396512
FOS	0.94434163
FPGS	1.098562628
FUT1	0.653212726
FYN	-0.554953933
SLC37A4	0.352172136
GAA	2.107746601
GABPB1	-3.752718806
GALE	0.424862176
GAPDH	1.654130101
GATA2	-0.898550197
GATA3	-0.229465425
GFPT1	-3.810653925
GHR	-1.282884657
GLI2	-0.083977729
GLRX	-1.280867934
GNA11	1.083552063
GNA15	0.949029684
GNAI1	0.016280234
GNAI2	-0.459839344
GNAS	-0.545261458
SFN	0.470551282
GPC1	-4.330355644
GPER1	1.657797337
GRB7	-2.837038755
GRB10	-1.530439496
GRN	0.269185308
NR3C1	1.092981786
CXCL2	1.605998099
GSTM2	0.906347185
GSTZ1	-2.88894546
MSH6	0.061745942
GTF2A2	-0.188260108
GTF2E2	1.28551811
HSD17B10	-0.042242788
HADH	-0.473100841
HDAC2	1.817399621
HIF1A	1.863981664
HK1	0.163280424
HLA-DMA	1.514169455
HLA-DRA	0.651986361
HMGCR	-0.819633633
HMGCS1	2.232231855
HMOX1	0.681985393
HOXA5	-0.174726538
HOXA10	-1.052997679
HPRT1	1.478550375
HES1	-2.953531027
DNAJB2	0.499652881
HSPA1A	-0.188998431
HSPA4	0.329278275
HSPA8	1.963635087
HSPB1	0.943488359
HSPD1	-1.92875281
DNAJB1	1.205434024
ICAM1	1.35009867
ICAM3	2.510035396
ID2	1.597478509
IDE	1.276056528
IFNAR1	0.854364097
IGF1R	1.247399166
IGF2R	-1.615092039
IGFBP3	-3.514127374
IGHMBP2	0.01834324
IKBKB	0.862435341
IL1B	1.414445102
IL4R	1.37210834
IL13RA1	1.368603617
ILK	-4.186540008
INPP1	1.203694612
INSIG1	0.791601151
ITGAE	2.430689692
ITGB5	-1.05382067
JUN	-1.440436989
KCNK1	-1.310541213
KIF5C	2.122134924
KIT	0.641478732
KTN1	0.549513489
LAMA3	-0.970854789
STMN1	0.952872932
LBR	2.042831838
LGALS8	2.323133647
LIG1	-0.374047369
LIPA	-1.806417823
LOXL1	-3.670987964
LRPAP1	-1.142709076
LYN	-0.965227157
SMAD3	0.72459659
MAN2B1	0.025510553
MAT2A	1.649553299
MBNL1	5.682771921
MCM3	-0.755110919
ME2	3.138114452
MEF2C	0.126786798
MAP3K4	-1.841444492
MEST	2.843553066
MIF	-0.899127841
FOXO4	-3.206826091
MMP1	-0.46009326
MMP2	0.572055489
MNAT1	-1.860250115
MSRA	-3.264280438
MUC1	-1.163211733
MYBL2	0.280402105
MYC	1.280897528
GADD45B	-0.243646175
MYLK	4.321726859
MYO10	-1.08781746
NCK1	0.854508191
NFATC3	0.146649402
NFATC4	-0.142009169
NFE2L2	2.345901132
NFIL3	-3.448448896
NFKB2	-4.847805977
NFKBIA	-2.435509205
NFKBIB	0.791164517
NFKBIE	0.722982079
NIT1	-1.040487275
NMT1	1.666355491
NOS3	2.334140658
CNOT4	-2.197302997
NOTCH1	-2.932129025
PNP	-3.436380506
NPC1	1.653997302
SLC11A2	-0.980264187
NRAS	0.119936198
NUCB2	0.595665827
NUP88	-3.189633727
NVL	-2.408046067
ORC1	1.146649271
OXA1L	-1.515968859
OXCT1	1.361849785
PAFAH1B1	2.995909929
PAFAH1B3	-0.686352715
SERPINE1	-0.231097519
PAK1	0.409279972
PCBD1	-1.290075541
PCCB	3.166895866
PCK2	-2.898483396
PCM1	-1.21163106
PCMT1	-2.911046505
PCNA	1.043323338
PDGFA	-0.183390647
PFKL	0.798285574
PGAM1	-0.820417956
PGM1	-0.702421784
PHKA1	1.34437573
PHKB	-3.955367208
PHKG2	0.155954838
PIK3C2B	-4.904763699
PIK3C3	-0.06377773
PIK3CA	-0.527054518
PIN1	-0.450179517
PLA2G4A	3.445862889
PLCB3	0.065757647
PLK1	-1.05284673
PLP2	-0.350475959
PLS1	0.615642413
PLSCR1	1.66048336
PMAIP1	-0.430065036
PMM2	-2.465098202
POLB	-3.852409959
POLE2	-1.386458635
POLR2I	1.950721145
POLR2K	2.913142443
PPARD	0.017433122
PPARG	0.828334883
PPIC	0.485680774
PPOX	3.121868134
PPP2R5A	0.544713557
PPP2R5E	1.96456641
PRCP	-0.00104031
PRKACA	-0.086702585
PRKCD	-0.142665803
PRKCH	1.392857462
PRKCQ	-5.460927486
MAPK9	1.207830101
MAPK13	-1.417991936
MAP2K5	-0.18903568
PRKX	-0.281955454
PROS1	0.12741971
LGMN	-2.079308629
HTRA1	1.292064816
PSMB8	0.16214175
PSMB10	-0.853488266
PSMD2	-1.136695325
PSMD4	-1.2049798
PSMD9	-1.475987226
PSMD10	2.722362816
PSME1	-0.07017681
PSME2	-1.354573786
PTGS2	1.953864217
PTK2	-0.200334074
PTPN1	-0.567805171
PTPN6	-0.936790884
PTPN12	-3.314147115
PTPRC	0.396626726
PTPRF	-1.213801742
PTPRK	-2.157551885
PXMP2	-0.40382874
PXN	-1.538260102
PYCR1	-0.137790039
PYGL	0.057490557
RAB4A	1.067763001
RAB27A	3.322922468
RAC2	1.360653341
RAD9A	-1.379158437
RAD51C	0.454374939
MOK	0.769686908
RALA	5.116466045
RALB	1.692471504
RALGDS	-2.849984378
RAP1GAP	-0.29820326
RASA1	0.263950847
RB1	5.055875301
KDM5A	3.481369138
RELB	3.251544356
RFC2	1.29656595
RFC5	-2.261945248
RFNG	0.772620738
RFX5	-0.140322231
RGS2	-3.00216651
RHEB	-4.388955593
RNH1	-2.897639751
RPA1	-1.562624931
RPA2	1.879959285
RPA3	-0.338616319
MRPL12	-0.0366794
RPN1	2.543018818
RPS5	1.114761382
RPS6	3.039075732
RPS6KA1	1.568984687
RSU1	2.274436712
RTN2	0.663208216
S100A4	1.744271994
S100A13	1.869873405
SATB1	-0.103678174
SCP2	-1.23042351
CCL2	0.187211454
SDHB	0.467176139
SGCB	-3.824824929
SHB	-0.283009708
SHC1	0.091177702
SKIV2L	1.793586373
SKP1	3.493168473
SLC1A4	1.846736878
SMARCA4	2.25836277
SMARCC1	-0.943919599
SMARCD2	-3.976016521
SNAP25	2.705747724
SNCA	-1.148578078
SOX2	-0.501216769
SOX4	-3.130707979
SPAG4	-1.641536549
SPP1	2.278020501
SPR	1.155722499
SPTAN1	-2.200058818
SRC	0.956251267
STAT1	2.52422905
STAT3	2.61178267
STAT5B	1.024925053
AURKA	1.023686051
STK10	-0.771550536
STX1A	-1.680023909
STX4	-0.003794491
STXBP1	-1.470080972
STXBP2	0.272670001
SUPV3L1	0.829923064
SUV39H1	0.655306816
SYK	0.904007196
SYPL1	0.846968636
TARBP1	-1.520248652
TBP	2.166975617
TBX2	0.224896977
TBXA2R	2.276830316
TCEA2	-3.625426769
VPS72	2.284598976
TCTA	0.48877649
DYNLT3	-1.92211318
TERT	-4.440187693
TESK1	1.09126249
TFAP2A	-2.373794794
TFDP1	4.486904383
TGFB3	-1.115939379
TGFBR2	1.004898727
TIAM1	2.32691735
TIMP2	-0.31426619
TJP1	1.985710025
TLE1	1.489281535
TLR4	1.997654796
TSPAN6	0.742562532
TSPAN4	-4.432396889
TOP2A	-0.024319015
TP53	0.896145508
TP53BP1	2.451884866
TP53BP2	-2.241043687
TPD52L2	0.953727961
TPM1	-1.565158606
TSTA3	-1.788266659
TXNRD1	2.721563935
UBE2A	-6.530205965
UGDH	-2.910450578
NR1H2	1.202758193
USP1	1.90676868
VDAC1	0.014563764
WFS1	-4.042497635
WRB	1.33063218
XBP1	1.422409236
XPNPEP1	0.816526502
ZFP36	-3.655675888
ZNF131	1.999900699
ZMYM2	4.32991457
PAX8	-5.259040594
CXCR4	-0.892536327
IFRD2	1.479212791
MAPKAPK3	0.768156573
USP7	-2.907261252
REEP5	0.466889769
ST7	1.277762346
KAT6A	0.048674453
PDHX	-4.478260219
FOSL1	-0.380183473
HMGA2	-5.125099659
NCOA3	1.95327878
NRIP1	-3.21435082
SMC1A	-0.452940896
LAGE3	3.928910851
AXIN1	-0.908748567
CDC45	0.861559004
FZD1	1.48089689
FZD7	-4.237869263
HIST2H2BE	-1.416563988
PIP4K2B	-1.042607754
NCK2	-1.160155594
DYRK3	-3.567689061
DUSP11	-7.680903435
RAE1	-2.030204028
PIK3R3	-0.221921563
NIPSNAP1	-0.023001477
IKBKAP	-1.157323509
HAT1	1.728167653
MAPKAPK5	-5.561798334
BHLHE40	-1.426289022
MKNK1	-0.215155721
CASK	2.216434538
AKR7A2	-1.147685915
RUVBL1	1.653613448
PSMG1	0.863944247
BECN1	4.223755121
MBTPS1	-0.157529667
EED	1.907453001
CTNNAL1	-0.985265374
RNMT	-0.234364271
PEX11A	-0.347433478
CREG1	2.160440922
INPP4B	0.252828047
IQGAP1	0.475386232
SOCS2	-1.203729928
CFLAR	-2.260202885
CDK5R1	-0.767419457
ST3GAL5	0.156731695
IER3	0.648552239
SQSTM1	0.885755897
SLC5A6	-0.362611443
CPNE3	-1.037271678
CCNA1	1.89028132
TIMELESS	-0.573116407
P4HA2	1.348667443
PLOD3	-0.558836386
NOL3	-0.165957015
SLC25A14	1.627898633
MPZL1	-1.545024633
MAP7	1.085495532
DNAJA3	-2.50522387
USP14	-2.028713107
MTA1	0.266428724
PDLIM1	-0.423821852
SMC3	0.780568957
PRPF4	-1.106859505
CCNB2	-2.813698649
CCNE2	-5.852338314
SYNGR3	3.022794127
LPAR2	-1.029066056
ARHGEF2	1.932572484
ZW10	1.677379191
AURKB	1.079512183
VAPB	-0.927613258
