Gene_Id	YC-1_HEPG2_6 h_10 µM
MYO10	-0.215401679
NCK1	-0.324992657
NFATC3	-0.454826683
NFATC4	0.884884953
NFE2L2	0.643820345
NFIL3	-0.596257806
NFKB2	0.451801509
NFKBIA	-0.226153433
NFKBIB	-0.812707067
NFKBIE	-1.103754997
NIT1	0.052742243
NMT1	-1.670666814
NOS3	0.672421634
CNOT4	-2.022069693
NOTCH1	0.384233117
PNP	1.837451458
NPC1	-0.313635468
SLC11A2	-0.412849665
NRAS	0.391178817
NUCB2	0.523775578
NUP88	1.808601022
NVL	1.429451466
ORC1	3.282709599
OXA1L	0.368155211
OXCT1	-0.121282756
PAFAH1B1	-0.142967999
PAFAH1B3	-0.725371957
SERPINE1	0.448440015
PAK1	1.090653419
PCBD1	0.285080791
PCCB	-1.052357554
PCK2	1.371949673
PCM1	1.370009065
PCMT1	0.291760206
PCNA	0.452703357
PDGFA	1.358250737
PFKL	0.713891983
PGAM1	4.171289444
PGM1	4.744582176
PHKA1	0.270064652
PHKB	-1.372827888
PHKG2	2.167860508
PIK3C2B	-0.821763098
PIK3C3	0.044995934
PIK3CA	1.020822167
PIN1	3.158758402
PLA2G4A	-0.638002992
PLCB3	-1.193476439
PLK1	-0.766713023
PLP2	-1.143290758
PLS1	2.245163918
PLSCR1	0.307357043
PMAIP1	-1.114392042
PMM2	0.456180632
POLB	-1.529607534
POLE2	-0.410281897
POLR2I	-0.160200939
POLR2K	-0.20734334
PPARD	0.85830611
PPARG	-0.062179804
PPIC	2.134287596
PPOX	1.316783667
PPP2R5A	-0.671741545
PPP2R5E	-0.151871264
PRCP	-0.051843971
PRKACA	0.885221541
PRKCD	0.301003814
PRKCH	-1.321444273
PRKCQ	-3.625535965
MAPK9	0.242458925
MAPK13	1.181033015
MAP2K5	-0.131418377
PRKX	1.176830649
PROS1	0.426518857
LGMN	1.099883914
HTRA1	-1.913594007
PSMB8	-0.794203401
PSMB10	-1.047669768
PSMD2	0.362203956
PSMD4	-0.190323234
PSMD9	1.655073285
PSMD10	0.015910283
PSME1	0.12290591
PSME2	1.247979403
PTGS2	1.092360854
PTK2	0.014115632
PTPN1	-0.043175429
PTPN6	0.603298068
PTPN12	-0.032958433
PTPRC	0.207143128
PTPRF	0.826914132
PTPRK	-1.883046389
PXMP2	-0.592196405
PXN	1.330168486
PYCR1	-0.338837147
PYGL	1.114260912
RAB4A	2.048165321
RAB27A	-1.713852406
RAC2	-0.974486291
RAD9A	-0.961551309
RAD51C	-0.809773207
MOK	0.201150268
RALA	0.47266674
RALB	-0.133523226
RALGDS	2.00077939
RAP1GAP	1.021170497
RASA1	3.183238983
RB1	-3.043719769
KDM5A	-0.420891613
RELB	-4.599696159
RFC2	-0.671211541
RFC5	-1.897042513
RFNG	-1.030552864
RFX5	-1.164490104
RGS2	1.330887198
RHEB	0.744457364
RNH1	-0.151345253
RPA1	-1.02180469
RPA2	-0.018881857
RPA3	0.84689492
MRPL12	-3.204260826
RPN1	-3.697950602
RPS5	1.887708783
RPS6	1.572655201
RPS6KA1	-0.504862189
RSU1	0.797681928
RTN2	1.090810418
S100A4	-0.036316738
S100A13	0.996561885
SATB1	-0.861128628
SCP2	0.157549709
CCL2	3.589374065
SDHB	0.2477189
SGCB	0.392640144
SHB	-0.994433999
SHC1	1.349587917
SKIV2L	-0.991351962
SKP1	-0.075101979
SLC1A4	-0.082232982
SMARCA4	0.400164515
SMARCC1	-0.094691649
SMARCD2	0.176642671
SNAP25	-0.878712058
SNCA	-3.903745174
SOX2	1.116979718
SOX4	0.5669505
SPAG4	-0.198984861
SPP1	-1.347689152
SPR	-0.511664927
SPTAN1	-0.782881916
SRC	-0.31730175
STAT1	0.273340583
STAT3	1.776698828
STAT5B	0.204448313
AURKA	-0.873758554
STK10	0.706962943
STX1A	-0.892380774
STX4	-2.260616302
STXBP1	-0.820446312
STXBP2	-0.708523393
SUPV3L1	0.268744141
SUV39H1	-3.823081493
SYK	0.49597922
SYPL1	0.250790894
TARBP1	0.29586646
TBP	-0.467981189
TBX2	0.416738153
TBXA2R	-0.102574758
TCEA2	-2.594074965
VPS72	0.017609328
TCTA	1.161957741
DYNLT3	0.517636001
TERT	-0.870899439
TESK1	1.584788561
TFAP2A	-1.435364485
TFDP1	3.269765854
TGFB3	1.453076124
TGFBR2	-0.889370084
TIAM1	-0.889836907
TIMP2	7.029551983
TJP1	0.433109671
TLE1	1.173849821
TLR4	1.508383751
TSPAN6	2.14767313
TSPAN4	-1.473839879
TOP2A	-0.965458989
TP53	0.697320819
TP53BP1	-0.702697814
TP53BP2	-0.281559348
TPD52L2	-0.081840217
TPM1	0.711902022
TSTA3	-1.449412346
TXNRD1	1.020877838
UBE2A	0.740701079
UGDH	0.087243408
NR1H2	-3.334476709
USP1	-0.349240601
VDAC1	-0.210049376
WFS1	0.006707698
WRB	0.083694965
XBP1	0.45202598
XPNPEP1	-0.418765664
ZFP36	0.387384713
ZNF131	-0.694871783
ZMYM2	0.088843137
PAX8	0.608410835
CXCR4	1.729663014
IFRD2	0.649484754
MAPKAPK3	1.088406801
USP7	0.948125243
REEP5	-0.493467093
ST7	0.237649858
KAT6A	-1.879859686
PDHX	-2.741545916
FOSL1	1.014542103
HMGA2	0.057635725
NCOA3	-0.552277923
NRIP1	0.258047312
SMC1A	-0.080076784
LAGE3	0.66334188
AXIN1	-0.893214107
CDC45	-1.831035376
FZD1	0.915672719
FZD7	5.003647327
HIST2H2BE	0.597836494
PIP4K2B	-0.220024973
NCK2	-0.668501973
DYRK3	-0.135879144
DUSP11	-0.385197639
RAE1	-0.987090766
PIK3R3	-0.330082893
NIPSNAP1	1.871218443
IKBKAP	-0.244151145
HAT1	-1.308698058
MAPKAPK5	1.267838359
BHLHE40	0.642790496
MKNK1	0.157700703
CASK	0.250187933
AKR7A2	1.196797371
RUVBL1	0.027231537
PSMG1	0.68788296
BECN1	0.973278046
MBTPS1	-0.414658725
EED	-1.89008522
CTNNAL1	0.654301405
RNMT	1.202627778
PEX11A	1.988219261
CREG1	-0.189528883
INPP4B	0.030747026
IQGAP1	-1.730710506
SOCS2	0.96731782
CFLAR	-0.898589492
CDK5R1	-1.545869589
ST3GAL5	0.168853074
IER3	-1.731253386
SQSTM1	0.814909577
SLC5A6	0.261907697
CPNE3	-2.201030731
CCNA1	0.339559942
TIMELESS	-0.391251504
P4HA2	0.256788671
PLOD3	0.09224388
NOL3	0.446759701
SLC25A14	-1.746251345
MPZL1	-1.987541437
MAP7	0.061960764
DNAJA3	-1.621774673
USP14	0.43970716
MTA1	7.26190424
PDLIM1	-1.488013983
SMC3	0.953051388
PRPF4	-0.131342515
CCNB2	-2.726178169
CCNE2	1.024035335
SYNGR3	2.403525829
LPAR2	0.048286475
ARHGEF2	0.719135523
ZW10	3.951359987
AURKB	-1.093477368
VAPB	-0.443336397
NOLC1	0.125507832
UBE2L6	5.456224918
MAPKAPK2	0.660535336
CYTH1	0.791464686
ITGB1BP1	-1.918058872
BCL7B	0.29700774
COPB2	-0.287239879
ADGRG1	0.059385739
TM9SF2	-0.292472392
MAP4K4	1.493740201
HOMER2	-0.551909864
SH3BP5	1.154506326
PIGB	-0.187679842
PSMF1	-0.210791111
SPTLC2	0.477180481
TBPL1	1.070349813
BAG3	-0.136845618
POLR1C	-0.18234995
SPAG7	-0.082342394
FEZ2	0.61802125
IKBKE	-0.294377983
MTFR1	-0.603648663
HS2ST1	-0.792054057
IPO13	0.405584395
VGLL4	-2.32550478
NUP93	0.09346509
UBE3C	-0.825638294
EDEM1	0.26638025
TRAM2	-0.920254707
CEP57	-0.085028723
KIAA0100	-0.728890538
HERPUD1	1.120648026
KIAA0355	0.786770344
USP6NL	0.681726456
CCP110	-1.910215855
MLEC	-0.697219551
TATDN2	0.597836792
MRPL19	-0.041543007
SCRN1	0.484254837
EFCAB14	1.226428509
KEAP1	-1.836632609
MELK	-1.184093952
PLEKHM1	2.475172997
C2CD5	0.226712659
KIAA0753	1.135587335
C2CD2L	0.188825876
TOMM70A	-0.919691503
KIAA0196	-0.060646981
KLHL21	0.822569668
ARNT2	-1.682188153
FAM20B	0.110191822
NCAPD2	-0.24695453
PAN2	1.40077424
LPGAT1	-0.107852221
KIF14	-3.294909
OXSR1	-0.22070992
MVP	0.131813824
DMTF1	-0.499720156
GNPDA1	0.570785046
HDAC6	0.269595325
PARP2	0.606271982
MAMLD1	-0.166262686
DNAJB6	-0.006238991
SMC4	-3.703368664
ABCC5	-0.170174897
ABCB6	-0.472575039
DNM1L	1.00188601
TSPAN3	0.807096958
KIF20A	0.194092572
ARL4C	-2.645452499
TRAP1	0.32666254
G3BP1	0.110051088
MBNL2	-0.673610032
CEBPZ	-0.440769047
SLC25A13	-1.236207843
SORBS3	-0.292315394
RBM6	0.118398562
TXNDC9	-0.817765296
TRIM13	0.104844242
TRIB1	2.552673101
MFSD10	0.152873501
SLC35B1	0.846940696
TIMM17B	-1.1874156
AKAP8	0.048701905
STUB1	0.00962308
NET1	-0.14552623
SMNDC1	-0.153751433
PAK4	-2.018163919
TNIP1	0.597041011
IKZF1	1.019688368
TMEM5	0.302447259
HMG20B	3.986342192
MYL9	1.451192737
LYPLA1	-1.631360531
PPIE	0.647178054
VAV3	1.01210165
LRRC41	0.651448846
CRTAP	-0.34408474
VAT1	-0.536832631
STK25	-0.064073712
APPBP2	-0.163457513
CHERP	0.59406358
HYOU1	-2.068329334
RPP38	0.135558873
SLC35A1	-0.522229195
DRAP1	-1.403135061
PAICS	0.775237322
ST6GALNAC2	-0.175766662
STAMBP	-0.064459927
NPRL2	-0.769309402
IGF2BP2	2.281950235
YKT6	1.174002051
CGRRF1	0.277045935
RRAGA	0.509702504
GNB5	0.47787863
EBP	0.132296413
CNPY3	-0.319442391
YME1L1	-3.134478569
TCFL5	-0.190295756
KDM5B	-0.710844636
POP4	-1.229090452
ARPP19	-0.334060013
ZNF274	0.043840408
MTHFD2	-0.927667856
WASF3	0.031005308
UTP14A	0.276010811
FRS2	0.074102193
CLPX	-1.002501249
PGRMC1	-0.418713331
MALT1	-1.086947322
CPSF4	-1.028834701
BLCAP	0.558865964
TCERG1	1.222598791
RNPS1	-0.44705677
TOMM34	-1.161393762
PDIA5	0.043675482
MLLT11	0.051071256
EBNA1BP2	2.460551739
TMED10	-0.953752339
ASCC3	0.069818921
SLC27A3	0.328390628
KIF2C	-1.726186752
CCDC85B	-2.356538773
TLK2	0.099020861
KDELR2	-0.033706322
RAB31	1.007543445
B4GAT1	1.471498728
PAPD7	0.151736915
UBE2C	0.283871055
DUSP14	-0.52006799
TOPBP1	0.391388774
PRSS23	-0.321629137
PWP1	-0.178493679
PKIG	0.096327081
CORO1A	1.022881627
LSM6	1.456712365
PSIP1	-2.682917833
SLC2A6	-0.719526768
NISCH	-0.393366307
CHEK2	-1.690359831
PRAF2	-1.328010917
POLG2	-0.022476658
CHP1	0.416543424
PNKP	1.092459559
ECD	0.171196058
DDX42	0.693124056
TWF2	0.454775453
CASC3	1.301469922
COG2	0.83800149
ATF5	1.236252785
MTF2	-0.68300277
PUF60	0.805802822
RAB11FIP2	-0.21382615
CLSTN1	1.003956437
FOXJ3	-2.050211191
KIAA0907	-1.155816674
EPN2	-0.581183612
