Gene_Id	geldanamycin_HEPG2_24 h_10 µM
MYO10	-0.90738365
NCK1	1.632982808
NFATC3	-0.710560668
NFATC4	0.663992359
NFE2L2	0.2500753
NFIL3	-2.307046115
NFKB2	-4.388450065
NFKBIA	-2.06607777
NFKBIB	1.865283279
NFKBIE	-0.224288422
NIT1	-0.715512901
NMT1	1.944389757
NOS3	1.554065964
CNOT4	-2.013089528
NOTCH1	-2.075047716
PNP	-1.55385821
NPC1	1.62902974
SLC11A2	-0.677558366
NRAS	1.103914295
NUCB2	0.741423633
NUP88	-2.655273633
NVL	-4.668605575
ORC1	0.578946635
OXA1L	-1.765498754
OXCT1	1.493130887
PAFAH1B1	2.45037918
PAFAH1B3	-0.300038145
SERPINE1	-0.385102239
PAK1	0.307547625
PCBD1	-1.230004796
PCCB	1.068629885
PCK2	-2.328208594
PCM1	-3.279511866
PCMT1	-3.710414698
PCNA	0.448107523
PDGFA	-0.481640533
PFKL	-0.041702135
PGAM1	-0.097706929
PGM1	-1.63526855
PHKA1	2.93109836
PHKB	-2.970700194
PHKG2	-0.298542848
PIK3C2B	-4.937169172
PIK3C3	0.391931025
PIK3CA	1.144440108
PIN1	1.442147475
PLA2G4A	1.516601311
PLCB3	-0.196623504
PLK1	-0.539896953
PLP2	-1.585312847
PLS1	1.684508392
PLSCR1	0.199862811
PMAIP1	0.75787958
PMM2	-4.107485703
POLB	-4.180051169
POLE2	1.195467782
POLR2I	1.340050536
POLR2K	1.602131529
PPARD	1.536009399
PPARG	0.688952164
PPIC	-0.696923915
PPOX	1.259497504
PPP2R5A	1.436342417
PPP2R5E	1.707072855
PRCP	0.364875061
PRKACA	1.680268088
PRKCD	-0.021259317
PRKCH	4.113016777
PRKCQ	-5.068503482
MAPK9	1.480384588
MAPK13	-1.645297406
MAP2K5	1.047217982
PRKX	-0.197522192
PROS1	-0.362074819
LGMN	-2.41505515
HTRA1	0.117574171
PSMB8	-0.485233752
PSMB10	-1.974637405
PSMD2	-0.313363046
PSMD4	-2.012094954
PSMD9	1.255435285
PSMD10	2.464904485
PSME1	-0.485451325
PSME2	0.861391571
PTGS2	2.539015793
PTK2	1.116061341
PTPN1	-0.083981178
PTPN6	0.025346365
PTPN12	-3.372736931
PTPRC	1.100307554
PTPRF	-0.556149999
PTPRK	-2.399831362
PXMP2	0.093655055
PXN	-0.8989184
PYCR1	1.565119829
PYGL	0.287828887
RAB4A	2.174881616
RAB27A	2.675016379
RAC2	2.104750904
RAD9A	-0.352202277
RAD51C	0.317943591
MOK	0.853003033
RALA	2.655381407
RALB	1.288506885
RALGDS	-2.660795808
RAP1GAP	0.877765845
RASA1	0.08646806
RB1	6.41979434
KDM5A	3.309835913
RELB	3.748189265
RFC2	2.910144275
RFC5	-2.118322487
RFNG	1.996657469
RFX5	0.34879519
RGS2	-3.152268669
RHEB	-3.970486345
RNH1	-2.107170864
RPA1	-1.194071398
RPA2	1.626172551
RPA3	0.932875641
MRPL12	1.011228331
RPN1	1.55876835
RPS5	0.534852828
RPS6	1.396198066
RPS6KA1	2.767472099
RSU1	2.162867833
RTN2	1.272423599
S100A4	1.277136645
S100A13	-0.596077068
SATB1	-0.211943734
SCP2	-0.487202222
CCL2	-0.003961982
SDHB	1.393673969
SGCB	-3.142203807
SHB	0.139713385
SHC1	-0.061342525
SKIV2L	2.068936301
SKP1	0.814055394
SLC1A4	0.850358548
SMARCA4	0.358100588
SMARCC1	-0.312425574
SMARCD2	-1.156073884
SNAP25	2.510391064
SNCA	-0.874304127
SOX2	-0.148910408
SOX4	-3.4546584
SPAG4	-2.277369837
SPP1	2.495689268
SPR	0.37040684
SPTAN1	-1.192508835
