Gene_Id	thapsigargin_HEPG2_6 h_10 µM
GADD45B	-1.864533424
MYLK	0.671624124
MYO10	-0.248985767
NCK1	-1.421230793
NFATC3	0.51361686
NFATC4	0.605492234
NFE2L2	0.994113684
NFIL3	-1.68011117
NFKB2	1.700055122
NFKBIA	-1.320267081
NFKBIB	-2.408265114
NFKBIE	-0.014985517
NIT1	-1.180520177
NMT1	-0.476591051
NOS3	0.812600017
CNOT4	-1.392240524
NOTCH1	-1.424343586
PNP	-2.502326012
NPC1	2.269813538
SLC11A2	-1.862253904
NRAS	-0.614012361
NUCB2	1.106386423
NUP88	1.410309315
NVL	0.081304371
ORC1	2.873713017
OXA1L	-0.996612847
OXCT1	-0.548783541
PAFAH1B1	0.770520151
PAFAH1B3	-0.892419577
SERPINE1	-0.568905711
PAK1	1.197762132
PCBD1	-0.385210961
PCCB	0.332821637
PCK2	-0.135175198
PCM1	0.459773511
PCMT1	1.55604279
PCNA	1.018294811
PDGFA	-0.869351506
PFKL	2.266411304
PGAM1	0.586691976
PGM1	1.324138761
PHKA1	1.040663958
PHKB	-2.190746307
PHKG2	2.159186363
PIK3C2B	0.600141883
PIK3C3	4.828971863
PIK3CA	1.262292504
PIN1	-0.304927826
PLA2G4A	0.199479967
PLCB3	-1.45437479
PLK1	-0.512191653
PLP2	0.268665761
PLS1	-1.039011955
PLSCR1	0.534447908
PMAIP1	-3.064483166
PMM2	2.959583998
POLB	3.873950243
POLE2	-1.031503916
POLR2I	0.915129423
POLR2K	-0.062138133
PPARD	-2.412257671
PPARG	-0.67668575
PPIC	0.745524824
PPOX	-0.764384747
PPP2R5A	-1.855413437
PPP2R5E	1.131391287
PRCP	4.478716373
PRKACA	-3.197027683
PRKCD	0.103581175
PRKCH	2.277875662
PRKCQ	-0.799001515
MAPK9	0.529522777
MAPK13	-3.295925617
MAP2K5	-0.122759312
PRKX	2.395141363
PROS1	-0.238653347
LGMN	0.144694433
HTRA1	-1.315162539
PSMB8	0.701560378
PSMB10	-0.640342236
PSMD2	0.994593978
PSMD4	-0.089769304
PSMD9	-0.911605656
PSMD10	-0.28953582
PSME1	0.040076252
PSME2	-2.198404074
PTGS2	3.866769791
PTK2	-2.62804389
PTPN1	-0.571560085
PTPN6	-0.890661478
PTPN12	-0.324905306
PTPRC	0.12671715
PTPRF	0.327899724
PTPRK	-0.483043611
PXMP2	0.868120611
PXN	-0.458326101
PYCR1	0.027917862
PYGL	0.398128778
RAB4A	4.24843359
RAB27A	-2.615544558
RAC2	-0.615520537
RAD9A	2.095889091
RAD51C	-0.31423226
MOK	-0.15324679
RALA	-0.057428956
RALB	-2.107671261
RALGDS	-0.552575588
RAP1GAP	2.12718153
RASA1	0.169813275
RB1	-3.269505978
KDM5A	1.320576906
RELB	-4.79082489
RFC2	-3.550883293
RFC5	-2.169112682
RFNG	-0.78682065
RFX5	-1.230130672
RGS2	1.210387707
RHEB	-0.840674341
RNH1	0.781061828
RPA1	1.239224195
RPA2	1.053423405
RPA3	-1.727442265
MRPL12	0.020624474
RPN1	-1.613976717
RPS5	1.664402366
RPS6	-0.085712075
RPS6KA1	0.084342033
RSU1	-1.973149538
RTN2	0.188082635
S100A4	0.829325497
S100A13	0.595713079
SATB1	0.476824522
SCP2	-1.749040484
CCL2	2.448560715
SDHB	0.704458952
SGCB	-0.420681179
SHB	-2.430692673
SHC1	0.920012593
SKIV2L	-0.729053378
SKP1	0.60876894
SLC1A4	0.45461899
SMARCA4	0.521993339
SMARCC1	-0.207193926
SMARCD2	-0.422957301
