Gene_Id	benzo(a)pyrene_VCAP_24 h_10 µM
MYLK	0.383176357
MYO10	0.146366522
NCK1	0.407056093
NFATC3	-0.001742922
NFATC4	0.149935782
NFE2L2	0.145281971
NFIL3	-0.307467431
NFKB2	-0.301929981
NFKBIA	0.216872633
NFKBIB	0.970918655
NFKBIE	0.433838129
NIT1	-1.313272476
NMT1	0.478769779
NOS3	-0.655154765
CNOT4	0.865734518
NOTCH1	0.645030856
PNP	1.881980658
NPC1	-0.296430498
SLC11A2	1.370239973
NRAS	0.24245593
NUCB2	1.514094591
NUP88	0.452163726
NVL	-0.369700521
ORC1	2.503943682
OXA1L	-0.205031633
OXCT1	-1.231334567
PAFAH1B1	-0.517504632
PAFAH1B3	1.244117022
SERPINE1	0.011814424
PAK1	0.332868457
PCBD1	0.645541251
PCCB	-0.305468023
PCK2	0.337157696
PCM1	-1.159343481
PCMT1	-0.287078023
PCNA	0.002683653
PDGFA	0.330071479
PFKL	0.107354589
PGAM1	1.187624455
PGM1	0.56314981
PHKA1	0.420182943
PHKB	0.13473016
PHKG2	0.330557585
PIK3C2B	-0.144663796
PIK3C3	-0.278466702
PIK3CA	-1.539923072
PIN1	0.59511888
PLA2G4A	0.115949959
PLCB3	-0.522287667
PLK1	0.575315356
PLP2	-0.381956518
PLS1	1.339279294
PLSCR1	-0.879488587
PMAIP1	0.248164505
PMM2	0.297636271
POLB	-1.501592159
POLE2	-0.129490733
POLR2I	0.075418837
POLR2K	-0.243198812
PPARD	1.037846088
PPARG	0.11399737
PPIC	-0.434073538
PPOX	-0.053974703
PPP2R5A	0.186712921
PPP2R5E	-0.734796345
PRCP	2.655894756
PRKACA	0.038432714
PRKCD	0.374196768
PRKCH	-0.832597077
PRKCQ	-0.078573726
MAPK9	0.359404534
MAPK13	-0.254328817
MAP2K5	-0.603743851
PRKX	-0.087264404
PROS1	-0.375476748
LGMN	0.780377209
HTRA1	-0.426292449
PSMB8	-1.374616265
PSMB10	-2.538495779
PSMD2	1.677540898
PSMD4	-0.1510849
PSMD9	0.351901174
PSMD10	-0.205187798
PSME1	0.4108693
PSME2	-0.023375742
PTGS2	-0.396225482
PTK2	-0.234656766
PTPN1	-0.525868118
PTPN6	-0.148507297
PTPN12	0.155143887
PTPRC	-0.639032602
PTPRF	-0.453326076
PTPRK	0.086768307
