Gene_Id	YC-1_HEPG2_6 h_20 µM
AARS	-0.407902777
ABCF1	0.074483395
ABL1	-0.210871935
ACAA1	-0.652083099
ACAT2	0.329854906
ACLY	0.521405935
ADAM10	-0.851457298
ADH5	-0.000356168
PARP1	1.653833508
ADRB2	0.07365936
AGL	-0.03114292
AKT1	-1.512309194
ALAS1	0.865971088
ALDOA	-0.151133001
ALDOC	-0.647924542
SLC25A4	0.024301857
ANXA7	2.162567139
APBB2	-4.68772459
BIRC2	0.163025975
BIRC5	1.17970109
APOE	-1.424516797
APP	-0.244691998
FAS	0.210912034
RHOA	-2.399015903
ARHGAP1	-0.090058871
ASAH1	-2.166065216
ATF1	-0.333312899
ATP1B1	0.709748507
ALDH7A1	1.351256132
ATP6V0B	1.093181252
BAD	-0.390402853
BAX	0.97946924
CCND1	1.061384916
BCL2	0.985617638
BDH1	0.166794688
BID	1.638344288
BLMH	-0.818899512
BLVRA	0.048268825
BMP4	-2.431324005
BNIP3	0.47912991
BNIP3L	-1.160348654
BPHL	2.530277729
BRCA1	0.798895597
BTK	0.222590312
BUB1B	0.096310407
C5	1.283709526
DDR1	-1.434535027
CALM3	-0.825025082
CALU	1.583328962
CAPN1	0.396497667
CAST	0.389698952
CASP2	0.809072435
CASP3	1.19516468
CASP7	3.914843559
CASP10	-0.281409621
CAT	2.900742769
CBLB	3.59579277
CBR1	-0.452172637
CBR3	1.436352611
CCNA2	0.037775874
CCNB1	4.368452072
CCND3	0.761396706
CCNF	-1.235358596
CCNH	-0.140829742
SCARB1	-1.515054703
CD40	-0.258546233
CD44	0.122907758
CD58	-0.362692773
ADGRE5	0.236694217
CDK1	0.271091163
CDC20	0.137562618
CDC25A	0.826861858
CDC25B	0.245785639
CDC42	0.443148136
CDH3	-1.363138676
CDK2	-1.082311988
CDK4	-0.33388406
CDK6	1.306684017
CDK7	2.090123653
CDKN1A	1.051939011
CDKN1B	1.187795281
CDKN2A	-2.327524185
CEBPA	-1.235326767
CEBPD	1.338724136
CENPE	-2.834109068
CETN3	0.831995845
CHEK1	0.521360874
CHN1	-1.144063711
CIRBP	0.679489613
CLTB	-0.107389748
CLTC	0.001398962
COL1A1	1.093955994
COL4A1	2.523043633
CREB1	-0.324072152
CRK	-3.52989912
CRKL	0.822035611
CRYZ	-1.948241234
CSK	0.866380095
CSNK1A1	-0.756475031
CSNK1E	-0.014076211
CSNK2A2	-0.430616558
CSRP1	-0.666273057
CTNND1	-0.946707129
CTSD	-1.815299988
CTSL	4.415355206
CYB561	-2.191966057
DAG1	-1.417047858
DAXX	-0.261807919
DCK	-0.996151507
DCTD	-0.7566396
DDB2	-0.062286273
GADD45A	0.221706569
