Gene_Id	benzo(a)pyrene_VCAP_6 h_10 µM
AARS	0.991696
ABCF1	0.03389287
ABL1	0.282211542
ACAA1	0.157318562
ACAT2	-0.672091186
ACLY	-0.312396675
ADAM10	-0.222348303
ADH5	0.272086054
PARP1	0.568745017
ADRB2	-1.477622986
AGL	0.54090023
AKT1	0.560395896
ALAS1	-0.267544717
ALDOA	0.231830031
ALDOC	0.205360308
SLC25A4	-0.908154845
ANXA7	-0.287313342
APBB2	0.554797113
BIRC2	-1.045554638
BIRC5	4.586850166
APOE	-0.489763767
APP	-1.34511435
FAS	-0.869402289
RHOA	-0.025464512
ARHGAP1	-0.359784156
ASAH1	1.631827593
ATF1	-0.105027363
ATP1B1	0.714266658
ALDH7A1	0.574271798
ATP6V0B	-0.110372312
BAD	0.044749126
BAX	-0.225954875
CCND1	-0.502054632
BCL2	0.511811435
BDH1	0.645997107
BID	0.588472843
BLMH	-1.035263181
BLVRA	-0.653200269
BMP4	0.173698276
BNIP3	0.030905813
BNIP3L	-0.394779027
BPHL	0.371683329
BRCA1	0.402304024
BTK	-0.585505664
BUB1B	0.069418699
C5	-0.256684035
DDR1	-0.270572364
CALM3	1.132071853
CALU	1.371428251
CAPN1	0.576118886
CAST	1.168071151
CASP2	0.312835127
CASP3	-0.187213451
CASP7	0.032927506
CASP10	0.528901815
CAT	0.833724022
CBLB	-0.498720109
CBR1	-0.231605962
CBR3	0.886761189
CCNA2	0.038775921
CCNB1	-0.658211648
CCND3	0.20288454
CCNF	-0.105086945
CCNH	-0.250917017
SCARB1	-0.743322313
CD40	0.539782882
CD44	-0.394334465
CD58	0.509120226
ADGRE5	0.354140103
CDK1	-0.718588889
CDC20	-0.293103069
CDC25A	0.146996349
CDC25B	0.298958838
CDC42	0.145543337
CDH3	-0.463371545
CDK2	0.31799224
CDK4	0.429444194
CDK6	-0.457359552
CDK7	-0.410644382
CDKN1A	0.163288653
CDKN1B	0.183711082
CDKN2A	0.575065374
CEBPA	-0.090831891
CEBPD	0.038389534
CENPE	-0.259353608
CETN3	-0.188426435
CHEK1	-0.585980654
CHN1	0.387842059
CIRBP	-0.062095001
CLTB	0.222411335
CLTC	0.694212556
COL1A1	0.292144865
COL4A1	0.328284979
CREB1	-0.147273988
CRK	-0.096462369
CRKL	0.130355999
CRYZ	-0.138860166
CSK	0.443256855
CSNK1A1	-0.152762532
CSNK1E	-0.069447011
CSNK2A2	-1.05963099
CSRP1	0.946182072
CTNND1	0.276218116
CTSD	0.103383943
CTSL	-0.186896443
CYB561	-0.015916377
DAG1	0.097541571
DAXX	0.368751287
DCK	0.398983598
DCTD	-0.216227189
DDB2	-0.373572946
GADD45A	-0.357834339
DDX10	0.38246727
DECR1	-0.178952426
DFFA	0.58253777
DFFB	0.43026644
DLD	-1.129571199
DNM1	0.592880726
DNMT1	-0.03424947
DNMT3A	2.821571827
DPH2	0.101305708
DSG2	-0.352373719
TSC22D3	-0.680775642
DUSP3	0.401494205
DUSP4	0.230512559
DUSP6	0.095531851
TOR1A	0.284345955
E2F2	0.336786449
ECH1	0.019981965
EDN1	-0.648220479
EGF	0.350376874
EGFR	-0.418442547
EGR1	0.038508743
EIF4EBP1	-0.013825104
EIF4G1	-0.741247892
EIF5	0.356981397
ELAVL1	-0.306052685
CTTN	0.541181505
EPB41L2	-0.211650282
EPHA3	0.424309552
EPHB2	-0.310102224
EPRS	0.02374123
NR2F6	-0.728022635
ERBB2	0.758305192
ERBB3	-0.49079439
ETFB	1.045413375
ETS1	0.000561833
ETV1	0.743211031
EXT1	-0.131852478
EZH2	-0.556124032
FAH	0.120691784
PTK2B	0.535711169
FAT1	0.815935373
FDFT1	0.661374927
FGFR2	-0.060991604
FGFR4	-0.291853905
FHL2	0.256269753
FKBP4	-0.483556688
FOXO3	-0.533451915
FOS	0.052814573
FPGS	0.18473956
FUT1	-0.018535733
FYN	-0.635779858
SLC37A4	-0.073200636
GAA	0.07302209
GABPB1	1.081684351
GALE	-1.359815121
GAPDH	-0.721623123
GATA2	0.115468107
GATA3	-0.296242952
GFPT1	0.168971509
GHR	0.455365032
GLI2	-0.383589834
GLRX	0.253469795
GNA11	-0.433857262
GNA15	-0.85479331
GNAI1	1.581885457
GNAI2	0.531899571
GNAS	0.216993734
SFN	1.003438234
GPC1	0.008413941
GPER1	0.406258434
GRB7	0.315056771
GRB10	-0.632126451
GRN	-0.437827259
NR3C1	-0.323538542
CXCL2	-0.015193783
GSTM2	0.117409229
GSTZ1	0.500616908
MSH6	0.601618469
GTF2A2	-0.413817227
GTF2E2	-0.229512379
HSD17B10	0.137419835
HADH	1.329288721
HDAC2	1.113667965
HIF1A	-0.048340008
HK1	-0.414171994
HLA-DMA	-0.32512033
HLA-DRA	0.317817658
HMGCR	-0.097912818
HMGCS1	-0.089422688
HMOX1	-0.746655881
HOXA5	-1.130044699
HOXA10	0.558032751
HPRT1	-1.011168718
HES1	0.242257267
DNAJB2	0.057208598
HSPA1A	0.945565403
HSPA4	0.250336319
HSPA8	0.254057944
HSPB1	0.08105769
HSPD1	-2.18938446
DNAJB1	-0.254228443
ICAM1	-1.346655607
ICAM3	0.218351334
ID2	-0.514384508
IDE	-0.124475837
IFNAR1	1.937304378
IGF1R	-0.079895854
IGF2R	-0.313848406
IGFBP3	0.878119111
IGHMBP2	0.098953754
IKBKB	0.545266151
IL1B	-0.271115929
IL4R	-0.75769335
IL13RA1	-0.738908172
ILK	0.405616045
INPP1	0.10724619
INSIG1	-0.157149076
ITGAE	0.56611073
ITGB5	-0.016320616
JUN	-0.044388987
KCNK1	-0.058843061
KIF5C	-0.250903904
KIT	-0.096243978
KTN1	-0.105558522
LAMA3	-0.009453297
STMN1	-0.161117107
LBR	-1.31502974
LGALS8	-0.360588521
LIG1	0.7410326
LIPA	0.361568302
LOXL1	0.589430571
LRPAP1	0.009662002
LYN	0.926087797
SMAD3	-0.038480543
MAN2B1	-0.639508486
MAT2A	-0.590129793
MBNL1	-0.507314086
MCM3	-0.214937836
ME2	0.776652634
MEF2C	0.268541485
MAP3K4	0.424983293
MEST	0.268355936
MIF	0.239727378
FOXO4	0.634720087
MMP1	0.419301569
MMP2	-0.407514781
MNAT1	0.625512123
MSRA	0.535064578
MUC1	0.299268484
MYBL2	-0.047432154
MYC	-0.261550218
GADD45B	-0.239592254
MYLK	-0.316457391
MYO10	-0.034482986
NCK1	-0.250407875
NFATC3	-0.779995441
NFATC4	-0.676055491
NFE2L2	-0.119839035
NFIL3	0.133197159
NFKB2	0.547465444
NFKBIA	0.617226243
NFKBIB	0.383584082
NFKBIE	0.349348843
NIT1	-0.891853333
NMT1	-0.052767903
NOS3	-0.587944746
CNOT4	-0.592396736
NOTCH1	0.762363136
PNP	0.188733682
NPC1	-0.208239511
SLC11A2	0.073738277
NRAS	-0.241974056
NUCB2	1.151992559
NUP88	-0.528294384
NVL	0.087646998
ORC1	-0.294497252
OXA1L	0.389369905
OXCT1	-0.570828021
PAFAH1B1	-0.401132792
PAFAH1B3	0.686907649
SERPINE1	-0.000132061
PAK1	1.120918155
PCBD1	-0.017255552
PCCB	0.560795605
PCK2	0.712827146
PCM1	0.144474208
PCMT1	0.432913393
PCNA	-0.822261274
PDGFA	-0.629699707
PFKL	0.308035433
PGAM1	0.597867608
PGM1	-4.236640453
PHKA1	0.321234912
PHKB	0.199992836
PHKG2	0.220219553
PIK3C2B	0.491450518
PIK3C3	-0.095939331
PIK3CA	-0.16769205
PIN1	0.314192951
PLA2G4A	0.094576098
PLCB3	0.525219679
PLK1	0.186461091
PLP2	-0.547511697
PLS1	-0.12910369
PLSCR1	0.009868085
PMAIP1	0.179972723
PMM2	0.423066169
POLB	-0.359998673
POLE2	-0.328326821
POLR2I	0.284906983
POLR2K	4.191051006
PPARD	0.566276252
PPARG	0.546667755
PPIC	-0.35523349
PPOX	0.065171599
PPP2R5A	-0.97707355
PPP2R5E	-2.329684734
PRCP	0.165140465
PRKACA	0.212348968
PRKCD	2.031887293
PRKCH	-0.970938087
PRKCQ	-0.134093612
MAPK9	-0.322865546
MAPK13	-0.948324621
MAP2K5	-0.646363914
PRKX	-0.219587147
PROS1	0.221057236
LGMN	0.648867071
HTRA1	-0.629653215
PSMB8	0.346389771
PSMB10	0.599884987
PSMD2	-0.478340656
PSMD4	-0.721568346
PSMD9	1.203804016
PSMD10	0.567041278
PSME1	-0.154964209
PSME2	0.398262978
PTGS2	-1.484094858
PTK2	0.551007152
PTPN1	-0.042077512
PTPN6	0.715999603
PTPN12	-0.230318338
PTPRC	0.830401897
PTPRF	-0.122645199
PTPRK	0.139301017
PXMP2	0.510726631
PXN	0.293028384
PYCR1	-0.207794085
PYGL	0.6640203
