"","Gene set","Overlap","pValue","pAdj"
"1","#DNA","YY1, E2F4","0.99998921144148",1
"2","#ERS","","1",1
"3","#HTS","CSNK2A1","0.999667537918845",1
"4","#HYP","TGFB1","0.999832889868048",1
"5","#MTL","","1",1
"6","#OXD","SMAD3","0.999217065927546",1
