Gene_Id,geldanamycin_HEPG2_24 h_10 µM,thapsigargin_HEPG2_6 h_10 µM,YC-1_HEPG2_24 h_20 µM,radicicol_HEPG2_24 h_10.0 um,YC-1_HEPG2_24 h_5 µM,geldanamycin_HEPG2_24 h_0.12 um,spiperone_HEPG2_24 h_10 µM,benzo(a)pyrene_VCAP_24 h_10 µM,tert-butylhydroquinone_JURKAT_6 h_1 µM,radicicol_HEPG2_24 h_0.12 um,spiperone_HEPG2_6 h_10 µM,VU-0418946-1_HEPG2_6 h_10 µM,tert-butylhydroquinone_JURKAT_24 h_500 nM,radicicol_HEPG2_24 h_1.11 um,geldanamycin_HEPG2_24 h_1.11 um,geldanamycin_HEPG2_24 h_1.11 µM,temozolomide_HEPG2_6 h_10 µM,radicicol_HEPG2_24 h_3.33 um,tert-butylhydroquinone_JURKAT_6 h_100 nM,tert-butylhydroquinone_JURKAT_6 h_500 nM,radicicol_HEPG2_24 h_0.04 um,geldanamycin_HEPG2_6 h_10 µM,brefeldin-a_HEPG2_6 h_10 µM,spiperone_HEPG2_24 h_3 µM,tert-butylhydroquinone_JURKAT_24 h_100 nM,tert-butylhydroquinone_JURKAT_6 h_10 µM,geldanamycin_HEPG2_24 h_0.37 µM,brefeldin-a_HEPG2_6 h_100 nM,tert-butylhydroquinone_JURKAT_24 h_10 µM,radicicol_HEPG2_6 h_10 µM,geldanamycin_HEPG2_24 h_3.33 µM,geldanamycin_HEPG2_24 h_0.12 µM,benzo(a)pyrene_VCAP_6 h_10 µM,radicicol_HEPG2_24 h_0.37 um,geldanamycin_HEPG2_24 h_3.33 um,quercetin_HEPG2_6 h_10 µM,tert-butylhydroquinone_JURKAT_24 h_3 µM,tert-butylhydroquinone_JURKAT_24 h_1 µM,geldanamycin_HEPG2_24 h_0.37 um,mitomycin-c_HCC515_6 h_10 µM,tert-butylhydroquinone_JURKAT_6 h_3 µM,mitomycin-c_HCC515_24 h_10 µM,YC-1_HEPG2_6 h_20 µM,geldanamycin_HEPG2_24 h_0.04 µM,geldanamycin_HEPG2_24 h_0.04 um,geldanamycin_HEPG2_24 h_10.0 um,spiperone_HEPG2_6 h_3 µM,YC-1_HEPG2_6 h_5 µM,YC-1_HEPG2_6 h_10 µM
23212,-0.127665458,0.376699835,1.875936031,-0.916181505,1.153926849,0.107794411,-3.077460051,-0.684690177,-0.879709125,-1.047349691,-1.95006145,-1.275953054,-0.169965677,-1.598759532,-0.423251867,-0.439172916,-0.686032832,0.147965461,0.658605933,1.055560917,0.165493682,-0.374400838,-1.002381563,0.384606779,0.220242456,-0.697658539,-0.45065026,-0.086171918,-0.001153607,0.004150003,0.017385438,-0.39953196,0.388164699,-0.122697845,-0.54961735,0.645796955,-1.066029787,0.544009745,0.773872375,-1.174853891,0.115835369,-0.689852715,-2.469844341,0.176518053,-1.632097244,-0.299397498,-0.948727071,-1.347068191,-0.488718003
23223,-1.515693181,-0.56813252,2.687751293,-0.451347172,1.710450888,0.208781347,-2.887394667,-0.387408972,-0.895510733,-0.961187303,-1.355727497,-0.234822363,-0.480737619,-0.980664372,-0.302743673,0.174853563,0.229003683,-0.832156181,-0.404582173,-0.34459541,0.332255065,-1.97217964,-1.355288148,0.184639543,-0.704729319,-0.392772794,-1.703285158,-1.871667743,-0.170922115,-0.140900001,-0.580249593,0.037704334,-0.359169602,-0.613579869,-0.666366816,1.069371223,-0.38434355,0.058426067,1.027501464,0.432356298,0.570307881,1.541632414,0.16559808,-1.514052808,0.609374642,0.131032541,-0.995709836,0.597307205,2.071741104
23224,1.441833722,1.569778204,2.176317453,0.518458724,1.776350379,-0.235050559,1.216523051,-0.389078856,0.125578642,-0.571177483,-0.335688774,0.293414235,-0.195589423,-0.092357427,0.460548401,2.156205893,-0.214665204,-0.025372185,1.198384047,0.416481912,0.300808907,-0.189262023,-0.226686597,-0.593389034,-0.091988616,-0.01727253,1.242391735,0.107155323,0.052151609,1.185549974,1.300498307,1.395807154,0.10793142,0.531153321,0.163509667,0.640547276,-0.082568206,-0.401585639,0.237583935,0.092947245,0.370594993,0.969469547,1.272040606,0.530017659,-1.41718936,-1.048199534,0.024529574,1.055861235,0.465219378
23244,1.523300611,1.332800031,6.260981083,0.308012247,6.232146263,-0.122455053,1.173651814,-0.171056509,-0.232521415,-0.88431716,-1.052886292,0.978968322,-0.2144247,-0.515509903,0.393301547,1.409124702,-0.756214082,0.06542889,0.762498617,0.474184528,-0.064800516,-0.176394646,-1.323656559,0.069569752,0.385144889,0.234708071,1.355607271,0.781224608,-0.517698944,-0.446400017,1.653307736,1.515512884,-0.83607465,0.28084892,0.057332724,0.51676476,0.377128385,-0.285343349,0.275937647,0.281876862,0.366637588,1.36107707,0.750548959,2.102624595,-1.668286085,-0.550092876,-0.214087561,2.429139137,0.659289598
23271,-0.616858479,-0.791901886,-0.864492416,-2.582725048,-0.65901047,0.525073647,-2.429725885,-0.095067173,0.068116456,0.228798747,-1.207263716,-2.915997982,-0.248327017,-0.44511646,-1.286872387,0.040933132,0.330453157,-0.966004729,-0.646044075,0.167208018,0.422723234,-1.5961475,-0.898758292,0.523465812,0.184912071,0.21107243,0.203813866,-0.880297601,-0.312181175,-2.339950085,-0.228658549,-0.193228692,-0.660490632,-0.005850166,-1.278411627,-0.57953465,-0.200299464,-0.043396141,-0.857597053,-0.152804524,0.408351578,-5.346815586,-0.409644544,0.02251929,0.73676008,0.213493288,0.080643281,-0.369880617,-1.175302267
23300,0.421034611,0.849332631,6.764831066,0.246325225,3.748074293,0.00861462,-0.76098156,0.005224481,-0.108510196,-0.070973285,-0.318589631,0.099924728,-0.100610435,-0.209384486,-0.054853082,1.13631916,0.155817866,0.147458121,0.854946196,0.664542302,0.019900218,-0.320389906,-0.811879992,-0.555123389,-0.346613497,-0.905838788,1.061479926,0.032754064,-1.040115714,0.0255,0.884596288,0.995930612,0.2602593,0.287598819,0.200293213,0.547789693,2.72190246,0.288052201,-0.149558395,-0.333712995,-0.062275678,3.381090403,0.782508254,2.157343984,-1.190110207,0.844644845,-0.214154631,0.58695513,0.644952893
23321,3.96806654,-0.173136473,-3.586819172,1.188035488,-2.50404501,-0.048638828,0.857959628,2.630091906,-1.265114784,1.253311753,-0.527684118,0.003636725,-0.385512872,2.378128052,1.1030792,5.170017242,0.77126199,0.970534086,-0.298597276,-0.593902409,0.397886306,0.998754347,0.586219192,-0.024896666,-0.015009969,0.30908224,5.107517362,0.282577932,0.140609786,0.414850026,4.23113966,5.069954276,0.37060532,0.602971911,1.761122942,1.145521402,0.562676579,-0.426064938,-1.08218646,0.114602864,-0.195015498,-2.23085475,-2.667837143,4.469705224,0.52980727,0.929386377,-0.115717962,-1.300819159,-2.064636707
23325,1.30673211,0.996014833,0.876959562,0.234077722,0.13841337,-0.670475781,0.017139941,-0.48267293,0.336025059,5.260906219,-0.229629379,0.265053511,0.365228724,0.018031597,-1.16122663,2.208229244,-0.649472713,-0.044004269,1.297545075,0.000301547,-0.09851484,0.141149595,3.271553278,-0.650221705,0.224913895,0.641649604,-0.102716096,-0.061115861,0.0265531,1.454400063,-0.074070834,-0.092254013,-0.060091764,-0.241529286,-0.259549648,0.612714887,0.995689318,1.288651705,-0.450173438,-1.276935041,-0.258795895,1.116754055,-0.986784935,-0.391235687,-0.531505287,-1.112984896,-0.695769966,-0.438668728,0.342216969
23326,2.896867104,-0.421827495,4.334672928,2.07697463,3.748131275,0.037577476,-0.609317064,0.051972032,-0.803230047,1.332583785,-0.969834514,0.902460217,0.026965131,2.151089668,1.867630124,2.552851319,-0.132638499,2.66438508,1.695671797,1.662571967,0.013193563,0.000105145,-1.101243854,-0.319491863,-0.198405385,-0.684861898,2.518478394,-1.699183345,0.793855965,1.844700098,2.360233545,2.222848415,-0.143430561,1.717959642,1.94272387,0.535247803,1.277560949,0.163518518,0.180486694,-0.08796072,-0.253468955,3.438246727,-0.106395215,2.07892108,-1.04584682,-0.012985885,-0.213424578,1.109375,0.748605788
23335,0.672390705,0.792118907,-2.075708866,1.149927139,-2.260516882,-1.048233867,0.523914456,0.272113383,0.446071327,0.193639889,0.986837325,1.254609346,0.224667333,1.154184103,1.625898123,1.748855472,0.323424339,0.380755186,0.70255971,1.628464371,-0.322899461,1.377509036,0.664216578,0.267190188,-0.475394219,-0.023038141,1.677219927,1.228268147,0.24633044,2.260149956,1.141592801,0.987493828,0.297188044,0.889133334,0.192968965,-1.883660078,0.643302768,1.111611962,0.393826216,-0.237183645,0.263515957,-2.654700518,-0.140021771,1.595254898,-0.673843801,-0.317517519,0.136262566,0.771719456,-0.072845384
23338,-1.810667795,-0.388453424,-8.076184273,-0.475367546,-6.338331223,0.262546897,-0.31636101,0.002699301,-0.540892243,-4.174850464,0.625683123,1.220613718,-0.2399901,1.127791166,0.35117802,-2.109891891,-0.197861642,-0.269148439,0.010675387,0.311879943,-0.31187588,-1.166209284,0.732064009,0.308716595,0.213249117,0.249445558,-5.689166665,0.482125759,0.160460517,-2.94904995,-2.570121467,-2.391855836,0.561717451,0.433578223,0.219295591,-0.217828408,0.442213884,-0.472526699,0.274595916,-2.089953929,0.096896256,-8.734366417,-1.813194513,-2.693181634,0.592846453,-1.824185848,-1.246510744,-2.081384182,-2.032071114
23365,1.299531848,0.66429472,0.084923163,-0.336988956,1.697116494,-0.807978094,0.433152825,-0.716027141,-0.454746664,-0.246521562,-0.98911926,-1.126255035,-0.332382865,-0.288684994,-0.892243981,0.559389681,0.325193435,2.883188963,0.120299399,0.59539267,0.31757006,0.722775632,-0.557844281,0.068007499,-0.664848328,-0.187855721,0.621548146,0.277487159,0.483609259,0.496800005,0.463796943,0.144337282,-0.731758595,-0.430359721,-0.660156548,-0.931084275,-0.248531789,-0.147338614,-0.703477085,-0.888236001,-0.093790504,1.365839601,-1.550978184,0.841696113,-0.008894965,-0.30449146,-0.394374967,0.536116004,-1.252468824
23368,0.656687154,-1.552382946,-1.009494185,-1.588539839,-0.861396372,-0.018532336,-1.873742342,0.07912118,1.114041328,0.14053297,-0.387247826,-1.068055868,-1.169533856,0.411391467,1.045281887,0.929894991,2.772831917,1.365687728,0.41793251,1.120110892,0.42046842,0.570808648,0.016168244,-0.06581594,0.751877785,0.147160962,0.445069879,-0.427905142,-3.545525312,-0.627799988,0.224077344,0.019792608,-0.104379483,-1.055789948,1.224372864,-2.446310759,-1.93165414,-2.377149105,0.443027526,-0.026325755,1.256733403,0.679907441,-2.328043699,0.083251625,1.258413553,0.210219264,-0.594790101,-1.167273283,-0.652024329
23378,-3.931304471,-2.127762318,-1.295095444,-1.126706958,0.584073007,0.413509548,-4.360630989,0.284213245,-0.093949854,-0.115319744,0.416211701,-0.836131215,0.154503513,-2.184465408,-2.568060875,-2.903747559,0.695694327,-1.744517565,0.399071455,-1.245335519,-0.386003733,-1.644653206,0.067208454,0.212360144,-0.340626836,-0.105011448,-3.723630428,-1.162710905,-0.974671483,-1.791499972,-3.372999787,-2.824426532,0.802326798,-0.969202995,-1.46985662,0.10315796,-0.432052739,0.246867925,-0.167690158,-0.854626179,-0.260125026,-1.068686605,1.440815687,-3.403185964,-2.018228292,0.411211967,0.367582262,1.518671274,1.154045939
23386,-2.46165285,-3.183017015,-3.256570816,-2.829226971,-2.306494236,0.377636343,-3.017113924,-0.579277396,1.292053819,-1.686561823,-0.901596088,-3.717643738,0.429429531,-3.882066965,-2.389800072,-2.850488544,1.09487474,-2.46739912,-1.709107637,-0.302179098,0.240184724,-0.02914565,-0.097839162,0.320403993,1.132939458,0.552324831,-2.619225979,-0.327419847,0.608076334,-2.277750015,-2.432195663,-3.017943382,0.224583089,-4.665568829,-2.369700193,-3.721674919,-1.059840962,0.238832638,0.178230792,-1.73950389,-0.319728851,-7.103611946,-2.95151782,-2.223677337,1.048250914,0.592931688,-0.783150911,-2.000656366,-4.464798927
23410,0.930263355,0.607596517,2.684798241,-0.80628264,1.444118261,0.295267552,-0.523934007,1.234538078,-0.948126912,1.86152935,1.12002564,0.004496425,0.63293593,2.061319113,1.026691437,-0.476873264,-0.045661438,1.729998469,-0.53405571,-0.891877055,-0.095067531,0.656390952,1.089475632,-0.427543908,0.859589696,-0.038596295,0.771432295,0.343627214,0.132715136,-1.344700098,0.799133688,0.919160396,0.353895783,1.312886238,1.464766502,-0.530924976,1.017390043,-0.441890419,-0.586317837,0.152026772,-0.500069343,3.943431139,0.544320941,-0.633950055,0.916772842,0.920586765,0.796854734,1.255858421,2.886688232
23443,-1.112614697,0.155475318,-4.255463123,-1.930102468,-1.475549698,-0.103267163,1.890735149,0.230576858,0.201556534,0.800762057,-0.294180688,-1.476647496,-0.704523921,0.196792483,-0.504989147,-1.28085795,-0.261491477,-0.388546169,0.428400069,0.148610055,0.912992358,0.475501521,1.155536175,-0.073099516,-0.542464912,-0.866882503,0.794697046,0.753721952,-0.692933738,-0.138799995,-0.413155526,-0.367209226,-0.319355398,0.881751955,-0.484532624,-0.759317398,-0.51703535,-0.725815356,-0.724513292,0.117380485,0.573347628,-0.005799264,-2.044790983,-0.561525375,-0.070984215,-0.547276437,-0.200949848,-2.413937092,-0.854151011
