source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,dip_url,sources,references,nsources,nrefs
Q03135,P48995,CAV1,TRPC1,1,1,0,1,1,0,http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=104198,DIP;HPRD;IntAct;Lit-BM-17;TRIP,DIP:19897728;HPRD:12732636;IntAct:19897728;Lit-BM-17:10980191;Lit-BM-17:19052258;Lit-BM-17:19897728;TRIP:12732636;TRIP:14551243;TRIP:16822931;TRIP:18430726;TRIP:19052258;TRIP:19351713;TRIP:19897728,5,13
Q02790,P48995,FKBP4,TRPC1,1,0,1,1,0,1,,TRIP,TRIP:15199065;TRIP:19945390;TRIP:23228564,1,3
Q14571,P48995,ITPR2,TRPC1,1,1,0,1,1,0,,HPRD;TRIP,HPRD:10970773;HPRD:11336651;TRIP:10970773;TRIP:11336651;TRIP:12196544;TRIP:15121806;TRIP:16870612;TRIP:16905188;TRIP:17681754;TRIP:18068335;TRIP:18191041;TRIP:18249094;TRIP:23228564,2,13
P29966,P48995,MARCKS,TRPC1,1,0,1,1,0,1,,TRIP,TRIP:24022404,1,1
Q13586,P48995,STIM1,TRPC1,1,1,0,1,1,0,,IntAct;TRIP,IntAct:19897728;IntAct:21408196;TRIP:16870612;TRIP:16906149;TRIP:17224452;TRIP:17892531;TRIP:18249094;TRIP:18326500;TRIP:18430726;TRIP:18644792;TRIP:18802022;TRIP:19332490;TRIP:19897728;TRIP:20194530;TRIP:20488539;TRIP:22446186;TRIP:22592407;TRIP:23034388;TRIP:23395841;TRIP:23686296;TRIP:24464579;TRIP:25013939,2,22
P48995,Q13563,TRPC1,PKD2,1,1,0,1,1,0,,HPRD;IntAct;Lit-BM-17;TRIP,HPRD:10097141;IntAct:10097141;IntAct:25114176;Lit-BM-17:10097141;TRIP:10097141;TRIP:14530267;TRIP:18323855;TRIP:19193631;TRIP:19850920;TRIP:20682256;TRIP:25114176,4,11
Q13563,P48995,PKD2,TRPC1,1,1,0,1,1,0,,HPRD;IntAct;Lit-BM-17;TRIP,HPRD:10097141;IntAct:10097141;IntAct:25114176;Lit-BM-17:10097141;TRIP:10097141;TRIP:14530267;TRIP:18323855;TRIP:19193631;TRIP:19850920;TRIP:20682256;TRIP:25114176,4,11
Q86YM7,Q13507,HOMER1,TRPC3,1,1,0,1,1,0,,TRIP,TRIP:16887806,1,1
Q14643,Q13507,ITPR1,TRPC3,1,1,0,1,1,0,,HPRD;TRIP,HPRD:11524429;HPRD:12606542;HPRD:15104175;HPRD:15623527;HPRD:9853757;TRIP:10518223;TRIP:18205297;TRIP:20022948;TRIP:20378853;TRIP:23045459,2,10
Q14573,Q13507,ITPR3,TRPC3,1,1,0,1,1,0,,HPRD;TRIP,HPRD:11524429;HPRD:15623527;TRIP:10611319;TRIP:11248050;TRIP:11290752;TRIP:16887806,2,6
Q12797,Q13507,ASPH,TRPC3,1,1,0,1,1,0,,TRIP,TRIP:15302852,1,1
Q13976,Q13507,PRKG1,TRPC3,1,0,1,1,0,1,,HPRD;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;TRIP;iPTMnet,HPRD:14983059;KEA:14983059;ProtMapper:14983059;ProtMapper:16331690;SIGNOR:14983059;SIGNOR:16331690;TRIP:14983059;iPTMnet:14983059;iPTMnet:16331690,15,9
P12931,Q13507,SRC,TRPC3,1,1,0,1,1,0,,TRIP,TRIP:16407161,1,1
Q8TD43,Q13507,TRPM4,TRPC3,1,0,1,1,0,1,,TRIP,TRIP:18262493,1,1
Q13563,Q13507,PKD2,TRPC3,1,1,0,1,1,0,,TRIP,TRIP:19812035,1,1
Q96J92,Q13507,WNK4,TRPC3,1,0,1,1,0,1,,TRIP,TRIP:21670282,1,1
O14745,Q9UBN4,SLC9A3R1,TRPC4,1,1,0,1,1,0,,HPRD;TRIP,HPRD:10980202;TRIP:10980202;TRIP:12154080;TRIP:15540229;TRIP:18048348,2,5
P11171,Q9UBN4,EPB41,TRPC4,1,1,0,1,1,0,,TRIP,TRIP:16254212;TRIP:22534489,1,2
Q86VW0,Q9UL62,SESTD1,TRPC5,1,1,0,1,1,0,,TRIP,TRIP:20164195,1,1
P06241,Q9Y210,FYN,TRPC6,1,1,0,1,1,0,,HPRD;PhosphoPoint;TRIP,HPRD:14761972;TRIP:14761972,3,2
P20591,Q9Y210,MX1,TRPC6,1,1,0,1,1,0,,HPRD;Lit-BM-17;TRIP;Wang,HPRD:15757897;Lit-BM-17:15757897;TRIP:15757897,4,3
Q13976,Q9Y210,PRKG1,TRPC6,1,0,1,1,0,1,,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;Sparser_ProtMapper;TRIP;phosphoELM_MIMP,PhosphoSite:19961855;PhosphoSite:23645677;ProtMapper:21402151;TRIP:18617565;TRIP:24740790,9,5
Q96H20,Q9Y210,SNF8,TRPC6,1,1,0,1,1,0,,TRIP,TRIP:23171048,1,1
Q13563,Q9HCX4,PKD2,TRPC7,1,1,0,1,1,0,,TRIP,TRIP:19812035,1,1
P24588,Q8NER1,AKAP5,TRPV1,1,1,0,1,1,0,,TRIP,TRIP:18381233;TRIP:18463244;TRIP:18701070;TRIP:22789851;TRIP:23264624;TRIP:23616546;TRIP:23699529,1,7
Q00535,Q8NER1,CDK5,TRPV1,1,1,0,1,1,0,,ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;Sparser_ProtMapper;TRIP,ProtMapper:23668392;ProtMapper:26376215;ProtMapper:26894912;ProtMapper:26902776;ProtMapper:29352128;ProtMapper:29467671;TRIP:17194758;TRIP:22451679;TRIP:23077056,5,9
Q9UNN5,Q8NER1,FAF1,TRPV1,1,0,1,1,0,1,,TRIP,TRIP:16510717,1,1
O95166,Q8NER1,GABARAP,TRPV1,1,1,0,1,1,0,,TRIP,TRIP:20179142,1,1
Q9NQT8,Q8NER1,KIF13B,TRPV1,1,1,0,1,1,0,,TRIP,TRIP:23077056,1,1
P17612,Q8NER1,PRKACA,TRPV1,1,1,0,1,1,0,,HPRD_MIMP;MIMP;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;TRIP,TRIP:12194871,6,1
P12931,Q8NER1,SRC,TRPV1,1,1,0,1,1,0,,MIMP;NCI-PID_ProtMapper;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;Sparser_ProtMapper;TRIP;Wang,PhosphoSite:16319926;ProtMapper:16319926;ProtMapper:17582331;ProtMapper:24717323;ProtMapper:25970319;ProtMapper:30292787;TRIP:15084474;TRIP:16319926,10,8
Q9BRV3,Q9Y5S1,SLC50A1,TRPV2,1,1,0,1,1,0,,HPRD;TRIP,HPRD:14991772;TRIP:15547947,2,2
P00533,Q8NET8,EGFR,TRPV3,1,1,0,1,1,0,,TRIP,TRIP:20403327,1,1
P24588,Q9HBA0,AKAP5,TRPV4,1,1,0,1,1,0,,TRIP,TRIP:24778429;TRIP:25005230,1,2
P06241,Q9HBA0,FYN,TRPV4,1,1,0,1,1,0,,HPRD;PhosphoPoint;TRIP,HPRD:12538589;TRIP:12538589,3,2
Q14573,Q9HBA0,ITPR3,TRPV4,1,1,0,1,1,0,,TRIP,TRIP:18378772;TRIP:18826956,1,2
Q96J02,Q9HBA0,ITCH,TRPV4,1,1,1,1,0,1,,HPRD;TRIP;Wang,HPRD:17110928;TRIP:17110928;TRIP:20650893,3,3
P07948,Q9HBA0,LYN,TRPV4,1,1,0,1,1,0,,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;TRIP;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,HPRD-phos:12538589;HPRD:12538589;KEA:12538589;TRIP:12538589;TRIP:18234883;iPTMnet:12538589;phosphoELM:12538589,13,7
Q14244,Q9HBA0,MAP7,TRPV4,1,1,0,1,1,0,,HPRD;Lit-BM-17;TRIP,HPRD:14517216;Lit-BM-17:14517216;TRIP:14517216,3,3
Q13438,Q9HBA0,OS9,TRPV4,1,0,1,1,0,1,,HPRD;TRIP,HPRD:17932042;TRIP:17932042,2,2
Q9UKS6,Q9HBA0,PACSIN3,TRPV4,1,1,0,1,1,0,,HPRD;TRIP,HPRD:16627472;TRIP:16627472;TRIP:18174177,2,3
P12931,Q9HBA0,SRC,TRPV4,1,1,0,1,1,0,,HPRD;KEA;Li2012;NetworKIN_KEA;PhosphoPoint;ProtMapper;Sparser_ProtMapper;TRIP,HPRD:12538589;KEA:17570479;ProtMapper:12538589;TRIP:12538589;TRIP:19033444,8,5
Q13563,Q9HBA0,PKD2,TRPV4,1,1,0,1,1,0,,TRIP,TRIP:18695040;TRIP:20682256;TRIP:22518003;TRIP:23977387;TRIP:25114176,1,5
P07947,Q9HBA0,YES1,TRPV4,1,1,0,1,1,0,,HPRD;PhosphoPoint;TRIP,HPRD:12538589;TRIP:12538589,3,2
P05937,Q9NQA5,CALB1,TRPV5,1,1,0,1,1,0,,HPRD;TRIP,HPRD:16763551;TRIP:16763551,2,2
P23284,Q9NQA5,PPIB,TRPV5,1,1,0,1,1,0,,TRIP,TRIP:18445599,1,1
Q02790,Q9NQA5,FKBP4,TRPV5,1,0,1,1,0,1,,TRIP,TRIP:16352746,1,1
P60903,Q9NQA5,S100A10,TRPV5,1,1,0,1,1,0,,Lit-BM-17;TRIP,Lit-BM-17:12660155;TRIP:12660155,2,2
P21980,Q9NQA5,TGM2,TRPV5,1,0,1,1,0,1,,TRIP,TRIP:21952826,1,1
P23284,Q9H1D0,PPIB,TRPV6,1,1,0,1,1,0,,TRIP,TRIP:18445599,1,1
P06241,Q9H1D0,FYN,TRPV6,1,1,0,1,1,0,,TRIP;Wang,TRIP:17197020,2,1
Q9BPW8,Q9H1D0,NIPSNAP1,TRPV6,1,0,1,1,0,1,,TRIP,TRIP:18392847,1,1
P49757,Q9H1D0,NUMB,TRPV6,1,0,1,1,0,1,,TRIP,TRIP:23140583;TRIP:24704446,1,2
P18031,Q9H1D0,PTPN1,TRPV6,1,0,1,1,0,1,,DEPOD;HPRD;IntAct;Lit-BM-17;SIGNOR;TRIP,DEPOD:15894168;DEPOD:17197020;HPRD:15894168;IntAct:15894168;IntAct:17197020;Lit-BM-17:15894168;Lit-BM-17:17197020;SIGNOR:17197020;TRIP:15894168;TRIP:17197020,6,10
P60903,Q9H1D0,S100A10,TRPV6,1,1,0,1,1,0,,HPRD;TRIP,HPRD:12660155;TRIP:12660155;TRIP:16189514;TRIP:18187190,2,4
P12931,Q9H1D0,SRC,TRPV6,1,1,0,1,1,0,,TRIP;Wang,TRIP:17197020,2,1
P0DP24,Q8TD43,CALM2,TRPM4,1,1,0,1,1,0,,TRIP,TRIP:15590641,1,1
P63244,Q9BX84,RACK1,TRPM6,1,0,1,1,0,1,,SIGNOR;TRIP,SIGNOR:18258429;TRIP:18258429,2,2
Q99623,Q9BX84,PHB2,TRPM6,1,0,1,1,0,1,,TRIP,TRIP:19329436,1,1
Q9BX84,Q96QT4,TRPM6,TRPM7,1,1,0,1,1,0,,HPRD;ProtMapper;RLIMS-P_ProtMapper;TRIP;Wang,HPRD:14976260;ProtMapper:26563869;TRIP:24385424,5,3
Q96QT4,P04083,TRPM7,ANXA1,1,1,0,1,1,0,,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;TRIP;iPTMnet;phosphoELM_MIMP,HPRD-phos:15485879;HPRD-phos:20068231;HPRD:15485879;KEA:15485879;PhosphoSite:15485879;PhosphoSite:21280599;ProtMapper:15485879;ProtMapper:20180991;ProtMapper:20932259;ProtMapper:21280599;ProtMapper:24103589;ProtMapper:24465463;ProtMapper:26218331;SIGNOR:24103589;TRIP:15485879;TRIP:24939696;iPTMnet:15485879;iPTMnet:20068231;iPTMnet:24103589,20,19
P63244,Q96QT4,RACK1,TRPM7,1,0,1,1,0,1,,TRIP,TRIP:18258429,1,1
P17612,Q9GZU1,PRKACA,MCOLN1,1,0,1,1,0,1,,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;TRIP;iPTMnet,PhosphoSite:17988215;ProtMapper:17988215;SIGNOR:17988215;TRIP:17988215;iPTMnet:17988215,10,5
P14314,Q13563,PRKCSH,PKD2,1,0,1,1,0,1,,TRIP,TRIP:19801576,1,1
Q9Y496,Q13563,KIF3A,PKD2,1,1,0,1,1,0,,TRIP,TRIP:16950792;TRIP:17008358;TRIP:17283055,1,3
P98161,Q13563,PKD1,PKD2,1,1,0,1,1,0,http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=191572,DIP;HPRD;IntAct;Lit-BM-17;MPPI;TRIP,DIP:19556541;DIP:21642537;HPRD:9192675;IntAct:10097141;IntAct:19556541;IntAct:20168298;IntAct:30093605;Lit-BM-17:10097141;Lit-BM-17:11901144;Lit-BM-17:20168298;Lit-BM-17:9192675;MPPI:11901144;TRIP:10097141;TRIP:11140688;TRIP:11901144;TRIP:12937304;TRIP:15060061;TRIP:15692563;TRIP:19556541;TRIP:23390129;TRIP:9171830;TRIP:9192675,6,22
Q13190,Q13563,STX5,PKD2,1,0,1,1,0,1,,TRIP,TRIP:18836075,1,1
P63244,Q9NZM6,RACK1,PKD2L2,1,0,1,1,0,1,,TRIP,TRIP:22174419,1,1
P42574,O75822,CASP3,EIF3J,1,0,1,1,0,1,,HPRD;SPIKE,HPRD:10672017;SPIKE:10672017,2,2
P42574,P16144,CASP3,ITGB4,1,1,1,1,0,1,,SPIKE;Wang,SPIKE:17178732,2,1
Q16539,P49137,MAPK14,MAPKAPK2,1,1,0,1,1,0,,ACSN;BEL-Large-Corpus_ProtMapper;BioGRID;CA1;ELM;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;IntAct;KEA;KEGG-MEDICUS;Lit-BM-17;MIMP;Macrophage;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;RLIMS-P_ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Wang;dbPTM;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,ACSN:11274345;ACSN:12738796;ACSN:15187187;ACSN:18039929;BioGRID:17395714;CA1:7592979;CA1:7923353;ELM:23047924;ELM:25255283;HPRD-phos:18669648;HPRD-phos:7592979;HPRD-phos:8846784;HPRD:7592979;HPRD:8846784;HPRD:9768359;InnateDB:10581204;InnateDB:17255097;IntAct:17255097;IntAct:21988832;IntAct:25241761;KEA:16456544;KEA:7592979;KEA:8846784;Lit-BM-17:10581204;Lit-BM-17:10922375;Lit-BM-17:11042204;Lit-BM-17:17255097;Lit-BM-17:17395714;Lit-BM-17:21675959;Lit-BM-17:21988832;Lit-BM-17:23455922;Lit-BM-17:23602568;Lit-BM-17:25241761;Lit-BM-17:25852190;Lit-BM-17:26186194;Lit-BM-17:26496610;Macrophage:17906627;ProtMapper:14499342;ProtMapper:27898710;ProtMapper:7592979;ProtMapper:8846784;SIGNOR:14499342;SIGNOR:8846784;SPIKE:15629715;SPIKE:9768359;SignaLink3:11042204;SignaLink3:11551945;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:7592979;SignaLink3:8846784;SignaLink3:9768359;SignaLink3:9922370;dbPTM:8846784;iPTMnet:14499342;iPTMnet:18669648;iPTMnet:7592979;iPTMnet:8846784;phosphoELM:8846784,35,60
P49137,Q13151,MAPKAPK2,HNRNPA0,1,1,0,1,1,0,,HPRD;PhosphoPoint;PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;SPIKE;Sparser_ProtMapper;dbPTM;iPTMnet,HPRD:12456657;PhosphoSite:26602816;ProtMapper:25716654;ProtMapper:26602816;SPIKE:21173571;dbPTM:17287340;dbPTM:20932473;iPTMnet:12456657,10,8
P31483,P24522,TIA1,GADD45A,1,0,1,1,0,1,,SPIKE,SPIKE:21173571,1,1
Q14103,P24522,HNRNPD,GADD45A,1,0,1,1,0,1,,SPIKE,SPIKE:21173571,1,1
P49137,O95453,MAPKAPK2,PARN,1,0,1,1,0,1,,HPRD_MIMP;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;dbPTM;iPTMnet;phosphoELM_MIMP,PhosphoSite:20932473;ProtMapper:20932473;SIGNOR:20932473;SPIKE:21173571;dbPTM:16964243;dbPTM:18669648;dbPTM:19690332;dbPTM:20932473;iPTMnet:20932473,14,9
Q13151,P24522,HNRNPA0,GADD45A,1,1,0,1,1,0,,SPIKE,SPIKE:21173571,1,1
B1AK53,Q9UKN7,ESPN,MYO15A,1,1,0,1,1,0,,SPIKE,SPIKE:16206170,1,1
Q16539,Q01085,MAPK14,TIAL1,1,0,1,1,0,1,,SPIKE,SPIKE:21173571,1,1
P49757,P46531,NUMB,NOTCH1,1,1,1,1,0,1,,BioGRID;HPRD;NetPath;SIGNOR;SPIKE;Wang,BioGRID:8755477;HPRD:12682059;HPRD:8755477;NetPath:8755477;SIGNOR:12682059;SPIKE:15358736,6,6
Q01085,P24522,TIAL1,GADD45A,1,0,1,1,0,1,,SPIKE,SPIKE:21173571,1,1
Q16539,P26651,MAPK14,ZFP36,1,1,0,1,1,0,,KEA;NetworKIN_KEA;SPIKE,KEA:17570479;SPIKE:20599781,3,2
P49137,P26651,MAPKAPK2,ZFP36,1,1,1,1,0,1,,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;KEGG-MEDICUS;MIMP;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;Reactome_ProtMapper;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;dbPTM;iPTMnet;phosphoELM_KEA;phosphoELM_MIMP,HPRD-phos:14688255;HPRD-phos:18669648;HPRD:14688255;KEA:14688255;ProtMapper:14688255;ProtMapper:15535838;ProtMapper:16508015;ProtMapper:19416727;ProtMapper:19542371;ProtMapper:20595389;ProtMapper:21776382;ProtMapper:22428854;ProtMapper:23272005;ProtMapper:23602935;ProtMapper:24705157;ProtMapper:25535763;ProtMapper:26926077;ProtMapper:27220464;ProtMapper:27708140;ProtMapper:28659609;ProtMapper:29444957;SPIKE:20599781;dbPTM:15014438;dbPTM:18669648;iPTMnet:14688255,21,25
Q06546,Q16881,GABPA,TXNRD1,1,1,0,1,1,0,,SPIKE,SPIKE:19114066,1,1
Q06546,P10599,GABPA,TXN,1,1,0,1,1,0,,SPIKE,SPIKE:19114066,1,1
P27361,Q06546,MAPK3,GABPA,1,1,0,1,1,0,,SPIKE,SPIKE:19114066,1,1
P28482,Q06546,MAPK1,GABPA,1,1,0,1,1,0,,SPIKE,SPIKE:19114066,1,1
P50607,P28482,TUB,MAPK1,1,1,0,1,1,0,,SPIKE,SPIKE:19114066,1,1
P50607,P27361,TUB,MAPK3,1,1,0,1,1,0,,SPIKE,SPIKE:19114066,1,1
Q92786,Q99684,PROX1,GFI1,1,0,1,1,0,1,,SPIKE,SPIKE:18652815,1,1
Q14145,Q06546,KEAP1,GABPA,1,0,1,1,0,1,,BioGRID;SPIKE;Wang,BioGRID:19424503;SPIKE:19114066,3,2
Q92786,Q92858,PROX1,ATOH1,1,0,1,1,0,1,,SPIKE,SPIKE:18652815,1,1
Q9NZI8,Q9Y297,IGF2BP1,BTRC,1,1,0,1,1,0,,SPIKE,SPIKE:19106159,1,1
O94916,P15121,NFAT5,AKR1B1,1,1,0,1,1,0,,SPIKE,SPIKE:15522988;SPIKE:18056707,1,2
O94916,P48065,NFAT5,SLC6A12,1,1,0,1,1,0,,SPIKE,SPIKE:15522988,1,1
P31749,O15111,AKT1,CHUK,1,1,0,1,1,0,,BioGRID;CancerCellMap;ELM;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;Kinexus_KEA;Lit-BM-17;MIMP;NCI-PID_ProtMapper;NetPath;NetworKIN_KEA;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Wang;dbPTM;iPTMnet;phosphoELM_MIMP,BioGRID:10485711;BioGRID:11278366;BioGRID:15710601;BioGRID:15800029;CancerCellMap:10485710;ELM:10485710;HPRD-phos:10485710;HPRD:10485710;InnateDB:10485710;KEA:10485710;KEA:12048203;KEA:17570479;KEA:18515365;Lit-BM-17:10485710;Lit-BM-17:10485711;Lit-BM-17:11278366;Lit-BM-17:15710601;Lit-BM-17:15800029;Lit-BM-17:25241761;NetPath:17660512;ProtMapper:10485710;ProtMapper:19609947;SIGNOR:19609947;SPIKE:19442713;dbPTM:10485710;dbPTM:19088076;iPTMnet:10485710;iPTMnet:19609947,28,28
O94916,P53794,NFAT5,SLC5A3,1,1,0,1,1,0,,SPIKE,SPIKE:15522988,1,1
O15111,P19838,CHUK,NFKB1,1,1,1,1,1,0,,CancerCellMap;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;IntAct;KEA;MIMP;Macrophage;NetPath;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,CancerCellMap:10469655;CancerCellMap:12482991;CancerCellMap:14743216;HPRD-phos:10469655;HPRD-phos:11158290;HPRD:11976329;InnateDB:10469655;IntAct:11297557;IntAct:12482991;KEA:10469655;KEA:11158290;KEA:11976329;KEA:12482991;Macrophage:15489227;Macrophage:15494311;Macrophage:16382138;NetPath:14743216;PhosphoSite:12482991;ProtMapper:10469655;ProtMapper:11297557;ProtMapper:11976329;ProtMapper:27554194;SIGNOR:10469655;SPIKE:19442713;iPTMnet:10022904;iPTMnet:10469655;iPTMnet:11158290;iPTMnet:11976329;phosphoELM:10469655;phosphoELM:11158290;phosphoELM:12482991,27,31
P27986,P31749,PIK3R1,AKT1,1,1,0,1,1,0,,HPRD;NetPath;SPIKE;Wang,HPRD:10527852;NetPath:16799564;SPIKE:19442713,4,3
Q6P1J9,Q9UKF6,CDC73,CPSF3,1,1,0,1,1,0,,SPIKE,SPIKE:19136632,1,1
Q92797,Q05048,SYMPK,CSTF1,1,1,0,1,1,0,,SPIKE,SPIKE:10669729,1,1
P06493,P31350,CDK1,RRM2,1,1,1,1,1,1,,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,HPRD-phos:17924679;HPRD-phos:18669648;HPRD-phos:18767875;HPRD-phos:19413330;HPRD-phos:19415658;HPRD-phos:19664995;HPRD-phos:20058876;HPRD-phos:9990288;HPRD:9990288;KEA:16964243;KEA:9990288;PhosphoSite:17693683;ProtMapper:22632967;ProtMapper:9990288;SIGNOR:22632967;SIGNOR:9990288;SPIKE:9990288;iPTMnet:17924679;iPTMnet:18669648;iPTMnet:18767875;iPTMnet:19413330;iPTMnet:19415658;iPTMnet:19664995;iPTMnet:20058876;iPTMnet:22632967;iPTMnet:9990288;phosphoELM:9990288,19,27
P42574,Q9UKV3,CASP3,ACIN1,1,1,0,1,1,0,,HPRD;ProtMapper;REACH_ProtMapper;SIGNOR;SPIKE;Wang,HPRD:10490026;ProtMapper:21904669;SIGNOR:10490026;SPIKE:10490026,6,4
P38936,P06493,CDKN1A,CDK1,1,0,1,1,0,1,,HPRD;IntAct;Lit-BM-17;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SPIKE;Wang,HPRD:9467962;IntAct:24218572;Lit-BM-17:17679094;Lit-BM-17:21308745;Lit-BM-17:23602568;Lit-BM-17:24218572;Lit-BM-17:26186194;Lit-BM-17:26496610;ProtMapper:12973835;SIGNOR:15340381;SPIKE:15077146,8,11
P04637,O43663,TP53,PRC1,1,0,1,1,0,1,,SPIKE;Wang,SPIKE:15531928,2,1
Q13315,Q15554,ATM,TERF2,1,1,0,1,1,0,http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=102610,DIP;SPIKE;Wang,DIP:15314656;SPIKE:16223874,3,2
P04198,Q14566,MYCN,MCM6,1,1,0,1,1,0,,SPIKE,SPIKE:17826980,1,1
Q00987,Q7LG56,MDM2,RRM2B,1,0,1,1,0,1,,SPIKE,SPIKE:19015526,1,1
Q13535,P23025,ATR,XPA,1,1,0,1,1,0,,ACSN;HPRD;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;iPTMnet;phosphoELM_MIMP,ACSN:11877377;ACSN:15459660;ACSN:15798197;ACSN:16540648;ACSN:17102137;ACSN:17116885;ACSN:17296725;ACSN:17384638;ACSN:17582221;ACSN:18677104;ACSN:19004803;ACSN:19282663;ACSN:19622404;ACSN:19793801;HPRD:16540648;KEA:16540648;ProtMapper:16540648;ProtMapper:18790090;ProtMapper:20451471;ProtMapper:23178497;ProtMapper:23861882;ProtMapper:24947324;ProtMapper:27247238;ProtMapper:27827925;SIGNOR:16540648;SIGNOR:23178497;SIGNOR:30327428;SPIKE:18594563;SPIKE:19586908;iPTMnet:16540648;iPTMnet:23178497,19,31
P04198,P33991,MYCN,MCM4,1,1,0,1,1,0,,SPIKE,SPIKE:17826980,1,1
P04198,P33992,MYCN,MCM5,1,1,0,1,1,0,,SPIKE,SPIKE:17826980,1,1
P04198,P49736,MYCN,MCM2,1,1,0,1,1,0,,SPIKE,SPIKE:17826980,1,1
P04198,P25205,MYCN,MCM3,1,1,0,1,1,0,,SPIKE,SPIKE:17826980,1,1
