source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,dip_url,sources,references,nsources,nrefs
P02751,P53708,FN1,ITGA8,1,1,0,1,1,0,,EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPRD;HPRD_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:7626807;HPRD:7559467;LRdb:756;LRdb:7626807,10,4
P07942,P23229,LAMB1,ITGA6,1,1,0,1,1,0,,EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;NetPath;Ramilowski2015;Wang;iTALK,HPMR:10842354;LRdb:10842354;NetPath:11733063;NetPath:7721947,9,4
Q8NEJ0,P23229,DUSP18,ITGA6,1,1,0,1,1,0,,Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Wang;iTALK,HPMR:10842354,6,1
Q13443,P06756,ADAM9,ITGAV,1,1,0,1,1,0,,EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPRD;HPRD_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:11162558;HPRD:15361064;LRdb:11162558;LRdb:15,10,4
P01024,P20702,C3,ITGAX,1,1,0,1,1,0,,Fantom5_LRdb;HPMR;HPMR_LRdb;HPRD;HPRD_LRdb;InnateDB;LRdb;Ramilowski2015;Wang;iTALK,HPMR:4062888;HPMR:7679388;HPRD:7512600;InnateDB:12554829;LRdb:4062888;LRdb:751,10,6
Q13444,P05106,ADAM15,ITGB3,1,1,0,1,1,0,,EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:9516430;HPMR:9914169;LRdb:9516430,8,3
P02751,P18564,FN1,ITGB6,1,1,0,1,1,0,,ELM;Fantom5_LRdb;HPMR;HPMR_LRdb;HPRD;HPRD_LRdb;LMPID;LRdb;Ramilowski2015;Wang;iTALK,ELM:1532572;ELM:1694173;ELM:17015452;ELM:18480047;HPMR:1532572;HPRD:1532572;LMPID:1532572;LRdb:1532572,11,8
P25391,P26012,LAMA1,ITGB8,1,1,0,1,1,0,,EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:7542940;LRdb:7542940,8,2
P07942,P26012,LAMB1,ITGB8,1,1,0,1,1,0,,HPMR;Wang,HPMR:7542940,2,1
P07942,P16144,LAMB1,ITGB4,1,1,0,1,1,0,,EMBRACE;Fantom5_LRdb;HPMR;LRdb;NetPath;Reactome_LRdb;Wang;iTALK,HPMR:10842354;NetPath:11733063;NetPath:7721947,8,3
Q13443,P18084,ADAM9,ITGB5,1,1,0,1,1,0,,EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:11162558;LRdb:11162558,8,2
