"","Gene set","Overlap","pValue","pAdj"
"1","#DNA","ARID3A, E2F4","0.777782493439918",1
"2","#ERS","","1",1
"3","#HTS","","1",1
"4","#HYP","FOS, HDAC1, MXI1, TP53","0.0880963217823744",0.528577930694246
"5","#MTL","","1",1
"6","#OXD","SMAD3","0.768821175499393",1
