X1	X3	X2
Perturbation	inhibits	ARHGAP8 
Perturbation	inhibits	ARHGAP9 
Perturbation	inhibits	ARHGDIG 
Perturbation	inhibits	ARHGEF10 
Perturbation	inhibits	ARHGEF17 
Perturbation	inhibits	ARHGEF19 
Perturbation	inhibits	ARHGEF25 
Perturbation	inhibits	ARHGEF26 
Perturbation	inhibits	ARHGEF28 
Perturbation	inhibits	ARHGEF3 
Perturbation	inhibits	ARHGEF5 
Perturbation	inhibits	ARHGEF9 
Perturbation	inhibits	ARIH2 
Perturbation	inhibits	ARL2 
Perturbation	inhibits	ARSA 
Perturbation	inhibits	ARTN 
Perturbation	inhibits	ARVCF 
Perturbation	inhibits	ASAP3 
Perturbation	inhibits	ASF1B 
Perturbation	inhibits	ASH1L 
Perturbation	inhibits	ASH2L 
Perturbation	inhibits	ASIP 
Perturbation	inhibits	ASMT 
Perturbation	inhibits	ASPH 
Perturbation	inhibits	ASPSCR1 
Perturbation	inhibits	ASXL2 
Perturbation	inhibits	ATAD2 
Perturbation	inhibits	ATG101 
Perturbation	inhibits	ATG4A 
Perturbation	inhibits	ATG4B 
Perturbation	inhibits	ATXN2L 
Perturbation	inhibits	ATXN7 
Perturbation	inhibits	AURKC 
Perturbation	inhibits	AVP 
Perturbation	inhibits	B2M 
Perturbation	inhibits	BABAM1 
Perturbation	inhibits	BACE2 
Perturbation	inhibits	BAG1 
Perturbation	inhibits	BAG4 
Perturbation	inhibits	BAG6 
Perturbation	inhibits	BAP1 
Perturbation	inhibits	BBS4 
Perturbation	inhibits	BCAP31 
Perturbation	inhibits	BCAR3 
Perturbation	inhibits	BCCIP 
Perturbation	inhibits	BCKDK 
Perturbation	inhibits	BCL2L10 
Perturbation	inhibits	BCL9 
Perturbation	inhibits	BCOR 
Perturbation	inhibits	BCORL1 
Perturbation	inhibits	BCR_ABL 
Perturbation	inhibits	BFAR 
Perturbation	inhibits	BIRC7 
Perturbation	inhibits	BIRC8 
Perturbation	inhibits	BLVRA 
Perturbation	inhibits	BMP10 
Perturbation	inhibits	BMP15 
Perturbation	inhibits	BMP3 
Perturbation	inhibits	BMP6 
Perturbation	inhibits	BMP8A 
Perturbation	inhibits	BMP8B 
Perturbation	inhibits	BRCC3 
Perturbation	inhibits	BRD4 
Perturbation	inhibits	BRD8 
Perturbation	inhibits	BRK1 
Perturbation	inhibits	BSPRY 
Perturbation	inhibits	BTAF1 
Perturbation	inhibits	BTG1 
Perturbation	inhibits	C11orf74 
Perturbation	inhibits	C1D 
Perturbation	inhibits	C1QBP 
Perturbation	inhibits	C1S 
Perturbation	inhibits	C2 
Perturbation	inhibits	C4BPA 
Perturbation	inhibits	CABLES1 
Perturbation	inhibits	CABLES2 
Perturbation	inhibits	CABP1 
Perturbation	inhibits	CALB1 
Perturbation	inhibits	CALCB 
Perturbation	inhibits	CALM1 
Perturbation	inhibits	CALR 
Perturbation	inhibits	CAMK1G 
Perturbation	inhibits	CAND1 
Perturbation	inhibits	CAPNS1 
Perturbation	inhibits	CAPRIN1 
Perturbation	inhibits	CAPRIN2 
Perturbation	inhibits	CARD16 
Perturbation	inhibits	CARD17 
Perturbation	inhibits	CARD18 
Perturbation	inhibits	CARD19 
Perturbation	inhibits	CARD6 
Perturbation	inhibits	CARM1 
Perturbation	inhibits	CASP12 
Perturbation	inhibits	CASP4 
Perturbation	inhibits	CBLL1 
Perturbation	inhibits	CBY1 
Perturbation	inhibits	CCAR2 
Perturbation	inhibits	CCL1 
Perturbation	inhibits	CCL11 
Perturbation	inhibits	CCL13 
Perturbation	inhibits	CCL14 
Perturbation	inhibits	CCL15 
Perturbation	inhibits	CCL16 
Perturbation	inhibits	CCL17 
Perturbation	inhibits	CCL18 
Perturbation	inhibits	CCL19 
Perturbation	inhibits	CCL20 
Perturbation	inhibits	CCL21 
Perturbation	inhibits	CCL22 
Perturbation	inhibits	CCL23 
Perturbation	inhibits	CCL24 
Perturbation	inhibits	CCL25 
Perturbation	inhibits	CCL26 
Perturbation	inhibits	CCL27 
Perturbation	inhibits	CCL28 
Perturbation	inhibits	CCL3L1 
Perturbation	inhibits	CCL4 
Perturbation	inhibits	CCL7 
Perturbation	inhibits	CCL8 
Perturbation	inhibits	CCN3 
Perturbation	inhibits	CCNY 
Perturbation	inhibits	CCP110 
Perturbation	inhibits	CCS 
Perturbation	inhibits	CD24 
Perturbation	inhibits	CD34 
Perturbation	inhibits	CD40LG 
Perturbation	inhibits	CD48 
Perturbation	inhibits	CD55 
Perturbation	inhibits	CD58 
Perturbation	inhibits	CD70 
Perturbation	inhibits	CD81 
Perturbation	inhibits	CD86 
Perturbation	inhibits	CD9 
Perturbation	inhibits	CDC14A 
Perturbation	inhibits	CDC14B 
Perturbation	inhibits	CDC42BPB 
Perturbation	inhibits	CDC42SE1 
Perturbation	inhibits	CDC73 
Perturbation	inhibits	CDH15 
Perturbation	inhibits	CDK10 
Perturbation	inhibits	CDK11A 
Perturbation	inhibits	CDK12 
Perturbation	inhibits	CDK19 
Perturbation	inhibits	CDK20 
Perturbation	inhibits	CDK5RAP3 
Perturbation	inhibits	CDKN3 
Perturbation	inhibits	CDO1 
Perturbation	inhibits	CENPX 
Perturbation	inhibits	CEP85 
Perturbation	inhibits	CERK 
Perturbation	inhibits	CFI 
Perturbation	inhibits	CGB3 
Perturbation	inhibits	CGB7 
Perturbation	inhibits	CGN 
Perturbation	inhibits	CHAD 
Perturbation	inhibits	CHD8 
Perturbation	inhibits	CHFR 
Perturbation	inhibits	CHK2 
Perturbation	inhibits	CHKA 
Perturbation	inhibits	CHMP1A 
Perturbation	inhibits	CHN1 
Perturbation	inhibits	CHP1 
Perturbation	inhibits	CHP2 
Perturbation	inhibits	CIB1 
Perturbation	inhibits	CISD2 
Perturbation	inhibits	CISH 
Perturbation	inhibits	CKS1B 
Perturbation	inhibits	CLCF1 
Perturbation	inhibits	CLDN1 
Perturbation	inhibits	CLK1 
Perturbation	inhibits	CLK4 
Perturbation	inhibits	CMA1 
Perturbation	inhibits	CMTM8 
Perturbation	inhibits	CNKSR1 
Perturbation	inhibits	CNKSR2 
Perturbation	inhibits	CNOT9 
Perturbation	inhibits	CNR1 
Perturbation	inhibits	CNR2 
Perturbation	inhibits	CNTF 
Perturbation	inhibits	CNTN1 
Perturbation	inhibits	CNTN6 
Perturbation	inhibits	COL11A1 
Perturbation	inhibits	COL3A1 
Perturbation	inhibits	COL4A1 
Perturbation	inhibits	COL4A2 
Perturbation	inhibits	COL4A4 
Perturbation	inhibits	COL4A6 
Perturbation	inhibits	COL5A3 
Perturbation	inhibits	COL6A1 
Perturbation	inhibits	COL6A2 
Perturbation	inhibits	COL6A3 
Perturbation	inhibits	COMP 
Perturbation	inhibits	CORT 
Perturbation	inhibits	CPLX1 
Perturbation	inhibits	CREBZF 
Perturbation	inhibits	CRH 
Perturbation	inhibits	CRIPAK 
Perturbation	inhibits	CSE1L 
Perturbation	inhibits	CSH1 
Perturbation	inhibits	CSH2 
Perturbation	inhibits	CSHL1 
Perturbation	inhibits	CSN1S1 
Perturbation	inhibits	CSNK1G2 
Perturbation	inhibits	CSNK1G3 
Perturbation	inhibits	CSNK2A2 
Perturbation	inhibits	CTDNEP1 
Perturbation	inhibits	CTDSP2 
