X1	X3	X2
Perturbation	inhibits	KLF2 
Perturbation	inhibits	KLK6 
Perturbation	inhibits	KMT2B 
Perturbation	inhibits	KMT2C 
Perturbation	inhibits	KMT2E 
Perturbation	inhibits	KMT5B 
Perturbation	inhibits	KMT5C 
Perturbation	inhibits	KPNA3 
Perturbation	inhibits	KPNA4 
Perturbation	inhibits	KPNA6 
Perturbation	inhibits	KRT14 
Perturbation	inhibits	KSR2 
Perturbation	inhibits	LAMA2 
Perturbation	inhibits	LAMA3 
Perturbation	inhibits	LAMA4 
Perturbation	inhibits	LAMA5 
Perturbation	inhibits	LAMB1 
Perturbation	inhibits	LAMB2 
Perturbation	inhibits	LAMB3 
Perturbation	inhibits	LAMC1 
Perturbation	inhibits	LAMC2 
Perturbation	inhibits	LAMC3 
Perturbation	inhibits	LAMTOR3 
Perturbation	inhibits	LDB1 
Perturbation	inhibits	LEFTY2 
Perturbation	inhibits	LHB 
Perturbation	inhibits	LHX1 
Perturbation	inhibits	LIPH 
Perturbation	inhibits	LMO1 
Perturbation	inhibits	LMO2 
Perturbation	inhibits	LMO3 
Perturbation	inhibits	LMO4 
Perturbation	inhibits	LNX1 
Perturbation	inhibits	LOX 
Perturbation	inhibits	LPAR1 
Perturbation	inhibits	LPAR3 
Perturbation	inhibits	LPAR5 
Perturbation	inhibits	LPAR6 
Perturbation	inhibits	LRP1B 
Perturbation	inhibits	LRPAP1 
Perturbation	inhibits	LRRC4B 
Perturbation	inhibits	LRRFIP2 
Perturbation	inhibits	LTA 
Perturbation	inhibits	LTB 
Perturbation	inhibits	LTB4R 
Perturbation	inhibits	LTB4R2 
Perturbation	inhibits	LTBP1 
Perturbation	inhibits	LTBP2 
Perturbation	inhibits	LYL1 
Perturbation	inhibits	MADCAM1 
Perturbation	inhibits	MAFG 
Perturbation	inhibits	MAGI1 
Perturbation	inhibits	MAGI2 
Perturbation	inhibits	MAGI3 
Perturbation	inhibits	MAP3K13 
Perturbation	inhibits	MAP3K21 
Perturbation	inhibits	MAP3K6 
Perturbation	inhibits	MAP7 
Perturbation	inhibits	MARCH5 
Perturbation	inhibits	MASP1 
Perturbation	inhibits	MASP2 
Perturbation	inhibits	MAST1 
Perturbation	inhibits	MAST2 
Perturbation	inhibits	MAST3 
Perturbation	inhibits	MAT1A 
Perturbation	inhibits	MBIP 
Perturbation	inhibits	MBTPS1 
Perturbation	inhibits	MBTPS2 
Perturbation	inhibits	MCM10 
Perturbation	inhibits	MCM3AP 
Perturbation	inhibits	MDFI 
Perturbation	inhibits	MDK 
Perturbation	inhibits	MED14 
Perturbation	inhibits	MFAP2 
Perturbation	inhibits	MFAP5 
Perturbation	inhibits	MIB1 
Perturbation	inhibits	MIB2 
Perturbation	inhibits	MICA 
Perturbation	inhibits	MICB 
Perturbation	inhibits	MIF 
Perturbation	inhibits	MIR22HG 
Perturbation	inhibits	MLF1 
Perturbation	inhibits	MLN 
Perturbation	inhibits	MMP12 
Perturbation	inhibits	MMP13 
Perturbation	inhibits	MMP26 
Perturbation	inhibits	MMP7 
Perturbation	inhibits	MMP8 
Perturbation	inhibits	MMS19 
Perturbation	inhibits	MNAT1 
Perturbation	inhibits	MOAP1 
Perturbation	inhibits	MORF4L1 
Perturbation	inhibits	MPG 
Perturbation	inhibits	MRTFB 
Perturbation	inhibits	MSC 
Perturbation	inhibits	MSH6 
Perturbation	inhibits	MSI1 
Perturbation	inhibits	MSX1 
Perturbation	inhibits	MT_RNR2 
Perturbation	inhibits	MT3 
Perturbation	inhibits	MTBP 
Perturbation	inhibits	MTCH2 
Perturbation	inhibits	MTCP1 
Perturbation	inhibits	MTMR3 
Perturbation	inhibits	MTMR4 
Perturbation	inhibits	MTSS1 
Perturbation	inhibits	MTTP 
Perturbation	inhibits	MUL1 
Perturbation	inhibits	MUTYH 
Perturbation	inhibits	MX1 
Perturbation	inhibits	MYCN 
Perturbation	inhibits	MYLK3 
Perturbation	inhibits	MYO9A 
Perturbation	inhibits	MYO9B 
Perturbation	inhibits	MYRIP 
Perturbation	inhibits	MYSM1 
Perturbation	inhibits	MZF1 
Perturbation	inhibits	N4BP1 
Perturbation	inhibits	NAA10 
Perturbation	inhibits	NAB1 
Perturbation	inhibits	NAB2 
Perturbation	inhibits	NAMPT 
Perturbation	inhibits	NANOS1 
Perturbation	inhibits	NCBP1 
Perturbation	inhibits	NCOA4 
Perturbation	inhibits	NCOA6 
Perturbation	inhibits	NCS1 
Perturbation	inhibits	NDFIP1 
Perturbation	inhibits	NDFIP2 
Perturbation	inhibits	NDN 
Perturbation	inhibits	NDP 
Perturbation	inhibits	NECTIN1 
Perturbation	inhibits	NECTIN2 
Perturbation	inhibits	NECTIN3 
Perturbation	inhibits	NEDD8 
Perturbation	inhibits	NEK1 
Perturbation	inhibits	NEK9 
Perturbation	inhibits	NELFB 
Perturbation	inhibits	NEURL1 
Perturbation	inhibits	NF1 
Perturbation	inhibits	NFKBIZ 
Perturbation	inhibits	NFX1 
Perturbation	inhibits	NHEJ1 
Perturbation	inhibits	NHLRC1 
Perturbation	inhibits	NID1 
Perturbation	inhibits	NIPSNAP1 
Perturbation	inhibits	NISCH 
Perturbation	inhibits	NKD1 
Perturbation	inhibits	NKIRAS1 
Perturbation	inhibits	NKIRAS2 
Perturbation	inhibits	NKRF 
Perturbation	inhibits	NLGN1 
Perturbation	inhibits	NLGN2 
Perturbation	inhibits	NLGN3 
Perturbation	inhibits	NLRX1 
Perturbation	inhibits	NMB 
Perturbation	inhibits	NME2 
Perturbation	inhibits	NMI 
Perturbation	inhibits	NMNAT1 
Perturbation	inhibits	NMS 
Perturbation	inhibits	NMU 
Perturbation	inhibits	NOG 
Perturbation	inhibits	NOL3 
Perturbation	inhibits	NOP53 
Perturbation	inhibits	NPAS2 
Perturbation	inhibits	NPB 
Perturbation	inhibits	NPFF 
Perturbation	inhibits	NPHS2 
Perturbation	inhibits	NPNT 
Perturbation	inhibits	NPPA 
Perturbation	inhibits	NPPB 
Perturbation	inhibits	NPPC 
Perturbation	inhibits	NPS 
Perturbation	inhibits	NPVF 
Perturbation	inhibits	NPW 
Perturbation	inhibits	NR0B2 
Perturbation	inhibits	NR1D2 
Perturbation	inhibits	NR2C1 
Perturbation	inhibits	NR2C2AP 
Perturbation	inhibits	NR2E3 
Perturbation	inhibits	NRBF2 
Perturbation	inhibits	NRBP1 
Perturbation	inhibits	NRDC 
Perturbation	inhibits	NRG1 
Perturbation	inhibits	NRG2 
Perturbation	inhibits	NRG3 
Perturbation	inhibits	NRG4 
Perturbation	inhibits	NRK 
Perturbation	inhibits	NRTN 
Perturbation	inhibits	NSD1 
Perturbation	inhibits	NSD2 
Perturbation	inhibits	NSD3 
Perturbation	inhibits	NSMCE2 
Perturbation	inhibits	NTF4 
Perturbation	inhibits	NTN1 
Perturbation	inhibits	NTN3 
Perturbation	inhibits	NTN4 
Perturbation	inhibits	NTNG1 
Perturbation	inhibits	NTS 
Perturbation	inhibits	NUDCD2 
Perturbation	inhibits	NUDT3 
Perturbation	inhibits	NUMBL 
Perturbation	inhibits	NUP153 
Perturbation	inhibits	NUP214 
Perturbation	inhibits	NUP62 
Perturbation	inhibits	NXPH1 
Perturbation	inhibits	NXPH3 
Perturbation	inhibits	NYX 
Perturbation	inhibits	OFD1 
Perturbation	inhibits	OMG 
Perturbation	inhibits	OPHN1 
Perturbation	inhibits	OS9 
Perturbation	inhibits	OSM 
Perturbation	inhibits	OSTN 
Perturbation	inhibits	OTUB1 
Perturbation	inhibits	OTUD5 
Perturbation	inhibits	OXGR1 
Perturbation	inhibits	OXT 
Perturbation	inhibits	P2RY1 
Perturbation	inhibits	P2RY10 
Perturbation	inhibits	P2RY11 
Perturbation	inhibits	P2RY12 
Perturbation	inhibits	P2RY13 
Perturbation	inhibits	P2RY2 
Perturbation	inhibits	P2RY4 
Perturbation	inhibits	P2RY6 
Perturbation	inhibits	PACSIN3 
Perturbation	inhibits	PAEP 
Perturbation	inhibits	PAF1 
Perturbation	inhibits	PAIP2 
Perturbation	inhibits	PAK5 
Perturbation	inhibits	PAN2 
Perturbation	inhibits	PAN3 
Perturbation	inhibits	PAPPA 
Perturbation	inhibits	PAPPA2 
Perturbation	inhibits	PARP10 
Perturbation	inhibits	PARVA 
Perturbation	inhibits	PATZ1 
Perturbation	inhibits	PAX5 
Perturbation	inhibits	PBK 
Perturbation	inhibits	PCBD1 
Perturbation	inhibits	PCGF2 
Perturbation	inhibits	PCOLCE 
Perturbation	inhibits	PCSK6 
Perturbation	inhibits	PCSK7 
Perturbation	inhibits	PCSK9 
Perturbation	inhibits	PDC 
Perturbation	inhibits	PDCD1LG2 
Perturbation	inhibits	PDCD6IP 
Perturbation	inhibits	PDE4DIP 
Perturbation	inhibits	PDGFC 
Perturbation	inhibits	PDGFD 
Perturbation	inhibits	PDHX 
Perturbation	inhibits	PDIA3 
Perturbation	inhibits	PDK2 
Perturbation	inhibits	PDK3 
Perturbation	inhibits	PDK4 
Perturbation	inhibits	PDP1 
Perturbation	inhibits	PDP2 
Perturbation	inhibits	PDPK2P 
Perturbation	inhibits	PDYN 
Perturbation	inhibits	PDZD3 
Perturbation	inhibits	PENK 
Perturbation	inhibits	PER3 
Perturbation	inhibits	PEX10 
Perturbation	inhibits	PF4 
Perturbation	inhibits	PGAM5 
Perturbation	inhibits	PGF 
Perturbation	inhibits	PHACTR1 
Perturbation	inhibits	PHB 
Perturbation	inhibits	PHF1 
Perturbation	inhibits	PHF21A 
Perturbation	inhibits	PHF6 
Perturbation	inhibits	PHF8 
Perturbation	inhibits	PHKA1 
Perturbation	inhibits	PHKG1 
Perturbation	inhibits	PHKG2 
Perturbation	inhibits	PHLPP2 
Perturbation	inhibits	PHPT1 
Perturbation	inhibits	PIAS2 
Perturbation	inhibits	PICK1 
Perturbation	inhibits	PIRT 
Perturbation	inhibits	PITRM1 
Perturbation	inhibits	PITX3 
Perturbation	inhibits	PJA1 
Perturbation	inhibits	PKD1L3 
Perturbation	inhibits	PKN3 
Perturbation	inhibits	PKNOX1 
Perturbation	inhibits	PLEKHG1 
Perturbation	inhibits	PLEKHG3 
Perturbation	inhibits	PLEKHG4 
Perturbation	inhibits	PLEKHG4B 
Perturbation	inhibits	PLEKHG5 
Perturbation	inhibits	PLK2 
Perturbation	inhibits	PLK3 
Perturbation	inhibits	PLK4 
Perturbation	inhibits	PLRG1 
Perturbation	inhibits	PLTP 
Perturbation	inhibits	PMCH 
Perturbation	inhibits	PMP22 
Perturbation	inhibits	PNCK 
Perturbation	inhibits	PNOC 
Perturbation	inhibits	PNRC1 
Perturbation	inhibits	PODXL2 
Perturbation	inhibits	POFUT1 
Perturbation	inhibits	POGLUT1 
Perturbation	inhibits	POLA2 
Perturbation	inhibits	POLD1 
Perturbation	inhibits	POLR2B 
Perturbation	inhibits	POLR2C 
Perturbation	inhibits	POLR2K 
Perturbation	inhibits	POMC 
Perturbation	inhibits	POP1 
Perturbation	inhibits	PORCN 
Perturbation	inhibits	POT1 
Perturbation	inhibits	POU4F2 
Perturbation	inhibits	PPA1 
Perturbation	inhibits	PPIB 
Perturbation	inhibits	PPID 
Perturbation	inhibits	PPM1B 
Perturbation	inhibits	PPM1E 
Perturbation	inhibits	PPM1F 
Perturbation	inhibits	PPM1G 
Perturbation	inhibits	PPM1L 
Perturbation	inhibits	PPM1M 
Perturbation	inhibits	PPP1CB 
Perturbation	inhibits	PPP1R13B 
Perturbation	inhibits	PPP1R13L 
Perturbation	inhibits	PPP1R3A 
Perturbation	inhibits	PPP2R1B 
Perturbation	inhibits	PPP2R2B 
Perturbation	inhibits	PPP2R2C 
Perturbation	inhibits	PPP2R5B 
Perturbation	inhibits	PPP4R3A 
Perturbation	inhibits	PPP6C 
Perturbation	inhibits	PPY 
Perturbation	inhibits	PRCC 
Perturbation	inhibits	PRDM16 
Perturbation	inhibits	PRDM2 
Perturbation	inhibits	PREX2 
Perturbation	inhibits	PRKACG 
Perturbation	inhibits	PRKAR1B 
Perturbation	inhibits	PRKCH 
Perturbation	inhibits	PRKCSH 
Perturbation	inhibits	PRKG2 
Perturbation	inhibits	PRKRA 
Perturbation	inhibits	PRKX 
Perturbation	inhibits	PRLH 
Perturbation	inhibits	PRMT2 
Perturbation	inhibits	PRMT6 
Perturbation	inhibits	PRND 
Perturbation	inhibits	PROK1 
Perturbation	inhibits	PRPF4B 
Perturbation	inhibits	PRR5 
Perturbation	inhibits	PRSS21 
Perturbation	inhibits	PSAP 
Perturbation	inhibits	PSD3 
Perturbation	inhibits	PSMB4 
Perturbation	inhibits	PSMD10 
Perturbation	inhibits	PSMD2 
Perturbation	inhibits	PSME3 
Perturbation	inhibits	PSPN 
Perturbation	inhibits	PTCRA 
Perturbation	inhibits	PTDSS1 
Perturbation	inhibits	PTGER1 
Perturbation	inhibits	PTGER2 
Perturbation	inhibits	PTGER3 
Perturbation	inhibits	PTGER4 
Perturbation	inhibits	PTGIR 
Perturbation	inhibits	PTH 
Perturbation	inhibits	PTH2 
Perturbation	inhibits	PTK6 
Perturbation	inhibits	PTMA 
Perturbation	inhibits	PTN 
Perturbation	inhibits	PTP4A1 
Perturbation	inhibits	PTP4A2 
Perturbation	inhibits	PTP4A3 
Perturbation	inhibits	PTPA 
Perturbation	inhibits	PTPN13 
Perturbation	inhibits	PTPN14 
Perturbation	inhibits	PTPN21 
Perturbation	inhibits	PTPN3 
Perturbation	inhibits	PTPN9 
Perturbation	inhibits	PTPRB 
Perturbation	inhibits	PTPRD 
Perturbation	inhibits	PTPRE 
Perturbation	inhibits	PTPRG 
Perturbation	inhibits	PTPRK 
Perturbation	inhibits	PTPRM 
Perturbation	inhibits	PTPRT 
Perturbation	inhibits	PTPRU 
Perturbation	inhibits	PTX3 
Perturbation	inhibits	PVR 
Perturbation	inhibits	PYDC1 
Perturbation	inhibits	PYDC2 
Perturbation	inhibits	PYY 
Perturbation	inhibits	QRFP 
Perturbation	inhibits	RAB11A 
Perturbation	inhibits	RAB23 
Perturbation	inhibits	RAB2A 
Perturbation	inhibits	RAB33B 
Perturbation	inhibits	RAB3IP 
Perturbation	inhibits	RAB7A 
Perturbation	inhibits	RABAC1 
Perturbation	inhibits	RAC3 
Perturbation	inhibits	RAD23B 
Perturbation	inhibits	RAD54L 
Perturbation	inhibits	RAE1 
Perturbation	inhibits	RAET1E 
Perturbation	inhibits	RAET1G 
Perturbation	inhibits	RAET1L 
Perturbation	inhibits	RALB 
Perturbation	inhibits	RANBP17 
Perturbation	inhibits	RAP1GDS1 
Perturbation	inhibits	RAPGEF3 
Perturbation	inhibits	RAPGEF4 
Perturbation	inhibits	RAPGEF6 
Perturbation	inhibits	RARRES2 
Perturbation	inhibits	RARRES3 
Perturbation	inhibits	RASA4 
Perturbation	inhibits	RASGEF1A 
Perturbation	inhibits	RASGEF1B 
Perturbation	inhibits	RASGEF1C 
Perturbation	inhibits	RASGRP4 
Perturbation	inhibits	RASSF3 
Perturbation	inhibits	RASSF4 
Perturbation	inhibits	RASSF6 
Perturbation	inhibits	RBM15 
Perturbation	inhibits	RECK 
Perturbation	inhibits	RECQL5 
Perturbation	inhibits	RELN 
Perturbation	inhibits	REPS2 
Perturbation	inhibits	RET_PTC2 
Perturbation	inhibits	RFNG 
Perturbation	inhibits	RFX1 
Perturbation	inhibits	RGMA 
Perturbation	inhibits	RGS4 
Perturbation	inhibits	RGS6 
Perturbation	inhibits	RGS9 
Perturbation	inhibits	RHOG 
Perturbation	inhibits	RHOH 
Perturbation	inhibits	RILPL2 
Perturbation	inhibits	RIN2 
Perturbation	inhibits	RING1 
Perturbation	inhibits	RIOX1 
Perturbation	inhibits	RITA1 
Perturbation	inhibits	RLF 
Perturbation	inhibits	RLIM 
Perturbation	inhibits	RLN1 
Perturbation	inhibits	RLN2 
Perturbation	inhibits	RLN3 
Perturbation	inhibits	RMI1 
Perturbation	inhibits	RNASE2 
Perturbation	inhibits	RNF125 
Perturbation	inhibits	RNF135 
Perturbation	inhibits	RNF146 
Perturbation	inhibits	RNF24 
Perturbation	inhibits	RNPS1 
Perturbation	inhibits	RORB 
Perturbation	inhibits	RORC 
Perturbation	inhibits	RPAP2 
Perturbation	inhibits	RPGRIP1 
Perturbation	inhibits	RPGRIP1L 
Perturbation	inhibits	RPL10 
Perturbation	inhibits	RPL11 
Perturbation	inhibits	RPL5 
Perturbation	inhibits	RPN1 
Perturbation	inhibits	RPS19BP1 
Perturbation	inhibits	RRAGA 
Perturbation	inhibits	RRAGB 
Perturbation	inhibits	RSF1 
Perturbation	inhibits	RSPO1 
Perturbation	inhibits	RSPO2 
Perturbation	inhibits	RSPO3 
Perturbation	inhibits	RSPO4 
Perturbation	inhibits	RTN4 
Perturbation	inhibits	RUVBL1 
Perturbation	inhibits	RUVBL2 
Perturbation	inhibits	RWDD3 
Perturbation	inhibits	RYBP 
Perturbation	inhibits	S100A1 
Perturbation	inhibits	S100A10 
Perturbation	inhibits	S100P 
Perturbation	inhibits	S1PR2 
Perturbation	inhibits	S1PR3 
Perturbation	inhibits	S1PR4 
Perturbation	inhibits	S1PR5 
Perturbation	inhibits	SAA1 
Perturbation	inhibits	SAFB 
Perturbation	inhibits	SAG 
Perturbation	inhibits	SARM1 
Perturbation	inhibits	SARS 
Perturbation	inhibits	SATB2 
Perturbation	inhibits	SBDS 
Perturbation	inhibits	SCO2 
Perturbation	inhibits	SCT 
Perturbation	inhibits	SDF2L1 
Perturbation	inhibits	SDHAF2 
Perturbation	inhibits	SEC63 
Perturbation	inhibits	SEM1 
Perturbation	inhibits	SEMA3A 
Perturbation	inhibits	SEMA3B 
Perturbation	inhibits	SEMA3C 
Perturbation	inhibits	SEMA3E 
Perturbation	inhibits	SEMA3F 
Perturbation	inhibits	SEMA4D 
Perturbation	inhibits	SEMA5A 
Perturbation	inhibits	SEMA6D 
Perturbation	inhibits	SEMA7A 
Perturbation	inhibits	SENP1 
Perturbation	inhibits	SENP3 
Perturbation	inhibits	SEPT12 
Perturbation	inhibits	SEPT4 
Perturbation	inhibits	SEPT7 
Perturbation	inhibits	SEPT9 
Perturbation	inhibits	SERPINA1 
Perturbation	inhibits	SERPINB8 
Perturbation	inhibits	SERPINB9 
Perturbation	inhibits	SERPINC1 
Perturbation	inhibits	SERPIND1 
Perturbation	inhibits	SERPINE2 
Perturbation	inhibits	SERPINF2 
Perturbation	inhibits	SERPING1 
Perturbation	inhibits	SERTAD1 
Perturbation	inhibits	SESN2 
Perturbation	inhibits	SESTD1 
Perturbation	inhibits	SETBP1 
Perturbation	inhibits	SETD1A 
Perturbation	inhibits	SETD1B 
Perturbation	inhibits	SETD7 
Perturbation	inhibits	SETDB2 
Perturbation	inhibits	SFRP4 
Perturbation	inhibits	SFTPA1 
Perturbation	inhibits	SH3BP1 
Perturbation	inhibits	SH3BP4 
Perturbation	inhibits	SHANK1 
Perturbation	inhibits	SHB 
Perturbation	inhibits	SHC4 
Perturbation	inhibits	SHOC2 
Perturbation	inhibits	SHPRH 
Perturbation	inhibits	SIGIRR 
Perturbation	inhibits	SIKE1 
Perturbation	inhibits	SIPA1 
Perturbation	inhibits	SIRT3 
Perturbation	inhibits	SIRT6 
Perturbation	inhibits	SIRT7 
Perturbation	inhibits	SKOR1 
Perturbation	inhibits	SLC2A4RG 
Perturbation	inhibits	SLC30A9 
Perturbation	inhibits	SLC38A9 
Perturbation	inhibits	SLC50A1 
Perturbation	inhibits	SLC9A3R2 
Perturbation	inhibits	SLIT1 
Perturbation	inhibits	SLIT3 
Perturbation	inhibits	SMARCAD1 
Perturbation	inhibits	SMARCB1 
Perturbation	inhibits	SMARCD1 
Perturbation	inhibits	SMARCE1 
Perturbation	inhibits	SMCR8 
Perturbation	inhibits	SMG9 
Perturbation	inhibits	SNF8 
Perturbation	inhibits	SNIP1 
Perturbation	inhibits	SNPH 
Perturbation	inhibits	SNRPC 
Perturbation	inhibits	SNX1 
Perturbation	inhibits	SOCS2 
Perturbation	inhibits	SOCS4 
Perturbation	inhibits	SOCS5 
Perturbation	inhibits	SOCS6 
Perturbation	inhibits	SOST 
Perturbation	inhibits	SOX17 
Perturbation	inhibits	SOX3 
Perturbation	inhibits	SP100 
Perturbation	inhibits	SP2 
Perturbation	inhibits	SPATA13 
Perturbation	inhibits	SPDYA 
Perturbation	inhibits	SPHKAP 
Perturbation	inhibits	SPNS1 
Perturbation	inhibits	SPOP 
Perturbation	inhibits	SPP1 
Perturbation	inhibits	SPRY4 
Perturbation	inhibits	SRCAP 
Perturbation	inhibits	SREK1 
Perturbation	inhibits	SRGAP1 
Perturbation	inhibits	SRGAP3 
Perturbation	inhibits	SRI 
Perturbation	inhibits	SRP54 
Perturbation	inhibits	SRSF7 
Perturbation	inhibits	SS18L1 
Perturbation	inhibits	SSBP1 
Perturbation	inhibits	SSH2 
Perturbation	inhibits	SSH3 
Perturbation	inhibits	SST 
Perturbation	inhibits	ST6GAL1 
Perturbation	inhibits	STAMBP 
Perturbation	inhibits	STARD13 
Perturbation	inhibits	STARD8 
Perturbation	inhibits	STIL 
Perturbation	inhibits	STK10 
Perturbation	inhibits	STK17A 
Perturbation	inhibits	STK26 
Perturbation	inhibits	STOML2 
Perturbation	inhibits	STRADB 
Perturbation	inhibits	STX5 
Perturbation	inhibits	STXBP4 
Perturbation	inhibits	STXBP6 
Perturbation	inhibits	STYX 
Perturbation	inhibits	SUGT1 
Perturbation	inhibits	SUMO2 
Perturbation	inhibits	SUMO3 
Perturbation	inhibits	SUPT20H 
Perturbation	inhibits	SUV39H2 
Perturbation	inhibits	SVIL 
Perturbation	inhibits	SYDE2 
Perturbation	inhibits	SYMPK 
Perturbation	inhibits	SYNJ2BP 
Perturbation	inhibits	SYVN1 
Perturbation	inhibits	TAC1 
Perturbation	inhibits	TAC3 
Perturbation	inhibits	TAC4 
Perturbation	inhibits	TAGAP 
Perturbation	inhibits	TAGLN 
Perturbation	inhibits	TANK 
Perturbation	inhibits	TAOK2 
Perturbation	inhibits	TARBP2 
Perturbation	inhibits	TARDBP 
Perturbation	inhibits	TASP1 
Perturbation	inhibits	TAX1BP1 
Perturbation	inhibits	TBC1D15 
Perturbation	inhibits	TBC1D7 
Perturbation	inhibits	TBL1X 
Perturbation	inhibits	TBL1Y 
Perturbation	inhibits	TBX2 
Perturbation	inhibits	TCEA1 
Perturbation	inhibits	TCL1B 
Perturbation	inhibits	TDGF1 
Perturbation	inhibits	TESK2 
Perturbation	inhibits	TET3 
Perturbation	inhibits	TFAP2B 
Perturbation	inhibits	TFAP4 
Perturbation	inhibits	TFDP2 
Perturbation	inhibits	TFG 
Perturbation	inhibits	TGIF1 
Perturbation	inhibits	THAP12 
Perturbation	inhibits	THBS2 
Perturbation	inhibits	THEM4 
Perturbation	inhibits	THPO 
Perturbation	inhibits	THRAP3 
Perturbation	inhibits	TIAM2 
Perturbation	inhibits	TIFAB 
Perturbation	inhibits	TIMD4 
Perturbation	inhibits	TIPRL 
Perturbation	inhibits	TJP2 
Perturbation	inhibits	TKFC 
Perturbation	inhibits	TLE2 
Perturbation	inhibits	TLE4 
Perturbation	inhibits	TLK2 
Perturbation	inhibits	TLX1 
Perturbation	inhibits	TLX3 
Perturbation	inhibits	TMED10 
Perturbation	inhibits	TMOD1 
Perturbation	inhibits	TMPRSS6 
Perturbation	inhibits	TMSB4X 
Perturbation	inhibits	TNC 
Perturbation	inhibits	TNFSF12 
Perturbation	inhibits	TNFSF13 
Perturbation	inhibits	TNFSF13B 
Perturbation	inhibits	TNFSF14 
Perturbation	inhibits	TNFSF15 
Perturbation	inhibits	TNFSF18 
Perturbation	inhibits	TNFSF4 
Perturbation	inhibits	TNFSF8 
Perturbation	inhibits	TNFSF9 
Perturbation	inhibits	TNNI1 
Perturbation	inhibits	TP53INP2 
Perturbation	inhibits	TPBG 
Perturbation	inhibits	TPH1 
Perturbation	inhibits	TPO 
Perturbation	inhibits	TPPP 
Perturbation	inhibits	TRAF7 
Perturbation	inhibits	TRAK2 
Perturbation	inhibits	TRDMT1 
Perturbation	inhibits	TREX1 
Perturbation	inhibits	TRH 
Perturbation	inhibits	TRIM11 
Perturbation	inhibits	TRIM21 
Perturbation	inhibits	TRIM24 
Perturbation	inhibits	TRIM33 
Perturbation	inhibits	TRIM44 
Perturbation	inhibits	TRIM59 
Perturbation	inhibits	TRIM8 
Perturbation	inhibits	TRIO 
Perturbation	inhibits	TSC22D3 
Perturbation	inhibits	TSG101 
Perturbation	inhibits	TSHB 
Perturbation	inhibits	TSLP 
Perturbation	inhibits	TSSK4 
Perturbation	inhibits	TTBK1 
Perturbation	inhibits	TTC1 
Perturbation	inhibits	TTF2 
Perturbation	inhibits	TTR 
Perturbation	inhibits	TUB 
Perturbation	inhibits	TXNIP 
Perturbation	inhibits	TXNL4A 
Perturbation	inhibits	U2AF2 
Perturbation	inhibits	UBASH3B 
Perturbation	inhibits	UBE2D1 
Perturbation	inhibits	UBE2D2 
Perturbation	inhibits	UBE2D3 
Perturbation	inhibits	UBE2E1 
Perturbation	inhibits	UBE2M 
Perturbation	inhibits	UBE2O 
Perturbation	inhibits	UBE2T 
Perturbation	inhibits	UBIAD1 
Perturbation	inhibits	UBQLN1 
Perturbation	inhibits	UBR1 
Perturbation	inhibits	UBR2 
Perturbation	inhibits	UBXN8 
Perturbation	inhibits	UCHL1 
Perturbation	inhibits	UCN 
Perturbation	inhibits	UCN2 
Perturbation	inhibits	UCN3 
Perturbation	inhibits	UHMK1 
Perturbation	inhibits	ULBP2 
Perturbation	inhibits	ULBP3 
Perturbation	inhibits	ULK3 
Perturbation	inhibits	UNC5CL 
Perturbation	inhibits	USP1 
Perturbation	inhibits	USP17L2 
Perturbation	inhibits	USP22 
Perturbation	inhibits	USP24 
Perturbation	inhibits	USP3 
Perturbation	inhibits	USP6NL 
Perturbation	inhibits	USP9X 
Perturbation	inhibits	UTS2 
Perturbation	inhibits	UTS2B 
Perturbation	inhibits	VCAM1 
Perturbation	inhibits	VDAC2 
Perturbation	inhibits	VEGFB 
Perturbation	inhibits	VEGFC 
Perturbation	inhibits	VEGFD 
Perturbation	inhibits	VIP 
Perturbation	inhibits	VMP1 
Perturbation	inhibits	VRK2 
Perturbation	inhibits	WAPL 
Perturbation	inhibits	WDFY3 
Perturbation	inhibits	WDR83 
Perturbation	inhibits	WEE2 
Perturbation	inhibits	WIF1 
Perturbation	inhibits	WLS 
Perturbation	inhibits	WNK2 
Perturbation	inhibits	WNK3 
Perturbation	inhibits	WNT10A 
Perturbation	inhibits	WNT10B 
Perturbation	inhibits	WNT16 
Perturbation	inhibits	WNT2B 
Perturbation	inhibits	WNT3 
Perturbation	inhibits	WNT8B 
Perturbation	inhibits	WNT9B 
Perturbation	inhibits	WRAP53 
Perturbation	inhibits	WSB1 
Perturbation	inhibits	XAF1 
Perturbation	inhibits	XCL1 
Perturbation	inhibits	XCL2 
Perturbation	inhibits	XPO5 
Perturbation	inhibits	XRCC5 
Perturbation	inhibits	XRN1 
Perturbation	inhibits	XXYLT1 
Perturbation	inhibits	YARS 
Perturbation	inhibits	ZBP1 
Perturbation	inhibits	ZBTB4 
Perturbation	inhibits	ZC3H12A 
Perturbation	inhibits	ZDHHC9 
Perturbation	inhibits	ZFHX3 
Perturbation	inhibits	ZFP91 
Perturbation	inhibits	ZFPM2 
Perturbation	inhibits	ZG16B 
Perturbation	inhibits	ZIC1 
Perturbation	inhibits	ZIC3 
Perturbation	inhibits	ZMIZ1 
Perturbation	inhibits	ZMPSTE24 
Perturbation	inhibits	ZNF350 
Perturbation	inhibits	ZNF521 
Perturbation	inhibits	ZNF653 
Perturbation	inhibits	ZNF76 
Perturbation	activates	AAK1 
Perturbation	activates	AANAT 
Perturbation	activates	ABHD5 
Perturbation	activates	ABR 
Perturbation	activates	ACAA2 
