,24h_10uM,6h_10uM,6h_3uM,24h_3uM,6h_10uM_1,6h_10uM_2,6h_10uM_3
16,-5.007988929750001,-0.679437,-0.41917186975500004,0.379736870527,-0.361913412809,3.03050613403,1.28110182285
23,2.40237140656,-0.36495,1.0188289880799999,0.0414285957813,-0.883590042591,-0.691907465458,-0.592127680779
25,0.728515744209,0.636101,-0.70179104805,-0.83776307106,0.871811032295,1.56186079979,1.24518656731
30,-0.211073130369,0.380537,-0.060051739215900006,1.08004033566,0.449290782213,0.375456750393,0.38725778460500004
39,0.0833595991135,-0.139425,0.7649545669560001,0.49661111831699994,0.236847430468,0.759870409966,-0.919301152229
47,-0.28157445788400004,-0.895134,-0.653003454208,0.09252907335760001,1.0343564748799998,0.240663632751,-0.0101978778839
102,-2.21571779251,0.381843,0.546408414841,0.30622828006700004,0.660837233067,0.038171656429800006,-1.08260977268
128,-0.186977908015,-0.07786810000000001,-0.0694627761841,0.998832464218,2.2803542614,0.102706864476,-1.66943347454
142,-2.64337229729,0.7013189999999999,-0.0353337675333,0.09723270684480001,1.4161581993099999,1.5569145679499998,-1.67328906059
154,0.783196389675,-0.370033,-2.73071217537,-6.762876510619999,0.527957677841,5.4235959053,-0.40195441245999997
178,-0.306314647198,0.498305,0.209883436561,0.263107150793,-0.638943552971,-0.7651941180230001,-1.44218969345
207,-5.6692018508899995,-0.503491,-0.478691756725,0.42612934112499995,0.0402951389551,0.633942723274,-1.6991612911200003
211,0.13972535729399999,-0.5416569999999999,-0.753886461258,-0.196474522352,-0.00981663167477,-1.04022657871,1.07154512405
226,-2.12033128738,0.5600930000000001,-1.2049998045,-0.9803604483600001,0.760450422764,1.92720007896,-1.3798029422799998
230,-3.6002948284099996,0.868331,-1.9842590093599999,-0.781925916672,-0.8069605827330001,0.44975283742,-0.830498158932
291,3.03556442261,0.638211,0.397119939327,0.634607195854,0.40041941404299997,-0.540965557098,-0.29441925883299996
310,2.0237810611700002,1.41571,-0.40768378973,1.583152771,1.11887300014,1.23823142052,0.22685734927700002
323,0.10909374803300001,1.3211600000000001,-2.7146692276,0.130883306265,-1.4467617273299997,-0.84575933218,3.70778226852
329,-1.30558133125,-1.05019,-1.19805896282,0.300870478153,0.202340528369,0.663560986519,1.89163398743
332,-1.2065871954,-0.873366,0.34814316034299997,0.646236717701,0.401624947786,0.31036248803100003,-2.04532766342
348,2.17833685875,0.22932800000000003,-0.143392384052,0.131597459316,0.76092427969,0.338227450848,0.21973362565000001
351,-2.77014279366,-0.0501905,-1.2543678283700002,0.07136504352089999,-0.448855489492,-2.1346578598,-0.42004656791699996
355,0.8998653888700001,0.588974,1.04501235485,0.742013573647,0.958881735802,-0.330253720284,-0.259617030621
387,-0.425614118576,0.0227816,0.123567074537,-0.571942031384,0.128946021199,0.63953769207,0.36052128672600003
392,1.43148243427,-0.8662709999999999,-0.35394513607,-0.534565806389,-0.227514654398,0.5334073305129999,-2.54992198944
427,-1.04992485046,0.24958699999999998,-0.299942523241,-0.45845502615,-0.310297489166,-0.547502040863,0.5195919871329999
466,1.11347270012,0.110269,0.282786935568,-0.307799071074,-1.2002487182600001,1.30693078041,3.28008985519
481,2.41956877708,-0.132934,0.44488433003399996,-0.489382684231,0.544250488281,1.13387691975,-0.0654799044132
501,-0.512910485268,2.1661799999999998,1.5742886066400001,0.37253257632299996,0.262514233589,-0.639644563198,-0.45118200779
533,5.0107421875,2.5390599999999997,2.51652884483,0.281421005726,0.12387087941199999,0.432285070419,1.44394278526
572,-0.5975520014760001,0.261619,0.465447038412,-0.963937520981,0.013245895504999999,1.65676248074,-0.655717015266
581,0.510610580444,0.27277199999999996,0.513661146164,0.009604070335629999,0.836860537529,2.28469848633,1.10455000401
595,-2.7357904911,0.653017,0.480457216501,0.289341777563,0.703846633434,1.10621571541,-0.652945637703
