pr_gene_id,pr_gene_symbol
5211,PFKL
3956,LGALS1
2879,GPX4
7057,THBS1
1434,CSE1L
7284,TUFM
5688,PSMA7
5425,POLD2
1363,CPE
5226,PGD
1351,COX8A
10857,PGRMC1
1984,EIF5A
3693,ITGB5
4245,MGAT1
999,CDH1
3188,HNRNPH2
9867,PJA2
1350,COX7C
1892,ECHS1
5355,PLP2
3115,HLA-DPB1
6741,SSB
10457,GPNMB
1965,EIF2S1
10456,HAX1
4780,NFE2L2
7078,TIMP3
4154,MBNL1
6124,RPL4
9927,MFN2
5878,RAB5C
4836,NMT1
8531,YBX3
9698,PUM1
396,ARHGDIA
8553,BHLHE40
8992,ATP6V0E1
54386,TERF2IP
51075,TMX2
372,ARCN1
10054,UBA2
25793,FBXO7
2773,GNAI3
1108,CHD4
5654,HTRA1
4043,LRPAP1
3710,ITPR3
5306,PITPNA
3417,IDH1
6415,SEPW1
8140,SLC7A5
262,AMD1
5707,PSMD1
8804,CREG1
1476,CSTB
5111,PCNA
6238,RRBP1
7126,TNFAIP1
3065,HDAC1
5641,LGMN
5510,PPP1R7
5358,PLS3
10961,ERP29
6625,SNRNP70
5887,RAD23B
10250,SRRM1
4714,NDUFB8
10425,ARIH2
2023,ENO1
5719,PSMD13
3611,ILK
7832,BTG2
830,CAPZA2
1653,DDX1
481,ATP1B1
5894,RAF1
6721,SREBF2
6513,SLC2A1
5315,PKM
5704,PSMC4
10423,CDIPT
9167,COX7A2L
6217,RPS16
6856,SYPL1
6897,TARS
11316,COPE
7296,TXNRD1
5702,PSMC3
23386,NUDCD3
22913,RALY
231,AKR1B1
6726,SRP9
5686,PSMA5
2224,FDPS
5869,RAB5B
3182,HNRNPAB
1601,DAB2
11047,ADRM1
4967,OGDH
327,APEH
23608,MKRN1
6382,SDC1
397,ARHGDIB
3491,CYR61
23478,SEC11A
7153,TOP2A
26118,WSB1
307,ANXA4
9775,EIF4A3
4698,NDUFA5
10541,ANP32B
55752,SEPT11
9315,NREP
6451,SH3BGRL
2026,ENO2
10494,STK25
10581,IFITM2
5683,PSMA2
10627,MYL12A
6601,SMARCC2
506,ATP5B
10969,EBNA1BP2
2012,EMP1
908,CCT6A
2114,ETS2
5917,RARS
6778,STAT6
23365,ARHGEF12
9341,VAMP3
6342,SCP2
8507,ENC1
6631,SNRPC
7322,UBE2D2
79602,ADIPOR2
9368,SLC9A3R1
2319,FLOT2
10730,YME1L1
11176,BAZ2A
1315,COPB1
1471,CST3
