"","Gene set","Overlap","pValue","pAdj"
"1","#DNA","GADD45A, DDX5, YY1, CDK2, ARID3A, HMGB1, PPM1D","0.860971036364873",1
"2","#ERS","","1",1
"3","#HTS","","1",1
"4","#HYP","EGR1, HDAC1, JUN, RELA, TP53","0.727470718800522",1
"5","#MTL","CDK5","0.993822351971831",1
"6","#OXD","MYB, ROCK2, SMAD3","0.882483564899847",1
