	0
184	LJP005_HS578T_24H:K12
185	LJP005_HS578T_24H:O01
186	LJP005_HS578T_24H:O02
187	LJP005_HS578T_24H:O03
188	LJP005_HS578T_24H:O04
189	LJP005_HS578T_24H:O05
190	LJP005_HS578T_24H:O06
191	LJP005_HS578T_3H:C19
192	LJP005_HS578T_3H:C20
193	LJP005_HS578T_3H:C21
194	LJP005_HS578T_3H:C22
195	LJP005_HS578T_3H:C23
196	LJP005_HS578T_3H:C24
197	LJP005_HS578T_3H:G13
198	LJP005_HS578T_3H:G14
199	LJP005_HS578T_3H:G15
200	LJP005_HS578T_3H:G16
201	LJP005_HS578T_3H:G17
202	LJP005_HS578T_3H:G18
203	LJP005_HS578T_3H:K07
204	LJP005_HS578T_3H:K08
205	LJP005_HS578T_3H:K09
206	LJP005_HS578T_3H:K10
207	LJP005_HS578T_3H:K11
208	LJP005_HS578T_3H:K12
209	LJP005_HS578T_3H:O01
210	LJP005_HS578T_3H:O02
211	LJP005_HS578T_3H:O03
212	LJP005_HS578T_3H:O04
213	LJP005_HS578T_3H:O05
214	LJP005_HS578T_3H:O06
215	LJP005_HT29_24H:C19
216	LJP005_HT29_24H:C20
217	LJP005_HT29_24H:C21
218	LJP005_HT29_24H:C22
219	LJP005_HT29_24H:C23
220	LJP005_HT29_24H:C24
221	LJP005_HT29_24H:G13
222	LJP005_HT29_24H:G14
223	LJP005_HT29_24H:G15
224	LJP005_HT29_24H:G16
225	LJP005_HT29_24H:G17
226	LJP005_HT29_24H:G18
227	LJP005_HT29_24H:K07
228	LJP005_HT29_24H:K08
229	LJP005_HT29_24H:K09
230	LJP005_HT29_24H:K10
231	LJP005_HT29_24H:K11
232	LJP005_HT29_24H:K12
233	LJP005_HT29_24H:O01
234	LJP005_HT29_24H:O02
235	LJP005_HT29_24H:O03
236	LJP005_HT29_24H:O04
237	LJP005_HT29_24H:O05
238	LJP005_HT29_24H:O06
239	LJP005_MCF10A_24H:C19
240	LJP005_MCF10A_24H:C21
241	LJP005_MCF10A_24H:C22
242	LJP005_MCF10A_24H:C23
243	LJP005_MCF10A_24H:C24
244	LJP005_MCF10A_24H:G13
245	LJP005_MCF10A_24H:G14
246	LJP005_MCF10A_24H:G15
247	LJP005_MCF10A_24H:G16
248	LJP005_MCF10A_24H:G17
249	LJP005_MCF10A_24H:G18
250	LJP005_MCF10A_24H:K07
251	LJP005_MCF10A_24H:K08
252	LJP005_MCF10A_24H:K09
253	LJP005_MCF10A_24H:K10
254	LJP005_MCF10A_24H:K11
255	LJP005_MCF10A_24H:K12
256	LJP005_MCF10A_24H:O01
257	LJP005_MCF10A_24H:O02
258	LJP005_MCF10A_24H:O03
259	LJP005_MCF10A_24H:O04
260	LJP005_MCF10A_24H:O05
261	LJP005_MCF10A_24H:O06
262	LJP005_MCF10A_24H:C20
263	LJP005_MCF10A_3H:C19
264	LJP005_MCF10A_3H:C20
265	LJP005_MCF10A_3H:C21
266	LJP005_MCF10A_3H:C22
267	LJP005_MCF10A_3H:C23
268	LJP005_MCF10A_3H:C24
